COGID	Albanian	English	French	German	Latin
560-1	v j ə				
438-1	g ə r				
1222-1	v i				
353-1	p e ʃ c i				
201-1	p ə n				
20-1	k ə r				
503-1	p l ł				
957-1	d n				
728-1	l ł g u				
244-1	n e m r				
289-1	n e o				
911-1	d r d r				
724-1	d ə r				
145-1	d j				
992-1	g				
1181-1	k ə n d				
741-1	p ɪi k				
1150-1	g ə r v i				
585-1	t y				
814-1	v r ə				
560-2		w ɪ t			
438-2		b r			
1222-2		k v			
353-2		f ɑ s k			
201-2		f ɪ n f			
20-2		f e r			
503-2		f l o n			
957-2		ɪ n			
728-2		l au ŋ			
244-2		n ɑ m			
289-2		n ɑ f t			
911-2		w i r			
724-2		θ r t			
145-2		t w ɑ			
992-2		w			
706-2		b			
106-2		f ɛ r r			
741-2		f ʊ k			
421-2		b l ə m			
227-2		f ɛ t			
920-2		h ɑ r t			
1083-2		h ɑ r n			
1066-2		i t			
1125-2		j ɪ n o			
1197-2		m ə θ r			
473-2		n ɑ v ɑ			
284-2		n ɪ s			
661-2		a n			
701-2		r m d			
315-2		r au θ			
1169-2		s i l			
1150-2		s ɛ r			
982-2		s i t			
987-2		s t ɪ n			
1055-2		s t i t			
1130-2		s e g			
433-2		s i l			
625-2		l ɪ ŋ			
1186-2		w ɪ n			
560-3			v j		
438-3			g r		
1222-3			v v		
353-3			p u s i		
201-3			p ɑ̃		
20-3			p a r		
503-3			p u l t		
957-3			ɛ̃		
728-3			l a n		
244-3			l u		
289-3			n a w a		
911-3			v ɛ d i		
724-3			f r		
145-3			d		
992-3			v		
1181-3			ʃ ɑ̃ t e		
706-3			s k		
106-3			p u r i r		
741-3			p u k		
421-3			f l u		
227-3			p u		
920-3			k k r		
1083-3			k k r l e		
1066-3			g w		
1125-3			g ɑ̃ n		
1197-3			m i r i r		
473-3			n ɥ v		
284-3			l e r		
661-3			v n		
701-3			d w a r		
315-3			d ɔ̃		
1169-3			s o l a		
1150-3			s ɛ r a t		
982-3			s ɑ̃		
987-3			s l e		
1055-3			s a ɲ		
1130-3			s w ʒ		
433-3			s ɑ̃ l		
585-3			f		
625-3			t ɑ̃		
1186-3			d ɑ̃ l e		
814-3			v ɑ̃ r		
560-4				v i m	
438-4				k r	
1222-4				v l	
353-4				f x ʃ h	
201-4				f i k	
20-4				h a r r	
503-4				f l aː n	
957-4				e n	
728-4				l a ŋ	
244-4				n i m ə n	
289-4				n uː s	
911-4				r a s	
724-4				d r x t	
145-4				s oː	
992-4				h	
1181-4				h a n	
706-4				h k	
106-4				f au l ə r	
421-4				f l uː l	
227-4				f e s	
920-4				h a r s	
1083-4				h a e n	
1066-4				e k	
1125-4				g y n	
1197-4				m a l ə r	
473-4				n a v u	
284-4				n aː z	
661-4				v n n	
701-4				r au l ə	
315-4				e u n n	
1169-4				z a l t	
1150-4				ʃ a r	
982-4				z i s	
987-4				n aː aː	
1055-4				ʃ t x s	
1130-4				ʃ ŋ k	
433-4				ʃ a n	
585-4				d	
625-4				z i ŋ	
1186-4				s i n d	
814-4				v r a	
560-5					w e m i
438-5					a u
1222-5					w l
353-5					p e u k
201-5					p e n u
20-5					p a o r
503-5					p l aː
957-5					a n u
728-5					l a n
244-5					n oː m i n
289-5					n oː iː
911-5					w e d w i
724-5					t r k d
145-5					d uː lː
992-5					k aː
1181-5					k e n n o
706-5					k i i
106-5					p e nː a
741-5					p i lː
421-5					f l u r i
227-5					p u t e
920-5					k o r k i n
1083-5					k r r n u
1066-5					g n
1125-5					g e n o
1197-5					m e nː a
473-5					n oː w i
284-5					n aː
661-5					w n
701-5					s eː t i
315-5					r o n t o
1169-5					s eː l a i
982-5					s e iː i
987-5					s n aː
1055-5					s t i o k u
1130-5					s u k i
433-5					s o n u i
585-5					t
625-5					w a n u
1186-5					s eː n u
814-5					w r o o
