COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r i									
18-1	t a r									
35-1	h i t o ɕ i									
36-1	h u t aː ts i									
48-1	n a g a									
60-1	t ui									
63-1	s i r a m									
64-1	k iː									
67-1	h aː									
68-1	n iː									
71-1	tɕ iː									
76-1	h u n i									
83-1	ts u n u									
87-1	h a n i									
95-1	m i m i									
98-1	h a n a									
99-1	k u tɕ i									
-102-1	s i t a									
103-1	ts i m i									
110-1	t iː									
116-1	m u n e									
120-1	n u m u									
132-1	k i ts u									
139-1	k u r u s u									
140-1	o j o u									
156-1	t a tsː oː									
168-1	ts u tɕ i									
169-1	h u s i									
170-1	m i dʒ i									
173-1	i s i									
180-1	k u m u									
185-1	h a i									
186-1	m o eː j u									
187-1	m i tɕ i									
190-1	a k a s									
193-1	k iː r u									
194-1	s i r u									
195-1	k u r u									
216-1	m a r u a ɴ									
221-1	n aː									
239-1	i ts i									
252-1	m iː ɕ i									
253-1	j uː ɕ i									
254-1	i ts u ts i									
266-1	k a dʒ i									
267-1	n a g a r i r u									
268-1	u m i									
272-1	a m i									
276-1	a r a u									
281-1	m u s i									
304-1	ts u b a									
305-1	tɕ i									
308-1	h a n a									
309-1	k u s a									
310-1	t u									
311-1	n i									
342-1	j u tɕ i									
346-1	k u r a									
347-1	k i j u									
348-1	h i r u									
351-1	t uː s									
361-1	o b u i									
379-1	k u s a t a									
394-1	h i d a a i									
395-1	n i dʑ i									
400-1	h i pː a u									
412-1	s a k i j u									
413-1	ts u k s a u									
414-1	h u j u									
422-1	h u k u r j r u									
423-1	k a ɴ g eː j u									
430-1	h a ts u									
435-1	h u u									
446-1	s i t a									
447-1	u w a									
458-1	t u s i									
56-1	h t u									
62-1	i n									
70-1	t a n e									
96-1	m iː									
101-1	h aː									
114-1	k u b i									
119-1	k i m u									
134-1	s i tsː oː									
138-1	s i n u									
146-1	a tsː u ɴ									
161-1	j u ɴ									
182-1	k i m u s i									
188-1	j a m a									
196-1	j u r u									
262-1	h i r u									
300-1	h e s o									
313-1	d e									
350-1	s e b a s									
352-1	tɕ i k a s									
396-1	h u r u s									
401-1	o s u									
420-1	o t i j u									
424-1	u t a j									
442-1	s i m i ts u k									
455-1	i k i ts oː									
15-1	a r i									
49-1	o i n a g o									
130-1	m i r									
14-2		k o r e								
18-2		d a r e								
