COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r ɨ									
18-1	θ a r i									
35-1	i θ u tɕ ɨ									
36-1	h u θ a tɕ ɨ									
48-1	n a g a s a r									
60-1	θ u r a ɴ i									
63-1	s i r a m									
64-1	x i									
67-1	h ɴ a									
68-1	n e ʔ ɴ									
71-1	ɴ ts i									
76-1	h u n ɨ									
83-1	ts ɨ n u									
87-1	h a n ɨ									
95-1	m i m i									
98-1	h a n a									
99-1	k u ts i									
-102-1	s i θ ɴ ɴ ɴ ɴ a									
103-1	ts ɨ m ɨ									
110-1	θ e									
116-1	m i n ɴ ɴ ɨ									
120-1	n u m u r									
132-1	k i x u r									
139-1	ɴ x u r u s u r									
140-1	ʔ u j u ɴ i									
156-1	θ a ts u r ɴ i									
168-1	ɴ ts ɨ ts i									
169-1	h u s i									
170-1	m i d i									
173-1	ʔ i s i									
180-1	k u m u									
185-1	h ɴ i									
186-1	m u i r u r									
187-1	m i ts i									
190-1	ʔ a x a s a r									
193-1	k i r u r									
194-1	s i r u s a r									
195-1	k u r u s a r									
216-1	m a r s a r.i ɨ									
221-1	n a a									
239-1	ʔ i tɕ ɨ									
252-1	m i ts i									
253-1	j u ts ɨ									
254-1	ʔ i ts i tɕ ɨ									
266-1	x a d ɨ									
267-1	n a g a r ɨ r u r									
268-1	ʔ u m i									
272-1	ʔ a m i ɨ									
276-1	ʔ a r a r u r									
281-1	m o s a ɴ i									
304-1	ts ɨ r ɴ k i									
305-1	ɴ ts i a									
308-1	h a n a									
309-1	k u s a									
310-1	θ u									
311-1	n i									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o ts u								
36-2		h u t u ts u								
48-2		n a g a kʲ a								
60-2		t o r i								
63-2		s i r a m i								
64-2		k i								
67-2		h u								
68-2		n e								
71-2		tɕ i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m e								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i t a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o j o g u								
156-2		t a tɕ e u								
168-2		ts u k i								
169-2		h o s i								
170-2		m i a.kʲ u								
173-2		i s i								
180-2		k u m o								
185-2		h a i								
186-2		m o e r u								
187-2		m i tɕ i								
190-2		a k kʲ a								
193-2		k a kʲ r o i								
194-2		s i r u kʲ o								
195-2		k u r u kʲ o								
216-2		m a r a kʲ a								
221-2		n u								
239-2		i ts u								
252-2		m ts u								
253-2		j oː ts u								
254-2		i ts u ts u								
266-2		k a r e								
267-2		n a g a r e r u								
268-2		u m i								
272-2		a m u								
276-2		a r a u								
281-2		m u s i								
304-2		ts u b e								
305-2		tɕ i tɕ i								
308-2		h a n a								
309-2		k u s a								
310-2		t o								
311-2		n i								
14-3			k o r e							
18-3			d a r e							
35-3			h iː t ts u							
36-3			h t a ts u							
48-3			n a g e							
60-3			t o r							
63-3			s iː r a ɴ iː							
64-3			k iː							
67-3			h a							
68-3			n e u							
71-3			tɕ iː							
76-3			h o n e							
83-3			ts u n o							
87-3			h a n e							
95-3			m i m i							
98-3			h a n a							
99-3			k u tɕ i							
-102-3			s i t a							
103-3			ts u m e							
110-3			t e							
116-3			n e							
120-3			n o m							
132-3			k i k u							
139-3			k o r o s							
140-3			j g u							
156-3			t a j o o							
168-3			ts u k i							
169-3			h o s i							
170-3			m i z u							
173-3			i s i							
180-3			k u m o							
185-3			h a							
186-3			m e u							
187-3			m i tɕ i							
190-3			a k i							
193-3			k i r e							
194-3			s i r e							
195-3			k u r e							
216-3			m a r i							
221-3			n a							
239-3			i ts u							
252-3			m i ts u							
253-3			j ts u							
254-3			i ts u ts u							
266-3			k a z e							
267-3			n a g a r e r							
268-3			u m i							
272-3			a m a							
276-3			a r a u							
281-3			m u s iː							
304-3			ts u i							
305-3			tɕ i i							
308-3			h a n a							
309-3			k u s a							
310-3			t o							
311-3			n							
14-4				k o r e						
18-4				d a r e						
35-4				h i t o t u						
36-4				h u t a t u						
48-4				n a g a i						
60-4				t o r i						
63-4				s i r a m i						
64-4				k i						
67-4				h a						
68-4				n e						
71-4				t i						
76-4				h o n e						
83-4				t u n o						
87-4				h a n e						
95-4				m i m i						
98-4				h a n a						
99-4				k u t i						
-102-4				s i t a						
103-4				t u m e						
110-4				t e						
116-4				m u n e						
120-4				n o m u						
132-4				k i k u						
139-4				k o r o s u						
140-4				o j o g u						
156-4				t a uː						
168-4				t u k i						
169-4				h o s i						
170-4				m i s u						
173-4				i s i						
180-4				k u m o						
185-4				h a i						
186-4				m o e r u						
187-4				m i t i						
190-4				a k a i						
193-4				k i r o i						
194-4				s i r o i						
195-4				k u r o i						
216-4				m a r ui						
221-4				n a						
239-4				i t u						
252-4				m i t u						
253-4				j oː t u						
254-4				i t u t u						
266-4				k a s e						
267-4				n a g a r e r u						
268-4				u m i						
272-4				a m e a						
276-4				a r a u						
281-4				m u s i						
304-4				t u k i						
305-4				t i i						
308-4				h a n a						
309-4				k u s a						
310-4				t o						
311-4				n i						
14-5					k o r e					
18-5					d a r e					
35-5					h i t oː ts u					
36-5					h u t ts u					
48-5					n a ŋ a i					
60-5					t oː r i					
63-5					s i r a m i					
64-5					k i					
67-5					h a					
68-5					n e					
71-5					tɕ i					
76-5					h o n e					
83-5					ts u n o					
87-5					h a n e					
95-5					m i m i					
98-5					h a n a					
99-5					k u tɕ i					
-102-5					s i t a					
103-5					ts u m e					
110-5					t e					
116-5					m u n e					
120-5					n o m u					
132-5					k i k u					
139-5					k o r oː s u					
140-5					oː j oː ŋ u					
156-5					t a t e r u					
168-5					ts u k i					
169-5					h o s i					
170-5					m i z u					
173-5					i s i					
180-5					k u m o					
185-5					h a i					
186-5					m oː e r u					
187-5					m i tɕ i					
190-5					a k a i					
193-5					k eː r o i					
194-5					s i r o a					
195-5					k u r o a					
216-5					m a r ui					
221-5					n a					
239-5					i ts u					
252-5					m i e u					
253-5					j oː e u					
254-5					i ts u ts u					
266-5					k a z e					
267-5					n a ŋ a r e r u					
268-5					u m i					
272-5					a m e					
276-5					a r a u					
281-5					m u s i					
304-5					ts u k i					
305-5					tɕ i r					
308-5					h a n a					
309-5					k u s a					
310-5					t o					
311-5					n i					
14-6						k u ɭ i				
18-6						d a ɭ i				
35-6						pˢ t u ts ɨ				
36-6						pˢ t a ts ɨ				
48-6						n a g u				
60-6						t u ɭ i				
63-6						s ɨː ɭ a m				
64-6						k i				
67-6						p aː				
68-6						n i				
71-6						ts ɨ				
76-6						pˢ u n i				
83-6						ts ɨ n u				
87-6						p a n p i				
95-6						m ɨː m ɨ				
98-6						p a n a				
99-6						ɨ				
-102-6						s i t a				
103-6						ts ɨ m i				
110-6						t i				
116-6						m u n i				
120-6						n u m ɨː				
132-6						ts ɨ k				
139-6						k u ɭ u s p				
140-6						p u j u g ɨː				
156-6						t a t o				
168-6						ts ɨ ts ɨ				
169-6						pˢ u s ɨ				
170-6						m ɨ				
173-6						ɨ s ɨ				
180-6						m u				
185-6						p a				
186-6						m u i ɭ p				
187-6						m ɨ ɨ				
190-6						a k a i				
193-6						ts u ɭ ɨ				
194-6						s ɨː ɭ u				
195-6						ɭ u				
216-6						m a ɨ				
221-6						n aː				
239-6						ɨ ts ɨ				
252-6						m ɨ				
253-6						j u ɨ				
254-6						i ts ts ɨ				
266-6						k a Ø i				
267-6						n a g a ɭ i ɭ ɨː				
268-6						m ɨ				
272-6						a m a a i				
276-6						a ɭ a p				
281-6						m s ɨ				
304-6						ts ɨ p vː aː				
305-6						ts ɨː				
308-6						p a n a				
309-6						s a				
310-6						t u				
311-6						n ɨ p p				
14-7							k o r e			
18-7							d a r e			
35-7							ɸ u t ts u			
36-7							ɸ o t a ts u			
48-7							n a ŋ eː			
60-7							t o r i			
63-7							s e r m			
64-7							k i			
67-7							a			
68-7							n e			
71-7							tɕ i			
76-7							h o n e			
83-7							ts u n o			
87-7							h a n e			
95-7							m e m			
98-7							h a n a			
99-7							k o tɕ i			
-102-7							s i t a			
103-7							ts u m e			
110-7							t e			
116-7							n e			
120-7							n o u			
132-7							k i k u			
139-7							k o r o s u			
140-7							o j o ŋ u			
156-7							t a tɕ o r u			
168-7							ts u k i			
169-7							h o s i			
170-7							m e z u			
173-7							e s i			
180-7							k u m o			
185-7							h eː i			
186-7							m e r u			
187-7							m i tɕ i			
190-7							k a			
193-7							k iː r			
194-7							s e r			
195-7							k u r			
216-7							m r iː			
221-7							n a			
239-7							e ts u			
252-7							m i ts u			
253-7							j o ts u			
254-7							e ts u ts u			
266-7							k a z e			
267-7							n a ŋ a r e r o			
268-7							u m i			
272-7							a m a			
276-7							a r a u			
281-7							m o s i			
304-7							ts u b a			
305-7							tɕ i tɕ			
308-7							h a n a			
309-7							k u s a			
310-7							t o			
311-7							n			
14-8								k o r e		
18-8								d a r e		
35-8								h i t o ts u		
36-8								h u t a ts u		
48-8								n a g a i		
60-8								t o r i		
63-8								s i r a m i		
64-8								k i		
67-8								h a		
68-8								n e		
71-8								tɕ i		
76-8								h o n e		
83-8								ts u n o		
87-8								h a n e		
95-8								m i m i		
98-8								h a n a		
99-8								k u tɕ i		
-102-8								s i t a		
103-8								ts u m e		
110-8								t e		
116-8								m u n e		
120-8								n o m u		
132-8								k i k u		
139-8								k o r o s u		
140-8								o j o g u		
156-8								t a o r u		
168-8								ts u k i		
169-8								h o s i		
170-8								m i a u		
173-8								i s i		
180-8								k u m o		
185-8								h a i		
186-8								m o e r u		
187-8								m i tɕ i		
190-8								a k a i		
193-8								k e r o i		
194-8								s i r o i		
195-8								k u r o i		
216-8								m a r ui		
221-8								n a		
239-8								i ts u		
252-8								m i ts u		
253-8								j o ts u		
254-8								i ts u ts u		
266-8								k a r e		
267-8								n a g a r e r u		
268-8								u m i		
272-8								a m e		
276-8								a r a u		
281-8								m u s i		
304-8								ts u b a		
305-8								tɕ i i		
308-8								h a n a		
309-8								k u s a		
310-8								t o		
311-8								n i		
14-9									k u r i	
18-9									t u r u	
35-9									i t u ɕ i	
36-9									u t u ɕ i	
48-9									n u g a s u ɴ a	
60-9									t u j i	
63-9									ʃ i r a m	
64-9									k iː	
67-9									h w w aː	
68-9									n i ʔ u ɴ	
71-9									w w w tɕ i	
76-9									h u n i	
83-9									ɕ i n u	
87-9									h u n ʔ i	
95-9									m i m i	
98-9									h u n u	
99-9									k u i	
-102-9									s i t w w w w u	
103-9									ɕ i m i	
110-9									t i	
116-9									m u n w w i	
120-9									n u m u ɴ	
132-9									tɕ i k u ɴ	
139-9									k u r u s	
140-9									ʔ u ʔʲ u g	
156-9									t u r oː ɴ w	
168-9									ɕ i tɕ i	
169-9									h u s i	
170-9									m i ɕ i	
173-9									ʔ i s i	
180-9									k u m u	
