COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	g a							
5-1	ɲ a							
4-1	tʰ i k							
6-1	ɲ a ŋ							
15-1	d i							
55-1	l ɔ							
56-1	a							
60-1	ɕ ɛi							
61-1	kʰ u ŋ							
80-1	dʑ ɔ k							
87-1	tɕʰ a							
86-1	pʰ l aˀ							
92-1	pʰ l							
102-1	m a							
106-1	pʰ ɔ k							
108-1	d a							
107-1	pʰ l ɛi							
112-1	pʰ a m							
115-1	ɕ							
114-1	t ɔ ŋ							
120-1	d aˀ							
124-1	a							
125-1	tʰ ɔ k							
132-1	ɕ i							
131-1	d i ŋ							
136-1	m i							
134-1	kʰ a k							
137-1	a							
138-1	d ɔ k							
140-1	h a							
143-1	tɕʰ a k							
145-1	tɕʰ a							
147-1	kʰ ɔi							
149-1	m i k							
153-1	ɕ							
152-1	kʰ ɛ ɲ							
158-1	kʰ i k							
163-1	l i							
164-1	ɲ u							
167-1	pʰ a ŋ							
171-1	ɲ u ŋ							
172-1	b u k							
173-1	tʰ ɔ n							
183-1	d ɛi							
185-1	m a							
188-1	kʰ i n							
189-1	ts i ŋ							
193-1	kʰ ɛ							
196-1	m au							
199-1	tɕʰ ɛi							
200-1	kʰ ɛ ɲ							
201-1	kʰ i							
202-1	kʰ ɛ							
203-1	tʰ ɔ ŋ							
204-1	b u							
206-1	ɲ a m							
117-1	b u							
146-1	kʰ ɔ p							
219-1	pʰ							
218-1	tɕʰ ɛi							
224-1	m a ŋ							
240-1	tɕʰ a k							
244-1	j aˀ t							
255-1	ɲ s							
260-1	b e							
263-1	d u							
269-1	dʑ ɛ k							
271-1	tʰ a k							
209-1	kʰ ɔ p							
277-1	m a							
278-1	b ɔ ŋ							
135-1	d i							
284-1	m u							
797-1	a							
290-1	l i ŋ							
289-1	ɕ i k							
296-1	ɲ i							
310-1	ɕ i							
319-1	i							
325-1	d ɛ							
327-1	tʰ ɛi							
331-1	k u							
337-1	b ɛ ɲ							
338-1	l i ŋ							
339-1	au							
350-1	kʰ u							
349-1	tʰ u ŋ							
357-1	tɕʰ aˀ							
355-1	a							
363-1	m ɛ n							
361-1	tʰ u							
365-1	ɕ a ɹ							
364-1	dʑ ɛ p							
375-1	d ɔ k							
379-1	ɕ ɛ t							
380-1	kʰ a							
396-1	j u							
400-1	m a							
405-1	d a ŋ							
404-1	ɕ u m							
409-1	d ɛ k							
410-1	i k t							
415-1	b a							
416-1	b a							
101-1	ɲ aˀ							
37-1	kʰ a							
424-1	pʰ ɔi							
434-1	tɕʰ ɛ h							
445-1	p							
446-1	ɕ i							
451-1	t aˀ							
457-1	ɲ a m							
456-1	b l a							
464-1	pʰ i ŋ ŋ							
473-1	tɕʰ i							
