COGID	Albanian	English	French	German	Latin
560-1	t t				
438-1	t t				
1222-1	t t				
353-1	t t t t				
201-1	t t e				
20-1	t t t				
503-1	t t t				
957-1	t t				
728-1	t t t				
244-1	t t t				
289-1	t t t				
911-1	t t t t t				
724-1	t t t				
145-1	t t				
992-1	t				
1181-1	t t t				
741-1	t t t				
1150-1	t t t t				
585-1	t				
814-1	t t t				
916-1	t t				
1079-1	t t				
630-1	t ɟ t				
343-1	t t t t				
8-1	t t t				
385-1					
683-1	t t t t				
650-1	t t t t t				
612-1	t t t				
871-1	t t t t r t				
667-1	t t t				
527-1	t t				
499-1	t t				
1029-1	t t				
336-1	t t t				
198-1	t t				
164-1	t t				
560-2		p r			
438-2		ʃ r			
1222-2		ʃ r			
353-2		ʃ r			
201-2		ʃ			
20-2		ʃ			
503-2		ʃ r			
957-2		r			
728-2		p			
244-2		r r			
289-2		ʃ r			
911-2		r r			
724-2		ʃ r i			
145-2		ʃ r			
992-2		r			
706-2					
106-2		p d			
741-2		ʃ r			
421-2		p			
227-2		p			
920-2		h ə r			
1083-2		h ai			
1066-2					
1125-2		p			
1197-2					
473-2		p ai			
284-2		p			
661-2		p			
701-2					
315-2					
1169-2		p d			
1150-2		t r r i			
982-2		p p			
987-2		p			
1055-2		p p d			
1130-2		p			
433-2		p			
625-2		p			
1186-2		p d			
416-2		p p d			
1233-2		p			
884-2		p			
1016-2					
952-2					
78-2		h			
514-2		p g r i			
116-2					
188-2		h			
745-2		h r			
1100-2		g r i d			
47-2		p p			
111-2		h			
1061-2		h			
24-2		h d			
232-2		d			
671-2		g r d			
385-2		t i			
945-2		s			
644-2		h d			
1041-2		h d r d			
492-2		h			
1209-2		h d			
527-2		r ɪ r i			
14-2		g l p			
1-2		o l			
915-2		a n d			
271-2		ai s			
711-2		s ai r			
1112-2		s l ai d			
205-2		g r i d			
301-2		f l i			
72-2		s l d			
162-2		p d			
238-2		θ ɪ			
560-3			ɛ ɛ r s		
438-3			ɛ r ɛ		
1222-3			s r ɛ		
353-3			s p ɛ s		
201-3			s ɛ		
20-3			ɛ ɛ r r		
503-3			p r ɛ s		
957-3			s ɛ		
728-3			s ɛ r		
244-3			s r s		
289-3			ɛ d ɛ		
911-3			r ɛ		
724-3			ɛ r s		
145-3			s p r		
992-3			s		
1181-3			s s		
706-3			ɛ e		
106-3			p u s ɛ r		
741-3			p r r		
421-3			g r u s r		
227-3			p r s		
