COGID	Albanian	English	French	German	Latin
560-1	u ə				
438-1	r r				
1222-1	r r				
353-1	ʃ e t				
201-1	d r				
20-1	d r				
503-1	e i				
957-1	d				
728-1	a				
244-1	n m				
289-1					
911-1	r r				
724-1	d r				
145-1	d r				
992-1	ʃ				
1181-1	c i e				
741-1	d e r				
1150-1	u r u r r				
585-1	t				
814-1	ə r u i r				
916-1	r				
1079-1	d				
630-1	ə ə t				
343-1	u i r				
560-2		s r ə			
438-2		i r i s			
1222-2		s t ə d			
353-2		s r i			
201-2		s i n			
20-2		h ɛ			
503-2		s r i			
957-2		s i			
728-2		s i n			
244-2		s i			
289-2		s r ə d			
911-2		r i			
724-2		t r i			
145-2		s w i			
992-2		s i			
706-2		ɛ			
106-2		p ʃ r			
741-2		p t i			
421-2		b l ə d t			
227-2		f r			
920-2		h ɛ r			
1083-2		h ɛ r			
1066-2		a f			
1125-2		θ ɛ n			
1197-2		m ə t			
473-2		n ɪ ə t			
284-2		h a s			
661-2		s o			
701-2		r ɛ n			
315-2		r i			
1169-2		s o d			
1150-2		s r i r t			
982-2		s s			
987-2		s n d			
1055-2		s r ə			
1130-2		s o			
433-2		s a n			
625-2		s ə			
1186-2		θ a n			
416-2		s o t			
1233-2		θ ɪ			
884-2		s ɛ			
1016-2		ɛ v t t			
952-2		t			
78-2		s l a s			
514-2		j g r i n			
116-2		a s			
188-2		s θ			
745-2		θ v r			
1100-2		g r i ə t			
47-2		p v i t			
111-2		h ɛ			
1061-2		k n t			
24-2		h ɪ d			
232-2		n ɪ d			
671-2		g r k a t			
560-3			g ʃ a		
438-3			g r		
1222-3			r v		
353-3			p r s s		
201-3			p u		
20-3			p u r		
503-3			p u n		
957-3			ʒ u		
728-3			f u		
244-3			n u r		
289-3			g k u		
911-3			r u		
724-3			g r		
145-3			t u u		
992-3			n u		
1181-3			s ʃ ɑ̃ t		
706-3			u k		
106-3			p u i r		
741-3			p u a s		
421-3			g u u		
227-3			p u s		
920-3			k u r e		
1083-3			k u r		
1066-3			o		
1125-3			ʒ		
1197-3			m u r		
473-3			k u z		
284-3			p u s		
661-3			ʒ u		
701-3			r u		
315-3			k i t		
1169-3			ʒ u		
1150-3			g g r		
982-3			g k i		
987-3			ʒ u		
1055-3			k u o r		
1130-3			k u		
433-3			k u e		
585-3			n u		
625-3			k u		
1186-3			ʒ u		
814-3			v a r e		
416-3			k u		
1233-3			k u t		
884-3			ʒ ɛ r e		
916-3			s		
1016-3			p v ɔ i		
952-3					
514-3			g r o t		
1079-3			s i		
1100-3			g u r		
47-3			p v ɔ m		
111-3			m u		
1061-3			k ɔ t ɛ e		
1155-3			ʒ o r		
343-3			v ɑ̃ r t r		
671-3			g r u		
560-4				ʃ m l	
438-4				eː l	
1222-4				ʃ	
353-4				f r a ə	
201-4				f l eː	
20-4				f a t	
503-4				f m l	
957-4				m	
728-4				l au	
244-4				m aː ə	
289-4				n d	
911-4				m	
724-4				d	
145-4				ʃ	
992-4					
1181-4				ʃ m au t	
706-4				eː g	
106-4				f eː	
421-4				f l	
227-4				f g	
920-4				h au r	
1083-4				h au l	
1066-4					
1125-4				g au n	
1197-4				m eː d	
473-4				n au	
284-4				n eː	
661-4				m	
701-4				r au	
315-4				r au g ə n	
1169-4				f a l	
1150-4				ʃ k l t ə	
982-4				g z	
987-4				f n	
1055-4				ʃ t eː d	
1130-4				z eː	
433-4				z eː n	
585-4				t	
625-4				t eː n	
1186-4				g eː	
814-4				k r	
416-4				g au	
1233-4				d y n	
884-4				n e r	
78-4				ʃ l	
514-4				b eː r d n	
116-4				eː t	
188-4				f r eː b ə	
745-4				f eː d ə	
1100-4				f r	
630-4				ʃ ʃ t ʃ t eː	
1155-4				f au	
24-4				n eː	
232-4				n au	
671-4				g r r a ə ə	
560-5					s e n o
438-5					s s
1222-5					k p u
353-5					p e m i o
201-5					s e n u o
20-5					k u t e o o
503-5					p l aː a
957-5					t e n
728-5					s a i i
244-5					n a m u n
289-5					n i u o
911-5					s a s u i n
724-5					t e eː
145-5					t e
992-5					k a
1181-5					k k a n i o
706-5					s i i n
106-5					k e t e
741-5					p a aː m o
421-5					s l a m
227-5					s u e
920-5					k u r i i n
1083-5					k u r i
1066-5					s t a
1125-5					t e n
1197-5					m e n u
473-5					s u b e
284-5					s u b u
661-5					k e n u
701-5					k u u t i
315-5					s a t i i t i
1169-5					s u l e
982-5					s s u i
987-5					s n
1055-5					k u t eː i n
1130-5					s u i
433-5					s e l aː
585-5					t e
625-5					s a n i i
1186-5					s e n e
814-5					f i r i aː
416-5					k u a t
1233-5					s e n u i
884-5					w e r u i
916-5					aː a
1016-5					a w o m e
952-5					a
78-5					s u u
1079-5					w i d o
116-5					u t i
188-5					k u t p u i n
745-5					k e t u
47-5					k a uː m a
111-5					k a k u
1061-5					m a n t e
630-5					n s p u o
1155-5					k u l a i
24-5					n u u u
232-5					s e i u
343-5					a a k e
