COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a a n a a a									
1285-1	n u a a									
1303-1	n g ɔ m a									
2197-1	a l a l a									
2828-1	a i n a									
3572-1	s ɔ n a									
1095-1	l i m a									
1755-1	a n ɛ									
1789-1	k a l a a n a a									
3207-1	a u l a									
3519-1	t u m a									
3686-1	a i m a a									
4249-1	k u m a									
4451-1	a i s a									
448-1	a a a a a a									
630-1	a ɛ ɛ l a									
814-1	n ɔ a m a a									
1216-1	g a a a a a									
1228-1	a a a a									
1418-1	a i m u a a a									
1475-1	g u a									
2026-1	t u i a									
2775-1	a u a m a a									
3397-1	a ɔ l a									
3826-1	a ɔ k a									
4003-1	a i a a a									
4040-1	g ɛ n a									
4373-1	l a m a									
4384-1	i a ɔ									
84-1	s u a u l a									
116-1	a i k a									
181-1	g ɔ ɔ n g a									
419-1	l ɔ g a									
587-1	ɔ ɔ n g a									
660-1	l ɛ l a									
848-1	a u l a									
1083-1	l i l a									
1122-1	a i n a									
1159-1	n a									
1350-1	l a a a									
1374-1	n a a a n a									
1396-1	a ɔ a a									
1430-1	i a s a									
1666-1	a a a a a									
1767-1	k ɔ k a									
1906-1	i n g i l a									
2177-1	n g a a a									
2286-1	l a									
2317-1	a a a a									
2419-1	s ɛ k a									
2750-1	ɛ ɛ a a									
3018-1	a i l a									
3275-1	g a a n a									
3441-1	s a a n g a									
3464-1	a ɔ n a									
3639-1	t ɛ t ɛ m a a a									
3885-1	s u m a									
3981-1	i a m a a a									
4192-1	a i a m a a									
4260-1	s a a a									
4350-1	l ɛ ɛ l a a									
43-1	a a a a a									
93-1	a ɔ n a									
200-1	a i a									
374-1	a a a l a a a									
459-1	l u m a									
508-1	p ɔ a a									
528-1	a i l a									
575-1	t a a									
871-1	a a a a									
1137-1	a a g a									
1339-1	a a a a									
1585-1	a a l a									
1712-1	a u l a									
1872-1	p a a									
2088-1	a i s a									
2166-1	a u a m a a									
2334-1	a i k a									
2393-1	m a n a									
2537-1	l ɔ m a									
2665-1	i a n g a									
2738-1	a ɛ ɛ l a									
2872-1	k a s a									
2893-1	a a a a a									
2997-1	k a a n s a									
3075-1	g u l u a a									
3675-1	l a a a l a									
4028-1	a u ɛ									
4137-1	m a l a									
4238-1	i a s a a a									
4316-1	t u t a									
4429-1	p a s a									
4440-1	a i l a									
4485-1	s u									
4574-1	a a a a l a									
4688-1	a a a u a									
143-1	a u a									
240-1	a a g a									
388-1	a a a u m a									
401-1	a a									
599-1	t u a m a a									
649-1	l ɛ ɛ a a									
755-1	g u l a									
836-1	s u a m a a									
969-1	a a a									
994-1	a a a a a a									
1006-1	a u a a g a									
1032-1	a ɔ l ɔ l a									
1043-1	a a l a									
1110-1	t ɛ m a									
1263-1	t u p a									
1273-1	l ɔ ɔ a a									
1329-1	i a a a l a									
1362-1	g i a									
1606-1	ɔ a t a									
1617-1	a a a a									
1629-1	a u i a									
1744-1	i a a a									
1895-1	a a									
1917-1	a u m a									
1969-1	a a a a a									
1989-1	s a g a									
2037-1	n k u t a									
2128-1	g ɛ a m a a									
2186-1	g a n a									
2483-1	g u l a									
2592-1	l a l a									
2615-1	a a a									
2700-1	g a a n a a									
2784-1	g a l a									
2797-1	l ɔ m a									
2884-1	a p a a a									
2904-1	g ɛ ɛ n a a a									
2972-1	a ɛ a									
3030-1	l i p a									
3148-1	i t a									
3160-1	l u a a									
3261-1	a a a a									
3364-1	a ɔ t a									
2689-2		n i m a								
893-2		p i n i a								
1303-2		n k o m a								
2197-2		s a i l o								
2828-2		s i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		k i l a a n k a								
3207-2		p u l o								
3519-2		t u m u								
3686-2		p i m b a								
4249-2		k u m i								
4451-2		v i s i								
448-2		p u i b i								
630-2		p e e l e								
814-2		n o m b e								
1216-2		g i v d b a								
1228-2		p i b a								
1418-2		p d a a b a								
1475-2		k a o								
2026-2		t i i a								
3826-2		p o k a								
4003-2		p i i v a								
4373-2		p i b i								
4384-2		p i o								
84-2		s u k u l u								
116-2		v i k a								
419-2		l o g a								
587-2		o o n k o								
660-2		l e l a								
848-2		k i l a								
1122-2		v u n a								
1159-2		n a								
1350-2		l i b a								
1374-2		n d d n a								
1906-2		i n k i l o								
2419-2		s e k a								
