COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ o n															
2181-1	n a m															
2060-1	ʔ ɨ m															
410-1	t ɛ															
1841-1	m m															
2017-1	h ɛ															
1004-1	a a															
614-1	b o h															
686-1	b a ɛ															
88-1	g a ʔ															
872-1	n ɨ ŋ															
1891-1	t a															
68-1	ɨ ɨ m															
631-1	b ə̆ n															
594-1	g a															
1759-1	h a n															
805-1	g ɨ n															
756-1	h ɨ k															
1201-1	m u ɨ															
2042-1	ʔ a															
1968-1	t a ʔ															
2000-1	a ŋ															
17-1	t a t															
4-1	a ə m															
788-1	t a															
1219-1	k ɨ m															
141-1	ʔ a ŋ															
541-1	p r j a ŋ															
1687-1	h u n															
123-1	a a m															
1652-1	t ɨ n															
576-1	ŋ a															
1738-1	t a k															
442-1	h u m															
368-1	t j a ŋ															
1778-1	p a t															
957-1	n a															
1704-1	ʔ ɨ ʔ															
304-1	j a m															
1796-1	t a ŋ															
720-1	t a h															
287-1	k ə p															
321-1	g ə h															
206-1	t o ʔ															
1950-1	ʔ ɨ															
665-1	a o n															
703-1	n o ʔ															
1290-1	m ɛ															
1391-1	k a ʔ															
269-1	g a ʔ															
855-1	t a n															
2078-1	ɨ ɨ															
2213-1	m ɛ															
1858-1	ɨ a															
1151-1	g j a n															
737-1	p ə̆ t															
340-1	ɨ o															
1111-1	ɨ ɛ															
485-1	ŋ a															
1356-1	m u h															
1093-1	t u ŋ															
1063-1	t o m															
648-1	t ɔ ŋ															
223-1	g ɔ n															
1248-1	t ɨ															
1509-1	t a n															
504-1	t u h															
2130-1	ɨ a															
1-1	ʔ o															
386-1	o ʔ															
1411-1	ʔ o															
1027-1	g a ʔ															
1459-1	g a ɛ															
1323-1	a ə															
1538-1	r j a h															
975-1	ɲ a h															
940-1	ŋ ɔ h															
1476-1	ʔ a h															
1923-1	n ɨ															
105-1	t ɔ ŋ															
1431-1	ʔ u															
1814-1	m a ɲ															
1183-1	ŋ ɔ n															
1430-1	t u															
1721-1	ɨ u ʔ															
1617-1	b o ʔ															
1564-1	b u ʔ															
2111-1	a u															
1563-1	ɨ a															
1597-1	ɨ ɔ ŋ															
1859-2		n l														
175-2		k a														
