COGID	Albanian	English	French	German	Latin
560-1	m e m				
438-1	y				
1222-1	f m				
353-1	d e r ə r				
201-1	r r a r				
20-1	d				
503-1	p e				
957-1	r				
728-1	m e				
244-1	p e m				
289-1	m j t				
911-1	r d r				
724-1	d r u				
145-1	d j				
992-1	m				
1181-1	a r				
741-1	p e				
1150-1	m				
585-1	f r				
814-1	d e				
916-1	t t				
1079-1	l i r				
630-1	r t				
343-1	d t				
8-1	d				
385-1	d				
683-1	k ə r t				
650-1	l i				
612-1	f m				
871-1	d r k r				
667-1	l r				
527-1	d				
499-1	p e				
1029-1	p e				
336-1	p r ɟ r				
198-1	m				
164-1	n ʃ m t ə o				
560-2		h ɪ s			
438-2		g r			
1222-2		s			
353-2		p s			
201-2		f r			
20-2		f r r			
503-2		p l			
957-2		ɪ n			
728-2		l ɪ			
244-2		s ɪ n			
289-2		s a t			
911-2		w i l			
724-2		d r ai			
145-2		d t			
992-2		w o			
706-2					
106-2		p ʊ d			
741-2		p			
421-2		v l ʊ m			
227-2		p ʊ			
920-2		h r			
1083-2		h r			
1066-2		g r			
1125-2		s r			
1197-2		m ɪ			
473-2		ai			
284-2		a s			
661-2		o			
701-2		m ʊ n			
315-2		s o n			
1169-2		s a l			
1150-2		h r r			
982-2		s ɪ			
987-2		s t s			
1055-2		s t ɛ			
1130-2		s			
433-2		s n			
625-2		w ɪ a			
1186-2		s a n			
416-2		w			
1233-2		w i n			
884-2		w i r m			
1016-2		s s			
952-2		ɛ			
78-2		v l a s			
514-2		g r i n			
116-2		s t			
188-2		p ɪ r n			
745-2		f r θ			
1100-2		f r			
47-2		g			
111-2		h			
1061-2		s			
24-2		n ɪ f t			
232-2		n ʊ n			
671-2		l r r d			
385-2		s ɪ			
945-2		s a m n			
644-2		p			
1041-2		s t o			
492-2		ð a n			
1209-2		s			
527-2		w a t			
14-2		g ɛ l v			
1-2		a l			
915-2		au n d			
271-2		a s ə			
711-2		v ai t			
1112-2		v l ʊ d			
205-2		v r au t d			
301-2		k l au ə			
72-2		k a l d			
162-2		h			
238-2		d ɛ g			
560-3			v ɔ n		
438-3			g r		
1222-3					
353-3			p u s e		
201-3			p ɛ		
20-3					
503-3			p u		
957-3					
728-3			d ɛ		
244-3					
289-3					
911-3			a r i		
724-3			g r		
145-3					
992-3					
1181-3			ʃ a n		
706-3					
106-3			p r ɛ		
741-3			p ø		
421-3			f l r		
227-3			p u		
920-3			ʃ r		
1083-3			k r ø		
1066-3					
1125-3			ʒ ɛ l ø		
1197-3			m t r		
473-3			m ɔ		
284-3			p ɛ s		
661-3			y n		
701-3			r u b		
315-3			r		
1169-3			s o s		
1150-3			s ɛ r ɛ		
982-3			s		
987-3			s		
1055-3			s		
1130-3			s ø v		
433-3			s u e		
585-3			e ø		
625-3			d r		
1186-3					
814-3			v ɛ r		
416-3					
1233-3			s n		
884-3			v ɛ r t		
916-3					
1016-3			a r ɛ r ɛ l		
952-3					
514-3			k s		
1079-3			b b		
1100-3			g ɛ		
47-3			v ɔ t		
111-3			d a s		
1061-3			m œ n		
1155-3			ʃ ɛ		
343-3			v ɛ r r		
671-3			r ɛ s		
460-3			p u s		
8-3			ɑ̃		
644-3			s		
683-3			ʃ o t e		
650-3			k l		
612-3			f m		
871-3			d s		
1209-3			v ɔ s e		
667-3			d a i e		
499-3			n		
14-3			p		
1029-3					
272-3			k n ɛ r		
278-3			m l		
410-3			k r t k		
336-3			j p j		
1009-3			v ɛ n t r		
479-3			v		
712-3			m œ r		
1113-3			s n n		
605-3			s s		
752-3			s p i r e		
695-3			n ø b		
73-3			f r i ʒ		
162-3			s o		
239-3			d		
560-4				h aː t	
438-4				ʃ r	
1222-4				ʃ d	
353-4				f i ʃ h	
201-4				f t	
20-4				f a t ə t	
503-4				f a l	
957-4				m n	
728-4				l i t	
244-4				n aː t	
289-4				n ə t	
911-4				iː r t d	
724-4				n r iː	
145-4				m oː s	
992-4				h s	
1181-4				h au t	
706-4				ʃ ə l	
106-4				f a n d ə	
421-4				f l au d	
227-4				f uː t	
920-4				h a r t	
1083-4				h a r n	
1066-4				n	
1125-4				ʃ aː	
1197-4				m a n d ə	
473-4				n aː	
284-4				n eː r	
661-4				v eː n	
701-4				h au t	
315-4				h au n d	
1169-4				ʃ a l	
1150-4				ʃ a r s	
982-4				ʃ aː t	
987-4				ʃ n d	
1055-4				ʃ t t r	
1130-4				ʃ t	
433-4				ʃ eː n	
585-4				ʃ t	
625-4				l ŋ	
1186-4				m r n	
814-4				ʃ r	
416-4				h ai s	
1233-4				v i n d	
884-4				v eː r m	
78-4				f l	
514-4				b ə r n	
116-4				ʃ s	
188-4				f a r b au l	
745-4				f a n d ə	
1100-4				f r ə t	
630-4				m r d ə t	
1155-4				h au l	
24-4				n a s	
232-4				n au n	
671-4				r ai s	
460-4				h au t	
8-4				ʃ r t t	
385-4				ʃ t	
945-4				z eː t	
1041-4				ʃ t a n d	
492-4				d eː n ə	
527-4				v a t ə r	
14-4				j aː l eː	
1-4				a l	
915-4				a n d	
271-4				a ʃ	
711-4				v ai s	
1112-4				ʃ l a t	
205-4				h r aː z s	
301-4				k l a	
72-4				h a l t	
238-4				t aː g	
560-5					p i t iː n
438-5					p r m w t
1222-5					p r m o
353-5					p oː k i
201-5					p i l u
20-5					k u l r eː n
503-5					p l e
957-5					s eː
728-5					l a m
244-5					n a r u n
289-5					l u w i a
911-5					p l u i a o a
724-5					p r i a a
145-5					d
992-5					k
1181-5					k w i a a
706-5					s i i a
106-5					p u l e a
741-5					p i k
421-5					f l a r i
227-5					p u t a
920-5					k o r iː u
1083-5					k a r n o
1066-5					g e a
1125-5					g e l u
1197-5					m a r e a
473-5					n u w i
284-5					n e
661-5					a a a
701-5					r u p i
315-5					s a l i u
1169-5					g i l a
982-5					a a i u a
987-5					g a e e
1055-5					aː l i d l a
1130-5					k u i i
433-5					w o l aː w t
585-5					t uː a
625-5					l eː m i a
1186-5					d eː a i
814-5					p r eː t
416-5					k i d eː
1233-5					p eː n i u
884-5					m i r t a
916-5					oː
1016-5					a nː o m a l a
952-5					a d u
78-5					k l a
1079-5					b i a
116-5					k l a
188-5					k a
745-5					k n u a
47-5					a a a n o
111-5					l a k u
1061-5					m a r i r o
630-5					n i n aː
1155-5					k u l t
24-5					n e
232-5					k a i
343-5					m i t s i eː n a
460-5					p u l iː
945-5					k a u
644-5					k u l i
683-5					k eː n d aː
650-5					s i oː l
612-5					f uː m aː
1041-5					g i a a
871-5					d i oː e t
492-5					n
1209-5					w o a i o
667-5					l a w
499-5					n u
1029-5					w u
272-5					s eː m i d
278-5					m a m i m i
410-5					a d o r m i eː
1009-5					w eː t r
198-5					m k g
479-5					i a k a r o
712-5					m o r m
1113-5					s eː
605-5					o s
752-5					g e m i iː i t
695-5					n u a g
73-5					f r i a d
164-5					n e m r i e k i
239-5					g u r
