COGID	dutch	english	french	german
1469-1	s ɑ n t			
2047-1	s uː l ə j			
2054-1	t ɔ n d ə r			
1375-1	l ɛɪ t j r			
760-1	w ɪ n t			
756-1	n eː			
726-1	m uː iː r			
1351-1	k r ɛɪ n + v ɔ x t ə r			
1353-1	k r ɛɪ n + m oː d ə r			
412-1	b ɑ eː r			
406-1	s m iː r + m uː d ə			
1005-1	s a + p v aː ə r			
1012-1	œy t + s m uː ə r			
1016-1	v ɪ v aː r			
1069-1	ɪ			
509-1	p aː l			
693-1	m j l + t iː r			
2179-1	n ɪ s t ə			
1753-1	f ɪ s			
1131-1	w ɔ l f			
1198-1	b ɪ r			
2032-1	k uː n			
2241-1	n aː z			
2244-1	l ɪ p r			
610-1	ɪ n iː			
945-1	h ɑ t			
1534-1	l ɪ s j			
384-1	s uː x ə			
1650-1	n w oː			
1663-1	s ɑ l t			
2279-1	l ɪ n ə			
471-1	z aː eː m			
1385-1	s ə t m s			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	s uː d ə			
2020-1	l ɔ ŋ			
867-1	h ɔ n d eː d			
1970-1	v ɔ l			
1230-1	d r w oː j			
2017-1	n œy w			
968-1	w ɛ l d			
1674-1	l ɑ n t			
1671-1	h uː x l			
829-1	k l iː p ə			
1025-1	v ɔ d ə r			
1027-1	s iː			
1832-1	r oː v			
-1816-1	oː s aː n			
-335-1	l ə x ɛɪ n ə			
1043-1	s t r iː m			
423-1	s t ɛɪ n			
2049-1	m ɔ n t			
2062-1	s t ɔ r m			
2065-1	r aː n + b oː x ə			
1368-1	s x oː d ə			
1365-1	d j ɛɪ			
754-1	r aː n eː			
768-1	v ɛ t ə r			
1211-1	v œy iː r			
106-1	m ɑ n			
-98-1	b aː b iː			
719-1	v ɑ t ə r			
1341-1	z oː n			
-2027-1	ɑ n t ə			
-2026-1	n eː v j ɛɪ			
409-1	s oː n ə r + l oː n			
402-1	s ɔ t iː r + iː t			
1014-1	s t iː p + d ɔ x t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s uː r ɛɪ			
2194-1	ɔ k s ə			
2199-1	k ɑ l p			
2197-1	s iː p			
1523-1	z ɔ			
1521-1	b uː k			
512-1	m ɑ r aː			
2141-1	h ɛ n			
2147-1	x ɑ n s			
814-1	k r ɛɪ ə			
810-1	d oː b ə			
1755-1	h j			
1758-1	m uː z			
1760-1	r ɑ t			
1620-1	v iː n eː			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l uː s			
1307-1	n iː s			
1305-1	v l iː			
711-1	w ɛ s p ə			
1442-1	v l iː k			
62-1	m iː ɔ k			
-73-1	m ə s k iː t ɔ			
1810-1	h oː t			
1805-1	v l eː s			
1813-1	h eː r			
1811-1	b l ɔ d			
690-1	r iː p ə			
2177-1	h eː d			
246-1	ɛɪ + b r uː ə			
249-1	ɛɪ k ə l			
1506-1	n aː z t ə l oː k			
2242-1	m uː n t			
2245-1	t ɔ ŋ ə			
1196-1	uː k			
2174-1	s ɔ l d ə r			
575-1	ə k s l + h oː l ə			
603-1	ɛ l ə b			
601-1	h ɑ n t			
615-1	v iː ŋ k ə r			
901-1	k l ɑ eː			
608-1	v ɛɪ s			
596-1	t aː ə			
937-1	b r ɛ s t			
936-1	n aː v ə l			
646-1	l oː ŋ ə			
947-1	l iː b ə r			
1606-1	h ɔ f t ə			
472-1	n iː z ə			
1535-1	s w eː t ə			
1546-1	s p iː t ə			
1959-1	s l aː p ə			
694-1	s n ɔ r k ə			
1961-1	t r œy m ə			
323-1	ə l ɛɪ v			
1885-1	x r aː v			
2156-1	k aː l d ə ŋ			
1903-1	w uː n d ə			
525-1	s w ɛ l ɛɪ ŋ			
276-1	l aː m aː			
274-1	d oː p			
278-1	b l ɪ n d			
258-1	b r ɔ ŋ k ə n			
256-1	n aː k iː d			
383-1	iː s ə			
207-1	r ɛɪ p			
376-1	t r iː ŋ k ə			
2009-1	oː v ə			
2003-1	k eː t ə l			
2024-1	p ɑ n eː			
1321-1	k ɔ p			
1976-1	t ɑ ŋ z			
1243-1	m aː l t ɛɪ			
1265-1	p eː l j			
1261-1	s iː v iː n			
655-1	b r ɛ d			
650-1	t aː k			
1532-1	k n iː t ə			
-36-1	z ɛɪ p ə			
34-1	b oː n ə			
-1647-1	v iː k ə			
-1615-1	oː l			
125-1	v ɑ t			
1659-1	h oː n ɛɪ k			
1661-1	m iː l k			
1676-1	b ɔ d ə r			
480-1	d ə ŋ k ŋ k			
1466-1	k l aː d ɔ ŋ			
2277-1	w ɔ l ə			
2271-1	v ɛ l t			
2293-1	l eː d ə r			
624-1	z p iː n			
628-1	s p iː n d ə l			
626-1	w iː v ə n			
633-1	n aː d ə l			
1185-1	s ɛɪ s m k ə r			
1179-1	h ɛɪ t			
2168-1	k aː m			
