COGID	dutch	english	french	german
1469-1	s æ n t			
2047-1	s ɔ n ə			
2054-1	d ɔ n ə r			
1375-1	l aɪ x t			
760-1	v ɪ n t			
756-1	ʃ n eː			
726-1	m ʊ t ə r			
1351-1	ɡ r æ s f aː t ə r			
1353-1	ɡ r oː s m ʊ ð ə r			
412-1	ʃ v ɡ ə r f aː t ə			
406-1	ʃ v ɡ ə r m ʊ t ə			
1005-1	s t ɛ f f aː t ə r			
1012-1	s t ɛ f m ʊ ð ə r			
1016-1	v ɪ t əʊ ə r			
1069-1	ɪ x			
509-1	f ʏ l ə			
693-1	m au l t			
2179-1	n ɛ s t			
1753-1	f ɪ ʃ			
1131-1	v ɔ l f			
1198-1	b aː ə t			
2032-1	h ɔ r n			
2241-1	n aː z			
2244-1	l ɪ p ə			
610-1	n iː			
945-1	h ɛ t			
1534-1	l ɛ k ə			
384-1	s ʌ k ə			
1650-1	n ʊ t			
1663-1	s ɔː l ts			
2279-1	l ai n ɪ n			
471-1	s æː ə			
1385-1	s aː t			
792-1	j əʊ x			
1111-1	m a s t			
197-1	s yː d			
2020-1	l a ŋ			
867-1	h ʊ n d ə r t			
1970-1	f ɔ l			
1230-1	d r d			
2017-1	n ɔy			
968-1	v ɛ l t			
1674-1	l æ n d			
1671-1	h yː ɡ ə l			
829-1	k l ɪ p ə			
1025-1	v ɔː s ə r			
1027-1	z iː			
1832-1	r au			
-1816-1	oː ʃ eː aː n			
-335-1	l a ɡ uː n ə			
1043-1	ʃ t r oː m			
1469-2		z ɑ n t		
2047-2		z ɔ n ə		
2054-2		d ɔ n ə r		
1375-2		l ɪ x t		
760-2		v ɪ n t		
756-2		ʃ n eː		
726-2		m ʊ t ə r		
1351-2		ɡ r oː s f aː t ə r		
1353-2		ɡ r oː s m ʊ t ə r		
412-2		ʃ v iː ɡ f aː t ə r		
406-2		ʃ v iː ɡ m ʊ t ə r		
1005-2		ʃ t iː f aː t ə r		
1012-2		ʃ t iː f m ʊ t ə r		
1016-2		v ɪ t v ə r		
1069-2		ɪ x		
509-2		f ʏ l ə		
693-2		m au l t iː r		
2179-2		n ɛ s t		
1753-2		f ɪ ʃ		
1131-2		v ɔ l f		
1198-2		b aː r t		
2032-2		h ɔ r n		
2241-2		n aː z		
2244-2		l ɪ p ə		
610-2		k n iː		
945-2		h ɛ r ts		
1534-2		l ɛ k ə		
384-2		z au ɡ ə		
1650-2		n ʊ s		
1663-2		z a l		
2279-2		l ai n ə		
471-2		z æː ə n		
1385-2		z aː t		
792-2		j ɔ x		
1111-2		m ɑ s t		
197-2		z yː d ə		
2020-2		l a ŋ		
867-2		h ʊ n d ə r t		
1970-2		f ɔ l		
1230-2		d r ɪ t ə		
2017-2		n ɔy		
968-2		v ɛ l t		
1674-2		l a n t		
1671-2		h yː ɡ ə l		
829-2		k l ɪ p ə		
1025-2		v a s ə r		
1027-2		z eː		
1832-2		r au		
-1816-2		oː ts eː aː n		
-335-2		l a ɡ uː n ə		
1043-2		ʃ t r oː m		
1469-3			z ɑ n t	
2047-3			z ɔ n	
2054-3			d ɔ n d ə r	
1375-3			l ɪ x t	
760-3			w ɪ n t	
756-3			s n eː	
726-3			m ʌ d ə r	
1351-3			ɡ r oː t f aː d ə r	
1353-3			ɡ r oː t m uː d ə r	
412-3			s x oː n ə r v aː d ə r	
406-3			s x oː n ə r m n d ə r	
1005-3			s t iː f aː d ə r	
1012-3			s t iː f m uː d ə r	
1016-3			w ɪ d yː ə r	
1069-3			ɪ k	
509-3			f øː l ə	
693-3			m j l l z ə	
2179-3			n ɛ s t	
1753-3			f ɪ ʃ	
1131-3			w ɔ l f	
1198-3			b aː r t	
2032-3			h oː r n	
2241-3			n øː z	
2244-3			l ɪ p	
610-3			k n iː	
945-3			h ɑ r t	
1534-3			l ɪ k ə	
384-3			z œy ɣ ə	
1650-3			n ʌ t	
1663-3			z ɑu l	
2279-3			l ɪ n ə n	
471-3			z aː j ə	
1385-3			z aː t	
792-3			j ʉ k	
1111-3			m ɑː s t	
197-3			z œy d ə	
2020-3			l ɑ ŋ	
867-3			h ɔ n d ə r t	
1970-3			f ɔ l	
1230-3			d ɛ r d ə	
2017-3			n iː w	
1469-4				s ɑ n d
2047-4				s ɔ n
2054-4				θ ɔ n d ə r
1375-4				l aɪ t
760-4				w ɪ n d
756-4				s n əʊ
726-4				m ʌ ð ə r
1351-4				ɡ r æ d f ɑː ð ə r
1353-4				ɡ r æ n m ʌ ð ə r
412-4				f ɑː ð ə r ɪ n l ɔː
406-4				m ʌ ð ə r ɪ n l ɔː
1005-4				s t ɛ p f ɑː ð ə r
1012-4				s t ɛ p m ʌ ð ə r
1016-4				w ɪ d əʊ ə r
1069-4				aɪ
509-4				f əʊ l
693-4				m j l l
2179-4				n ɛ s t
1753-4				f ɪ ʃ
1131-4				w ʊ l f
1198-4				b ɪ ə d
2032-4				h ɔː n n
2241-4				n əʊ z
2244-4				l ɪ p
610-4				n iː
945-4				h ɑː t
1534-4				l ɪ k
384-4				s ʌ k
1650-4				n ʌ t
1663-4				s ɔː l t
2279-4				l ɪ n ɪ
471-4				s əʊ
1385-4				s iː d
792-4				j əʊ k
1111-4				m ɑ s t
197-4				s aʊ d
2020-4				l ɔ ŋ
867-4				h ʌ n d r ə d
1970-4				f ʊ l
1230-4				θ ɜː d
2017-4				n j uː
968-4				w ɜː l d
1674-4				l æ n d
1671-4				h ɪ l
829-4				k l ɪ f
1025-4				w ɔː t ə r
1027-4				s iː
1832-4				r ʌ f
-1816-4				əʊ ʃ n̩
-335-4				l ə ɡ uː n
1043-4				s t r iː m
