COGID	dutch	english	french	german
1469-1	z ɑu d.ə			
2047-1	z oː n ə ə			
2054-1	d oː n d ə r			
1375-1	l ɪ Ø t ə ə ə			
760-1	w ə n d.ə			
756-1	z n ə			
726-1	m ɔ Ø ə r			
1351-1	k r Ø t + v Ø Ø ə r			
1353-1	k r Ø + m ɔ Ø ə r			
412-1	Ø ɛɪ Ø ə Ø + v Ø Ø ə r + ə + Ø			
406-1	Ø ɛɪ Ø ə Ø + m ɔ Ø ə r + ə + Ø			
1005-1	z t eː p ə + v Ø Ø ə r			
1012-1	z eː p + m ɔ Ø ə r			
1016-1	w ə d.ə Ø ə r			
1069-1	ə ɪ Ø			
509-1	v ɔ l ə Ø			
693-1	m j Ø l ə + t ɛɪ Ø			
2179-1	n eː s t			
1753-1	ə v ə Ø ə			
1131-1	w Ø l v ə			
1198-1	b Ø ə t			
2032-1	h Ø Ø n			
2241-1	n Ø ə			
2244-1	l ə p ə ə			
610-1	Ø ə n iː			
945-1	h Ø t			
1534-1	l ə k ə Ø			
384-1	z oː k ə Ø			
1650-1	n ə ɔ t			
1663-1	z ɑ l t			
2279-1	l iː n ə n			
471-1	z ɔ ə ə Ø			
1385-1	z Ø ə ə d.ə			
792-1	j ɔ k.ə			
1111-1	m Ø s t			
197-1	z uː d ə Ø			
2020-1	l oː ŋ			
867-1	h ɔ n d ə r ə d.ə			
1970-1	v Ø l ə			
1230-1	d Ø ə ʉ d.ə ə ə ə			
2017-1	n ə j Ø			
968-1	w Ø l d.ə			
1674-1	l ɑu n d.ə			
1671-1	h Ø Ø ə l			
829-1	k l ə Ø ə			
1025-1	w ɑ ə r			
1027-1	z Ø			
1832-1	r oː v			
-1816-1	ɔ Ø ɛɪ Ø			
-335-1	l eː k Ø n ə			
1043-1	z r Ø m			
423-1	z Ø n			
2049-1	m Ø n t			
2062-1	z uː Ø m			
2065-1	r ɛɪ Ø ə n + b ɔ Ø ə Ø			
1368-1	Ø ɑu d.ə ɔ Ø			
1365-1	d.ə Ø Ø			
754-1	r ɛɪ Ø ə n			
768-1	w eː Ø ə r			
1211-1	v Ø ə r			
106-1	m ɑu n			
-98-1	b ɛɪ b iː			
719-1	v Ø Ø ə r			
1341-1	z oː n			
-2027-1	t Ø n ə			
-2026-1	n eː v Ø Ø			
409-1	z Ø ɛɪ Ø ɔ + Ø Ø n + Ø Ø			
402-1	Ø Ø ɛɪ Ø ə Ø + d.ə Ø Ø ə r + ə Ø + Ø Ø			
1014-1	z eː p + d.ə Ø Ø ə r			
1059-1	w iː Ø			
120-1	z ɑ l			
2183-1	Ø Ø Ø Ø Ø			
2194-1	oː k s ə			
2199-1	k Ø Ø Ø			
2197-1	Ø Ø p			
1523-1	z			
1521-1	Ø Ø			
512-1	m Ø r aː			
2141-1	h Ø n			
2147-1	k Ø Ø s			
814-1	k r Ø ə			
810-1	d.ə oː v ə			
1755-1	Ø Ø Ø Ø Ø			
1758-1	m uː Ø			
1760-1	l ɑu t			
1620-1	v ə n ə			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l uː s			
1307-1	n ə ə			
1305-1	v l Ø			
711-1	w Ø s p ə			
1442-1	v l ɛɪ Ø ə			
62-1	m Ø Ø ə			
-73-1	m Ø s k iː ɔ			
1810-1	h oː d.ə			
1805-1	v l ɛɪ Ø			
1813-1	h Ø ə r			
1811-1	b l Ø d.ə			
690-1	r ə Ø ə			
2177-1	h Ø p d.ə			
246-1	oː Ø ə Ø + b r uː ə			
249-1	oː Ø ə Ø + l iː d.ə			
1506-1	n Ø z Ø r ə + Ø Ø Ø			
2242-1	m uː Ø Ø			
2245-1	ɔ ŋ ə			
1196-1	Ø Ø Ø Ø Ø			
2174-1	Ø ɔ l d.ə ə r			
575-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø			
603-1	eː l ə Ø + b ɔ Ø ə Ø			
601-1	h ɑu n d.ə			
615-1	v ə ŋ Ø ə r			
901-1	k l uː ə			
608-1	v Ø			
596-1	ə			
937-1	b r Ø s			
936-1	n aː v ə l			
646-1	l ɔ ŋ ə			
947-1	l ɛɪ v ə r			
1606-1	h Ø p t ə			
472-1	s n iː Ø ə Ø			
1535-1	z w eː ə Ø			
1546-1	z p Ø ə Ø			
1959-1	z l Ø p ə Ø			
694-1	z n ɑ r Ø ə Ø			
1961-1	d.ə r Ø m ə Ø			
323-1	ə + l ɛɪ v ə Ø			
1885-1	k r Ø Ø			
2156-1	ə Ø + k l d.ə + Ø Ø			
1903-1	w uː n d ə			
525-1	z w eː l Ø ŋ			
276-1	l Ø m Ø			
274-1	d.ə Ø Ø			
278-1	b l ɪ n d.ə			
258-1	Ø ə + d.ə r ɔ ŋ k ə Ø			
256-1	n aː k ə d.ə			
383-1	Ø ə Ø			
207-1	r ɛɪ p			
376-1	d.ə r ə ŋ k ə Ø			
2009-1	oː v ə			
2003-1	k eː ə l			
2024-1	p ɑu n ə			
1321-1	k oː p			
1976-1	oː ŋ Ø ə			
1243-1	m Ø l t ɛɪ t			
1265-1	p iː l t			
1261-1	z iː v ə Ø			
655-1	b r Ø d.ə			
650-1	d.ə Ø Ø			
1532-1	Ø n Ø d.ə ə Ø			
-36-1	z Ø p ə			
34-1	b Ø n ə			
-1647-1	v iː k ə			
-1615-1	oː ə l			
125-1	v ɑ			
1659-1	h oː n ə Ø			
1661-1	m ə l k.ə			
1676-1	b ɔ ə r			
480-1	Ø ə + d.ə r ə ŋ k			
1466-1	k l Ø Ø Ø Ø			
2277-1	w Ø l ə			
2271-1	v eː l			
2293-1	l ɛ Ø ə r			
624-1	z p ə Ø ə n			
628-1	z p ə n d ə l			
626-1	w Ø v ə Ø			
633-1	n Ø d ə l			
1185-1	Ø Ø + Ø Ø Ø t ə r			
1179-1	h Ø			
2168-1	k Ø m			
1952-1	d.ə uː r			
899-1	l ɛɪ d.ə ə r			
922-1	b eː d.ə			
-934-1	l ɑu m p ə			
916-1	r oː Ø			
1726-1	v Ø l d.ə			
2108-1	p l uː Ø ə Ø			
1133-1	v ɔ r Ø ɔ			
2114-1	z p aː d.ə ə Ø			
1272-1	r oː Ø ə Ø			
1979-1	k r Ø s			
1989-1	h Ø			
-2260-1	p l Ø n ə Ø			
70-1	b Ø k ə			
-89-1	v ɛɪ n + Ø t Ø Ø			
-12-1	p ɛɪ p ə			
713-1	z ɑu p t			
747-1	n eː ə l			
308-1	d.ə Ø Ø			
289-1	b ɪ n d ə Ø			
1930-1	b r aː k.ə ə Ø			
1928-1	z p ə l ə ə Ø			
858-1	z r eː k ə Ø			
1577-1	œy p + h ɑ Ø ə ŋ			
908-1	w oː Ø ə Ø			
648-1	b uː r ə Ø			
1855-1	œy t + h oː l ɔ Ø			
657-1	h ɑu m ə r			
2058-1	n aː Ø ə l			
949-1	Ø Ø Ø Ø + z m iː d			
1642-1	k ɔ l d.ə			
1640-1	z ə l v ə r			
1633-1	ɛɪ Ø ə n			
1630-1	ə n			
993-1	k l Ø s			
-2121-1	r ɔ l ə Ø			
1692-1	v ɑ l ə Ø			
1694-1	d.ə r Ø p ə Ø			
1062-1	z ə ŋ k ə Ø			
476-1	z w ə m ə Ø			
1051-1	v l ɛɪ Ø ə Ø			
1075-1	b l Ø ə Ø			
135-1	Ø l ɛɪ d.ə ə Ø			
-134-1	d.ə Ø n s ə Ø			
1839-1	œy t + k ə Ø + Ø Ø			
1097-1	t Ø Ø Ø Ø + k oː m ə Ø + Ø Ø Ø			
1777-1	v oː l Ø ɔ Ø			
1434-1	b r ə Ø ə ŋ			
1417-1	l iː d.ə ə Ø			
1424-1	r ɛɪ d.ə ə Ø			
778-1	p Ø d			
790-1	b r Ø Ø ə			
1223-1	p ɑu d ə l			
1117-1	z ɛɪ Ø ə l			
1411-1	h ɑ v ə Ø			
1407-1	h Ø l d.ə ə Ø			
1390-1	d ə ŋ			
2086-1	k ɛɪ v ə Ø			
2082-1	k Ø Ø Ø Ø + Ø ɛɪ b Ø Ø			
576-1	z Ø k.ə ə Ø			
579-1	v ɪ n d ə Ø			
581-1	p ə Ø + l ɛɪ Ø ə Ø			
-1791-1	r iː k			
-225-1	p r ɛɪ s			
-2284-1	p l aː s			
1479-1	ɔ p Ø ə n			
847-1	h oː Ø			
659-1	b oː ə Ø			
860-1	m ə d.ə Ø ə			
213-1	r Ø Ø			
1286-1	v Ø r Ø			
1293-1	w eː s ə Ø			
474-1	d ə k			
467-1	d Ø n			
1177-1	d.ə iː p			
588-1	Ø Ø Ø Ø			
584-1	h Ø k ə Ø			
-1153-1	r uː n d.ə			
700-1	w eː l v			
875-1	d uː Ø ə d.ə			
1559-1	ɑ l ə			
1565-1	m Ø r			
1968-1	h Ø Ø v t ə			
-350-1	p Ø ə r			
1478-1	Ø Ø Ø Ø Ø			
1469-2		s æ n		
2047-2		s ɔ n əʊ l		
2054-2		d ɔ n d		
1375-2		l aɪ l l		
760-2		f aɪ n		
756-2		s n Ø		
726-2		m d ə		
1351-2		ɡ aɪ f eɪ d ə		
1353-2		ɡ aɪ m d ə		
412-2		s l əʊ ɡ aɪ v eɪ d ə		
406-2		s əʊ l m d ə		
1005-2		s ə l f eɪ d ə		
1012-2		s f m d ə		
1016-2		f Ø d Ø f əʊ eɪ		
1069-2		Ø ɪ k		
509-2		v əʊ l l		
693-2		m l l Ø s ə		
2179-2		n ɪ		
1753-2		l v aɪ s Ø		
1131-2		Ø ɔ l f əʊ		
1198-2		b eɪ		
2032-2		h ɔ n		
2241-2		n s əʊ		
2244-2		l aɪ f l əʊ		
610-2		k l n ə		
945-2		h Ø		
1534-2		l eɪ k ə l		
384-2		s s ə l		
1650-2		n l ɔ		
1663-2		s æ l l		
2279-2		l aɪ n l		
471-2		s Ø ə l		
1385-2		s ɪ l l		
792-2		Ø əʊ k		
1111-2		m æ		
197-2		s d ə l		
2020-2		l æ ŋ		
867-2		h ɔ n d ə		
1970-2		v ɔ l Ø		
1230-2		d ɪ l l d l l		
2017-2		n f l		
968-2		Ø Ø Ø Ø l̩		
1674-2		l̩ æ		
1671-2		h Ø Ø l̩		
829-2		k l̩ Ø f əʊ		
1025-2		Ø əʊ		
1027-2		s Ø		
1832-2		Ø Ø		
-1816-2		aɪ Ø Ø Ø Ø		
-335-2		l̩ əʊ Ø Ø		
1043-2		s aɪ m		
423-2		s Ø		
2049-2		m Ø d		
2062-2		s ɔ m		
2065-2		Ø Ø b aɪ əʊ Ø		
1368-2		s Ø əʊ d Ø Ø		
1365-2		d Ø Ø		
754-2		Ø Ø Ø		
768-2		Ø Ø d əʊ		
