COGID	dutch	english	french	german
1469-1	z aː t			
2047-1	z oː m ə v			
2054-1	d oː m d ə r			
1375-1	l ɪ x t v v v			
760-1	w ə m t			
756-1	z m aː v			
726-1	m ɔ ə r			
1351-1	x r ɑ t + v ɑ ə r			
1353-1	x r ɑ + m ɔ ə r			
412-1	ɛɪ ɣ ə r + v ɑ ə r + ə + ɑ			
406-1	ɛɪ ɣ ə r + m ɔ ə r + ə + ɑ			
1005-1	z t eː p v + v ɑ ə r			
1012-1	z eː p + m ɔ ə r			
1016-1	w ə t ʉ ə r			
1069-1	v ɪ x			
509-1	v ɔ l ə n			
693-1	m j Ø l v + t ɛɪ r			
2179-1	m eː s t			
1753-1	v f ə s v			
1131-1	w ɔ l f v			
1198-1	v ʉ ə			
2032-1	h ɑ r m			
2241-1	m aː z ə			
2244-1	l ə p v ə			
610-1	x v m iː			
945-1	h ɛ t			
1534-1	l ɑ k n			
384-1	z oː k n			
1650-1	m v ɔ t			
1663-1	z ɑ l t			
2279-1	l iː m ə m			
471-1	z ə v n			
1385-1	z Ø v v t			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə n			
2020-1	l ɑ ŋ			
867-1	h ɔ m t ə r ə t			
1970-1	v ɔ l v			
1230-1	d r v ʉ t v ə v			
2017-1	m v j Ø			
968-1	w Ø l t			
1674-1	l ɑ m t			
1671-1	h Ø ɣ ə l			
829-1	k l ə Ø ə			
1025-1	w ɑ ə r			
1027-1	z eː			
1832-1	r oː v			
-1816-1	ɔ Ø eː Ø			
-335-1	l ə x uː m ə			
1043-1	t r Ø m			
423-1	t eː m			
2049-1	m Ø m			
2062-1	t uː r m			
2065-1	r ɛɪ ɣ ə m + v ɔ ɣ ə n			
1368-1	s ɑ t ə n			
1365-1	t Ø Ø			
754-1	r ɛɪ ɣ ə m			
768-1	w eː Ø ə r			
1211-1	f Ø ə r			
106-1	m ɑ m			
-98-1	v ɛɪ v iː			
719-1	f ɑ Ø ə r			
1341-1	z ɔ m			
-2027-1	ɑ m t ə			
-2026-1	m eː v Ø Ø			
409-1	Ø ɛɪ ɣ ɔ + z Ø m + Ø			
402-1	Ø ɛɪ ɣ ə r t Ø t ə r + Ø + Ø			
1014-1	t eː p + t Ø t ə r			
1059-1	w iː r			
120-1	t ɑ l			
2183-1	Ø Ø Ø Ø Ø			
2194-1	oː k s ə			
2199-1	k ɑ l Ø			
2197-1	s Ø p			
1523-1	z			
1521-1	Ø Ø			
512-1	m Ø r aː			
2141-1	h Ø m			
2147-1	x Ø n s			
814-1	k r Ø ə			
810-1	t oː v ə			
1755-1	Ø Ø Ø Ø Ø			
1758-1	m œy Ø			
1760-1	w ɑ t			
1620-1	f ə m ə			
1282-1	w aː l			
1136-1	f ɔ k s			
1309-1	l œy s			
1307-1	m ə ə			
1305-1	f l Ø			
711-1	w Ø s p ə			
1442-1	f l ɛɪ ɣ ə			
62-1	m ʉ x ə			
-73-1	m Ø s k iː t ɔ			
1810-1	h oː t			
1805-1	f l eː s			
1813-1	h aː r			
1811-1	v l Ø t			
690-1	r ə Ø ə			
2177-1	h Ø p t			
246-1	oː ɣ ə n + v r œy ə			
249-1	oː ɣ ə n + l iː t			
1506-1	m Ø z r ə l			
2242-1	m n Ø			
2245-1	t ɔ ŋ ə			
1196-1	Ø Ø Ø Ø Ø			
2174-1	s l t ə r			
575-1	Ø Ø Ø Ø l Ø Ø Ø Ø Ø			
603-1	eː l ə n + v ɔ ɣ ə n			
601-1	h ɑ m t			
615-1	f ə ŋ Ø ə r			
901-1	k l uː ə			
608-1	f Ø			
596-1	t aː ə			
937-1	v r Ø s t			
