COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n ə̆ m															
2060-1	ʔ ɨ m															
410-1	t															
1841-1	m ɨ															
2017-1	h															
1004-1	ɨ															
614-1	b s h															
686-1	b h															
88-1	k a ʔ															
872-1	n ɨ ŋ															
1891-1	t															
68-1	s ɨ m															
631-1	b ə̆ n															
594-1	g															
1759-1	h a n															
805-1	g ɨ ɲ															
756-1	h ɨ k															
1201-1	m ŋ ʔ															
2042-1	ʔ ɨ															
1968-1	t a ʔ															
2000-1	s ŋ															
17-1	n a t															
4-1	a ə m															
788-1	t ɛ															
1219-1	h ɨ m															
141-1	ʔ s ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	a s m															
1652-1	t ɨ n															
576-1	ŋ															
1738-1	t a k															
442-1	h kʰ m															
368-1	t j a ŋ															
1778-1	p a t															
957-1	n a p															
1704-1	ʔ ɛ ʔ															
304-1	j a m															
1796-1	t a ŋ															
720-1	t ɨ h															
287-1	k ə p															
321-1	g ə h															
206-1	t g ʔ															
1950-1	ʔ ɛ															
665-1	a ɨ n															
703-1	n s ʔ															
1290-1	m															
1391-1	k a ʔ															
269-1	g a ʔ															
855-1	t a n															
2078-1	s ɨ															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j ə n															
737-1	p ə̆ ɛ															
340-1	s a															
1111-1	s ɛ															
485-1	ŋ															
1356-1	m u h															
1093-1	t s ŋ															
1063-1	t ɨ m															
648-1	t a n															
223-1	g n															
1248-1	t a															
1509-1	t n															
504-1	t s h															
2130-1	s															
1-1	ʔ ɨ															
386-1	j s ʔ															
1411-1	ʔ u															
1027-1	g a ʔ															
1459-1	g a															
1323-1	m ə															
1538-1	r j a h															
975-1	ɲ a h															
940-1	ŋ ɨ h															
1476-1	ʔ a h															
1923-1	n ɨ															
105-1	a a ŋ															
1431-1	ʔ ɨ															
1814-1	m a ɲ															
1183-1	n n															
1430-1	t g															
1721-1	ʔ ɔ ʔ															
1617-1	b ʔ															
1564-1	b ɔ ʔ															
2111-1	h ŋ															
1563-1	s a															
1597-1	s ɔ ŋ															
1859-2		ŋ														
175-2		k a														
241-2		ʔ ə ʔ														
