COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	m a tʃ i + tɬ								
2-1	a + n e k + tɬ i								
8-1	j e k i								
16-1	e n + tɬ i								
24-1	i s t i + tɬ								
32-1	m e tɬ i								
51-1	e n + aː + tɬ								
52-1	j a k + tɬ i tɬ								
53-1	s e k aː n								
54-1	t e k l + l								
55-1	k w a								
60-1	e s t a l l								
83-1	tɬ e tɬ								
87-1	t a t e n tɬ i								
92-1	m e + i								
103-1	m a								
106-1	k e tɬ i								
138-1	n e n aː tɬ								
139-1	m i + + t i l								
142-1	m e tɬ i								
145-1	m i + t e + aː								
176-1	tɬ e + i aː tɬ								
179-1	s a k i + tɬ								
180-1	m e k + tɬ i								
1-2		s a tʃ i							
2-2		t o + n e k							
8-2		j e l							
16-2		t e n + t i							
24-2		i s t i t							
32-2		s a t i							
51-2		t a n + i							
52-2		a a k + t i							
53-2		s a a n							
54-2		t a l i							
55-2		k w e							
60-2		a s + t e h l l							
83-2		t a							
87-2		t a t a n i							
92-2		s a i							
103-2		m a							
106-2		t a t i							
138-2		t e n i							
139-2		m a t t a l							
142-2		s e t i							
145-2		s e + r e e							
176-2		t a t a							
179-2		s a tʃ e + t							
180-2		m e k + t i							
1-3			m oː tʃ i						
2-3			t + i + n e h + i						
8-3			j eː p l						
16-3			t e n + t i						
24-3			i s t i ʔ						
32-3			m eː + i						
51-3			t t a n + aː						
52-3			j a k + t i						
53-3			s e k a n						
54-3			t a h l i						
55-3			k w a						
60-3			i s + + o x o l o						
83-3			t a						
87-3			t a t i n i						
92-3			m eː i						
103-3			m eː						
106-3			t eː t i						
138-3			s e h						
139-3			m i + + + t i l						
142-3			m eː t i						
145-3			m i + t aː t i						
176-3			t a + i						
179-3			s oː k i + ʔ						
180-3			m eː s + t i						
1-4				m o tʃ i					
2-4				i n a k					
8-4				j e + a a					
16-4				e n + tɬ i					
24-4				i s t i + tɬ					
32-4				m e + i					
51-4				e n t i					
52-4				j e k + tɬ i					
53-4				s e k a n					
54-4				t e k l i					
55-4				k e e					
60-4				e s t o l a l o					
83-4				tɬ e + + i tɬ					
87-4				t o tɬ a n i					
92-4				m e t i					
103-4				m e tʃ					
106-4				t e t i					
138-4				n e n w a					
139-4				m e k + t a l					
142-4				m e tɬ i					
145-4				m o + t e i e					
176-4				t e i a tɬ					
179-4				s o k e + tɬ					
180-4				m e i k + tɬ i					
1-5					m eː tʃ i				
2-5					a i h n e h t i				
8-5					j eː j				
16-5					t eː n + t i				
24-5					i s i t				
32-5					m e + i				
51-5					t a n				
52-5					j a k + t i				
53-5					n eː g a n				
54-5					t a h l i				
55-5					b eː a				
60-5					eː s + o				
83-5					t a				
87-5					t eː t e n i				
92-5					m e t i				
103-5					m eː n i				
106-5					t eː t i				
138-5					s e h a				
139-5					m eː + t a l				
142-5					m e t i				
145-5					m o + t e e				
176-5					t eː + e				
179-5					s eː g o + t				
180-5					m eː k + t i				
1-6						s uː tʃ i			
2-6						t e n e k + t i			
8-6						j a tʃ a			
16-6						t a n + t i			
24-6						i s t i t			
32-6						m i t i			
51-6						t a n + aː			
52-6						j a k + i			
53-6						s e k e n			
54-6						t a l			
55-6						k w e			
60-6						i s t m l a l a			
83-6						t a t			
87-6						t a t e n i			
92-6						m e tʃ i			
103-6						m a n			
106-6						t u i			
138-6						n a n i			
139-6						m i t t a l			
142-6						m e t i			
145-6						m i + t aː k e			
176-6						t a + t e t			
179-6						s a k i + t			
180-6						m i n + t i			
1-7							k o tʃ e		
2-7							n e + t		
8-7							o e k a		
16-7							e n t e		
24-7							o t a + t		
32-7							m e t i		
51-7							e		
52-7							o e k t		
53-7							n o k e n		
54-7							t e t		
55-7							k e e		
60-7									
83-7							t e t		
87-7							t o t e n e		
92-7							m e a		
103-7							e k		
106-7							k e i		
138-7							t e k a		
139-7							m a k o o		
142-7							m e a		
145-7							o e a		
176-7							t e e t		
179-7							n e k e + t		
180-7							e t t a		
1-8								m a tʃ ɨ	
2-8								n ə + tɬ ɨ	
8-8								j a	
16-8								a n + tɬ ɨ	
24-8								i s t ɨ + tɬ	
32-8								m a t ɨ	
51-8								a n + ɨ	
52-8								j a k + tɬ ɨ	
53-8								s a k a + tɬ	
54-8								tɬ a l + l ɨ	
55-8								k w a	
60-8								i s + a l a a + + k	
83-8								tɬ a + t + + tɬ	
87-8								tɬ a t a n + ɨ	
92-8								m a t ɨ	
103-8								m a h + tɬ	
106-8								t a tɬ ɨ	
138-8								n ə a	
139-8								m a + t a + + t	
142-8								m a tɬ ɨ	
145-8								m o a + ɨ	
176-8								tɬ a t aː + tɬ	
179-8								s a k ə + tɬ	
180-8								m a k + tɬ ɨ	
1-9									k e tʃ iː
2-9									t + ts + iː + n e x + tɬ iː
8-9									b e j o
16-9									j i x + tɬ iː
24-9									pː t iː
32-9									m e tʃ iː
51-9									t i + i i
52-9									j e k + tɬ iː k
53-9									j e k e n ts
54-9									tɬ e l iː
55-9									k w i t
60-9									o h + + o l a l e
83-9									tɬ i n n tɬ i
87-9									t e t i n t iː
92-9									m e tʃ a
103-9									m i j u
106-9									k i tʃ iː
138-9									n e h a
139-9									m e tʃ + ø + t a l
142-9									m e tʃ iː
145-9									m o + t e + t iː
176-9									tɬ i n + t e u tɬ
179-9									j i k e + tɬ
180-9									m i e n + tɬ iː
