COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o						
522-1	ɾ d o ŋ						
514-1	m i k						
464-1	x n̪ ɑ						
1020-1	x n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ e						
302-1	b r̪ ɜ ŋ						
237-1	l̪ t̪ β̞ ɑ						
205-1	p r̪ ɜ q p ɑ						
1089-1	l ɜ q r̪ ɪ l						
804-1	k ɜ ŋ m ɑ						
1263-1	b ɜ x p ɑ						
286-1	ɾ u s̪ p ɑ						
717-1	x n̪ i ŋ						
269-1	kʰ r̪ ɜ q						
1512-1	tɕ i n̪						
555-1	i ɑ k p ɑ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	i ɜ x m ɑ						
1106-1	b u						
693-1	h ɜ r̪ o ɽ ɑ						
221-1	s̪ t̪ r̪ e						
709-2		g o					
522-2		ʊ ɾ d o ŋ					
514-2		m i k					
464-2		x n̪ ɑ					
1020-2		x n̪ ɜ m s̪ u l					
1355-2		s̪ o					
1464-2		l̪ tɕ e					
302-2		b r̪ ɜ ŋ					
237-2		l̪ t̪ β̞ ɑ					
205-2		p r̪ ɜ q p ɑ					
1089-2		l ɜ q r̪ ɪ l					
804-2		k ɜ ŋ m ɑ					
1263-2		b ɜ x s̪ p ɜ					
286-2		ɾ u s̪ p ɑ					
717-2		x n̪ i ŋ					
269-2		ʈʂ ɜ q					
1512-2		x tɕ ɪ n̪					
555-2		r̪ ɜ k p ɑ					
751-2		n̪ ɜ ŋ					
439-2		z̪ g o					
601-2		ɕ i ŋ					
320-2		r̪ ɜ x m ɑ					
1106-2		b u					
693-2		h ɜ r̪ o ɽ ɜ					
221-2		s̪ t̪ r̪ e					
709-3			g o				
522-3			ɣ β d o ŋ				
514-3			m i k				
464-3			x n̪ ɑ				
1020-3			x n̪ ɜ m s̪ u l				
1355-3			s̪ o				
1464-3			l̪ tɕ e				
302-3			b r̪ ɜ ŋ				
237-3			l̪ t̪ β̞ ɑ				
205-3			p r̪ ɜ q p ɜ				
1089-3			l ɜ q d ɪ l				
804-3			k ɜ ŋ m ɜ				
1263-3			b ɜ x p ɜ				
286-3			ɾ u s̪ p ɜ				
717-3			x n̪ i ŋ				
269-3			ʈʂ ɜ q				
1512-3			x tɕ ɪ n̪				
555-3			gʲ ɜ k p ɜ				
751-3			n̪ ɜ ŋ				
439-3			z̪ g o				
601-3			ɕ i ŋ				
320-3			ts̪ ɜ x m ɜ				
1106-3			b u				
693-3			h ɜ d o ɽ ɑ				
221-3			s̪ t̪ r̪ e				
709-4				g o			
522-4				ɾ d o ŋ			
514-4				m i k			
464-4				s̪ n̪ ɑ			
1020-4				s̪ n̪ ɜ m s̪ u l			
1355-4				s̪ o			
1464-4				l̪ tɕ e			
302-4				b ɜ ŋ			
237-4				l̪ t̪ β̞ ɑ			
205-4				p l̥ ɜ q p ɜ			
1089-4				l ɜ q t̪ ɪ l			
804-4				k ɜ ŋ m ɜ			
1263-4				b ɜ x p ɜ			
286-4				ɾ u s̪ p ɜ			
717-4				s̪ n̪ i ŋ			
269-4				ʈʂ ɜ q			
1512-4				l̪ tɕ i n̪			
555-4				s̪ ɜ k p ɜ			
751-4				n̪ ɑ ŋ			
439-4				z̪ g o			
601-4				ɕ i ŋ			
320-4				s̪ ɜ x m ɜ			
1106-4				b u			
693-4				h ɜ t̪ o ɽ ɜ			
221-4				s̪ t̪ ɑ r̪ e			
709-5					g o		
522-5					β d o ŋ		
514-5					m i k		
464-5					s̪ n̪ ɑ		
1020-5					n̪ ɜ m s̪ u l		
1355-5					s̪ o		
1464-5					l̪ tɕ e		
302-5					b l ɜ ŋ		
237-5					l̪ t̪ β̞ ɑ		
205-5					p l̥ ɜ q p ɜ		
1089-5					l ɜ q r̪ ɪ l		
804-5					k ɜ ŋ m ɜ		
1263-5					b ɜ x p ɜ		
286-5					ɾ u s̪ p ɜ		
717-5					s̪ n̪ i ŋ		
269-5					ʈʂ r̪ ɜ q		
1512-5					x tɕ i n̪		
555-5					l̪ ɜ k p ɜ		
751-5					n̪ ɜ ŋ		
439-5					z̪ g o		
601-5					ɕ i ŋ		
320-5					l ɜ x m ɜ		
1106-5					b u		
693-5					h ɜ r̪ o ɽ ɑ		
221-5					s̪ t̪ r̪ e		
709-6						g o o	
522-6						ɣ ɜ d o ŋ	
514-6						m i k	
464-6						s̪ n̪ ɑ	
1020-6						s̪ n̪ ɜ m s̪ u l	
1355-6						s̪ o	
1464-6						l̪ tɕ e	
302-6						b l ɜ ŋ	
237-6						l̪ t̪ β̞ ɑ	
205-6						p l̥ ɜ q p ɜ	
1089-6						l ɜ q t̪ ɪ l	
804-6						k ɜ ŋ m ɜ	
1263-6						b ɜ x p ɜ	
286-6						ɾ u s̪ p ɜ	
717-6						s̪ n̪ i ŋ	
269-6						ʈʂ ɜ q	
1512-6						x tɕ i n̪	
555-6						tθʰ ɜ k p ɜ	
751-6						n̪ ɜ ŋ	
439-6						z̪ g o	
601-6						ɕ i ŋ	
320-6						ɕ ɜ x m ɜ	
1106-6						b u	
693-6						h ɜ t̪ o ɽ ɜ	
221-6						s̪ t̪ r̪ e	
709-7							g o
522-7							ɾ d o ŋ
514-7							m i k
464-7							s̪ n̪ ɑ
1020-7							s̪ n̪ ɑ m s̪ u l
1355-7							s̪ o
1464-7							l̪ tɕ e
302-7							b r̪ ɑ ŋ
237-7							l̪ t̪ β̞ ɑ
205-7							p r̪ ɑ q p ɑ
1089-7							l ɜ q r̪ ɪ l
804-7							k ɑ ŋ m ɑ
1263-7							b ɜ x p ɜ
286-7							ɾ u s̪ p ɜ
717-7							s̪ n̪ i ŋ
269-7							ʈʂ ɑ q
1512-7							l̪ tɕ i n̪
555-7							p ɑ ɣ p ɜ
751-7							n̪ ɑ ŋ
439-7							z̪ g o
601-7							ɕ i ŋ
320-7							r̪ ɜ x m ɑ
1106-7							pʰ r̪ u
693-7							h ɑ r̪ o r̪ ɑ
221-7							s̪ t̪ r̪ e
