COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n a m															
2060-1	ʔ ɨ m															
410-1	g ə															
1841-1	m ɨ															
2017-1	h ɛ															
1004-1	h a															
614-1	b u h															
686-1	b h ɛ															
88-1	k a ʔ															
872-1	n ɨ ŋ															
1891-1	g a															
68-1	s ɨ m															
631-1	b ə̆ n															
594-1	g a															
1759-1	h a n															
805-1	g ɨ n															
756-1	h ɨ ʔ															
1201-1	m u ʔ															
2042-1	ʔ a															
1968-1	g a ʔ															
2000-1	ŋ															
17-1	a a ʔ															
4-1	a ə m															
788-1	g ɛ															
1219-1	h ɨ m															
141-1	ʔ ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	a m															
1652-1	t ɨ n															
576-1	ŋ															
1738-1	g a k															
442-1	h u m															
368-1	s j a ŋ															
1778-1	p ɛ ʔ															
957-1	n a p															
1704-1	ʔ ɨ ʔ															
304-1	j a m															
1796-1	t a ŋ															
720-1	t h															
287-1	k ə̆ p															
321-1	g ə̆ h															
206-1	g u ʔ															
1950-1	ʔ ɨ															
665-1	a u a															
703-1	n u ʔ															
1290-1	m															
1391-1	k a ʔ															
269-1	g a t															
855-1	t a n															
2078-1	s ɨ															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a															
737-1	p ɨ t															
340-1	ʔ a															
1111-1	s ɛ															
485-1	ŋ															
1356-1	m u h															
1093-1	t u ŋ															
1063-1	g ɔ m															
648-1	t ə̆ ŋ															
223-1	g ɔ n															
1248-1	t															
1509-1	t kʰ n															
504-1	t u h															
2130-1	s ɨ															
1-1	ʔ o															
386-1	j u ʔ															
1411-1	ʔ u															
1027-1	g a ʔ															
1459-1	g h															
1323-1	a ə															
1538-1	r j a h															
975-1	ɲ a h															
940-1	ŋ u h															
1476-1	ʔ a h															
1923-1	n ɨ															
105-1	a a ŋ															
1431-1	ʔ ɨ															
1814-1	m a ɲ															
1183-1	n ɔ n															
1430-1	t u															
1721-1	ʔ ɔ ʔ															
1617-1	b u ʔ															
1564-1	b ɔ ʔ															
2111-1	h u															
1563-1	s a															
1597-1	s ɔ ŋ															
1859-2		ŋ ə														
175-2		k a														
