COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ ɔ ⁵⁵								
495-1	n au ³¹								
838-1	n̥ ɔ ʔ ³¹								
438-1	ȵ ɔ ʔ ⁵⁵								
334-1	l ɔ ʔ ⁵⁵								
360-1	l i ³¹								
394-1	m i ³¹								
221-1	i p ⁵⁵								
202-1	k au ³¹								
935-1	oi ³¹								
93-1	ts w a ³¹								
7-1	p a n ³¹								
664-1	oi ³¹								
246-1	x o ʔ ⁵⁵								
547-1	s ʐ ai ⁵⁵								
555-1	ʑ ɔ m ⁵⁵								
464-1	m au ³¹								
119-1	oi ³¹								
835-1	n̥ a p ⁵⁵								
79-1	t o ³¹								
693-1	ŋ au ⁵⁵								
477-1	n a p ³¹								
891-1	tʰ ə ŋ ³⁵								
528-1	ʐ o ⁵⁵								
797-1	x ʐ au ³¹								
493-1	n ə k ⁵⁵								
217-1	ʐ a p ⁵⁵								
896-1	tsʰ u t ⁵⁵								
452-1	ȵ u ʔ ⁵⁵								
580-1	ŋ̊ ɔ t ⁵⁵								
833-1	n̥ ɔ ⁵⁵								
390-1	m ɔ ŋ ³¹								
696-1	ŋ u ⁵⁵								
86-1	oi u ŋ ⁵⁵								
384-1	x a n ³⁵								
61-1	t a n ⁵⁵								
536-1	s ɔ ʔ ⁵⁵								
731-1	s i ³¹								
779-1	oi ⁵⁵								
589-1	tʰ w a ŋ ⁵⁵								
658-1	oi au ⁵⁵								
456-1	tɕʰ a ŋ ³¹								
183-1	k ʐ i ³¹								
785-1	x ɔ ³¹								
714-1	pʰ a ⁵⁵								
331-1	tɕ ɔ ³¹								
665-2		ŋ o ⁵¹							
495-2		n au ⁵⁵							
838-2		n i k ²¹							
438-2		m o ʔ ²¹							
334-2		l o ʔ ²¹							
360-2		l ai ²¹							
394-2		m j i ²¹							
221-2		j u p ²¹							
202-2		k au ²¹							
935-2		v u̱i ²¹							
93-2		ts a̱ ²¹							
7-2		p a̱ n ²¹							
664-2		v u ŋ ⁵¹							
246-2		k o̱ ʔ ⁵⁵							
547-2		s i k ⁵⁵							
555-2		j o̱ m ⁵¹							
464-2		m au ²¹							
119-2		ts i ŋ ⁵¹							
835-2		n a̱ p ⁵⁵							
79-2		t u ²¹							
693-2		ŋ au ⁵¹							
477-2		m j i ²¹							
891-2		t i ŋ ⁵⁵							
528-2		v a ⁵¹							
797-2		k j a̱u ⁵¹							
493-2		n i k ²¹							
217-2		j a p ²¹							
896-2		ts u̱ t ⁵⁵							
452-2		m j u ʔ ²¹							
580-2		x o ʔ ⁵⁵							
833-2		n o̱ ⁵¹							
390-2		m a ŋ ²¹							
696-2		ŋ u ⁵¹							
86-2		t u ŋ ⁵¹							
384-2		m a n ²¹							
61-2		ts a n ²¹							
536-2		s o̱ ʔ ⁵⁵							
731-2		ʃ i ²¹							
779-2		v a ⁵¹							
589-2		tʰ a ŋ ⁵¹							
680-2		ŋ o̱ ʔ ⁵⁵							
658-2		v a m ⁵¹							
456-2		m j a ŋ ²¹							
183-2		k j i ²¹							
785-2		kʰ o ⁵⁵							
714-2		u ⁵¹							
331-2		n o ²¹							
665-3			ŋ a ⁵⁵						
495-3			n au ³⁵						
838-3			n a k ³¹						
438-3			m a ʔ ³¹						
334-3			l a ʔ ³¹						
360-3			l i ³¹						
394-3			m i ³¹						
221-3			j a̱ p ⁵⁵						
202-3			k au ³¹						
935-3			a̱u ³¹						
93-3			t ɔ̱̃ ³¹						
7-3			p ɛ̃ ³¹						
664-3			v ɔ̃ ⁵⁵						
246-3			kʰ j a ʔ ⁵⁵						
547-3			s a̱ k ⁵⁵						
555-3			j a̱ m ⁵⁵						
464-3			m au ³¹						
119-3			t a ŋ ⁵⁵						
835-3			n ɛ̱ ʔ ⁵⁵						
79-3			t ɔ ³¹						
693-3			ŋ au ⁵⁵						
477-3			n ɛ ʔ ³¹						
891-3			t a ŋ ³⁵						
