COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t e ʔ									
56-1	u m e									
96-1	a t ʔ									
99-1	a r i z a									
114-1	t o k ʔ									
115-1	u z ʔ									
133-1	t i p ʔ a n ʔ									
144-1	a t a w ʔ									
150-1	k a w									
234-1	k o m									
236-1	p i k u n ʔ									
241-1	a w i n									
249-1	i tʃ e ʔ									
1-1	w a z a ʔ									
2-1	m a m r a									
65-1	i w ʔ									
74-1	p a n a									
106-1	t o n e m									
128-1	p o k ʔ									
147-1	t o k u ʔ									
231-1	p a n a w a ʔ									
232-1	p i p i i a									
239-1	n a m a k a n									
266-1	i t i m									
51-1	u w e ʔ									
97-1	m a p o m ʔ									
109-1	u p i k ʔ									
121-1	k a p a t a ʔ k									
149-1	t o k									
160-1	k i r i k									
163-1	u p e n ʔ									
167-1	p a ʔ									
207-1	m i ʔ									
259-1	t o w a ʔ									
66-1	k a r a k a w									
134-1	n i p a t									
139-1	m u k u r i									
142-1	p a t a m ʔ									
145-1	k a t a t ʔ									
148-1	t a w a n ʔ									
162-1	i t n ʔ									
166-1	i m i ʔ									
179-1	t a									
201-1	p e									
21-1	t a n									
24-1	p o k o r a n									
52-2		e t i								
56-2		i m e								
96-2		a r a								
99-2		a r i e								
114-2		t i k i s i								
115-2		e r e s i								
133-2		t i r a s i								
144-2		a r a a s i								
150-2		k a								
234-2		k i m								
236-2		i k i								
241-2		a i								
249-2		i s e								
74-2		a a								
93-2		t i i r i s i								
95-2		i k s i								
106-2		t e e s i								
119-2		i j i t i s i								
128-2		i k i s i								
147-2		t i m i s i								
231-2		i i i								
232-2		i i i								
239-2		m a a a								
266-2		i t i m								
51-2		i e								
55-2		i a m								
97-2		a i m a s								
121-2		i i i i i								
163-2		i i								
167-2		a								
259-2		t i a								
66-2		k a r a a								
112-2		t r a j i s i								
116-2		t i a a s i								
125-2		i i m i i								
135-2		k i i								
139-2		m s								
142-2		i a r a m a s i								
148-2		t r a r i s i								
162-2		i j i								
166-2		i m i								
179-2		t a								
52-3			t i a w a							
56-3			w i m a							
96-3			w a t a t i							
99-3			a t i w a a t i a							
114-3			t i k i tʃ i							
115-3			a t i w a tʃ i							
133-3			i tʃ i a a tʃ i							
144-3			w a t i w a tʃ i							
150-3			k a							
234-3			a k i							
236-3			w i k o							
241-3			w a a i w i							
249-3			i w a							
1-3			w a w a							
2-3			a w i a m w							
65-3			a a a w i							
93-3			t i a i tʃ i							
95-3			a a a a a i							
106-3			tʃ i m a w i tʃ i							
119-3			a w a t i tʃ i							
128-3			w a k i tʃ i							
147-3			w i m i tʃ i							
231-3			w a a t i							
232-3			w i w i w a w							
239-3			m a m a k a							
266-3			w a i t i o m							
3-3			w a w i k i a w							
4-3			w a w a w							
55-3			i a w w a m							
109-3			a a i w a tʃ i							
121-3			a a a a a a a a							
149-3			a a a a a							
160-3			k i w i k							
207-3			m i							
112-3			t a i t i a t a tʃ i							
125-3			k a i m a tʃ i							
134-3			w i w a tʃ i a a							
135-3			t i k i a m a tʃ							
139-3			w a a i m o w i tʃ i							
52-4				j i t e j						
56-4				u m e j						
96-4				j a t						
99-4				a r i						
114-4				t u k						
115-4				u r						
133-4				a t i p a n						
144-4				a t a w ʔ						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ e j						
1-4				w a ʒ̟ a						
2-4				j u m						
65-4				i w						
74-4				p a n a						
93-4				t o u						
95-4				k u						
106-4				t u n a						
119-4				u t a						
128-4				p o k						
147-4				t u k u						
231-4				p a n a w o						
232-4				j i p i						
239-4				n a m a k a n						
266-4				i r i m						
3-4				w u k n						
4-4				w i a i						
51-4				u w e						
97-4				m a p u m						
109-4				u p e k						
121-4				k a p a r a j k						
149-4				t o k						
160-4				k i r i k						
163-4				u p i n						
167-4				j i p a						
207-4				m i						
259-4				t u w a						
66-4				k a r a k a w						
116-4				t u i k i i						
134-4				n i p a t						
135-4				a i n						
139-4				k i r i m o n						
142-4				i p a t a m						
145-4				k a j t a t						
148-4				tʃ ʔ a w a n						
162-4				i n i n						
166-4				i m i						
179-4				t a r						
201-4				p e j						
21-4				j t a ʔ n						
24-4				w a k o r ʔ a n						
52-5					t e					
56-5					i m e					
96-5					a r a t i					
99-5					a r a w e n					
114-5					t o k o t i					
115-5					w e r e t i					
133-5					t a p a r a t i					
144-5					a w a r a t i					
150-5					k a w					
234-5					k o m					
236-5					p a k i n					
241-5					n a n a w i n					
249-5					i t e					
1-5					w a t a					
2-5					w w m					
