COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t									
56-1	u m a									
96-1	a t a									
99-1	a r a a									
114-1	t o k tʃ									
115-1	u t									
133-1	t i p a a a									
144-1	a a a w tʃ									
150-1	k a w									
234-1	k o m									
236-1	p a k u n									
241-1	a w i n									
249-1	i tʃ									
1-1	w a t a									
2-1	w o m									
65-1	i w									
74-1	p a n a									
106-1	t u n i tʃ									
128-1	p o k									
147-1	t u m u tʃ									
231-1	p a n a w o									
232-1	p i a									
239-1	n a m a k a									
266-1	i t i									
51-1	u w i									
97-1	m a p a									
109-1	u p w j i tʃ									
121-1	k a p i a a k									
149-1	t o k									
160-1	k i r k									
163-1	u p n									
167-1	p a									
207-1	m i									
259-1	t o w a									
66-1	k a r a k a w									
134-1	n i p a t									
139-1	m a u i									
142-1	p a t a m									
145-1	k a t a t tʃ									
148-1	t a a a w									
162-1	i i									
166-1	i m i									
179-1	t a									
201-1	p a									
21-1	k a w									
24-1	p a k a a									
50-1	i n a									
57-1	t o k a w a									
84-1	p i w a									
91-1	m o k o n									
131-1	t u k a z i m									
151-1	k i w									
154-1	w									
192-1	t u t									
197-1	t a r									
205-1	i p a									
227-1	w a p a a t									
246-1	i w i									
251-1	w a n a									
52-2		t t i								
56-2		i m e								
96-2		a k a e								
99-2		a k i t								
114-2		t o k n								
115-2		o t i e								
133-2		t i p a k a n								
144-2		a a a a a n								
150-2		a w								
234-2		s o m								
236-2		p i o k								
241-2		a a i k								
249-2		i n i								
74-2		p a k a								
93-2		t o p a k i n								
95-2		a a k i								
106-2		t o k i n								
119-2		j p t t e n								
128-2		p o s n								
147-2		t i m i n								
231-2		p a k a w e								
232-2		p i n j e i								
239-2		k a m a k a								
266-2		i t i m								
51-2		i w i								
55-2		i a a m								
97-2		m a p o m								
121-2		a p a ã a s n								
163-2		i p e k								
167-2		p a								
259-2		t o a a								
66-2		k a k a s a w								
112-2		t a a a p e n								
116-2		t o p a k a n								
125-2		k a t i m a n								
135-2		t i m i								
139-2		a o k o e n								
142-2		p a a a a								
148-2		t a a a k								
162-2		i n i k								
166-2		i m i								
179-2		t a								
45-2		m a n a a a j								
84-2		p i w a k								
131-2		t o e t i m								
146-2		r a a a								
154-2		w e								
192-2		t i t								
197-2		t i k								
235-2		n o w i								
237-2		k i m a t i n								
246-2		i w i								
250-2		m o p i t i k								
52-3			t tʃ i							
56-3			i k a							
96-3			a a a							
