COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	n a b a			
222-1	a b o b o n e			
208-1	a b u ɾ b u b u			
962-1	a l o ɾ i			
203-1	a l u b i			
138-1	o o l e			
504-1	ɗ o o a			
662-1	d h b a			
478-1	l o o e			
409-1	a ɾ e			
410-1	l u n b i			
256-1	d e l e			
622-1	n b u			
546-1	n b u			
547-1	o e e a			
847-1	n k n b i l			
95-1	b e ɗ i			
105-1	b o n i			
510-1	b o o a			
951-1	m o m a e			
1116-1	m b i m a			
149-1	d u i e i			
376-1	d a l i			
815-1	i o ɾ a			
453-1	ɗ u o e			
67-1	ɗ a o e			
47-1	ɗ o k o o a			
869-1	ɗ o n a			
57-1	k e l u			
303-1	l a i e i a			
443-1	l l ɾ a			
884-1	l u n b e			
166-1	l u n b i			
918-1	a b a ɾ e			
831-1	h e b e			
616-1	b a e			
84-1	h o o a l a			
346-1	h o l u e			
601-1	i i l i			
177-1	k e a e a			
341-1	k e o l a			
1066-1	e e n i e a			
318-1	e e u i			
241-1	m b o			
556-1	h a n b u o u			
191-1	d o m b o l			
458-1	a i e i i e i			
1-1	h a n u i ɾ			
751-1	ɾ o			
864-1	a o o n i			
154-1	a m a n a i			
278-1	a m i l u			
766-1	o o ɾ a			
251-1	a l l ɾ u			
582-1	u e u o			
6-1	a l i			
1106-1	n l o			
473-1	o i n			
1111-1	h a l u			
957-1	m a ɾ e			
41-1	b i			
24-1	i a			
25-1	n e ɾ e			
879-1	a b a ɾ a b e b			
837-1	m e o i			
233-1	b i b i i o			
938-1	d u e			
369-1	a ɾ e			
946-1	d a l o			
889-1	d e l e			
820-1	e o o ɾ e ɲ			
438-1	n b o n e			
283-1	e e e a e e			
52-1	b o o			
842-1	ɗ o o o ʃ a			
110-1	a e b o e e			
165-1	m a			
1007-1	o l o l e			
1088-1	h o o o l e			
1087-1	o l o l e			
702-1	a l a			
536-1	k e o o			
694-1	n b			
468-2		l a b a		
222-2		a b b o ʔ i		
208-2		a b u r b u d u		
962-2		a g o r a		
203-2		a g u d i		
138-2		ʃ i l e		
504-2		ɗ o ʃ a		
662-2		ʃ u d a		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ʃ l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n a m i i e		
95-2		b a ɗ i		
105-2		b ɛ n i		
