COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	o ɣ d o ŋ						
514-1	m ɪ k						
464-1	s̪ n̪ ɑ						
1020-1	n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ e						
302-1	b r̪ ɜ ŋ						
237-1	l̪ t̪ β̞ ɑ						
205-1	p r̪ ɜ q p ɜ						
1089-1	l ɜ q kʰʲ ɪ l						
804-1	k ɜ ŋ m ɜ						
1263-1	b ɑ x s̪ p ɑ						
286-1	ɾ u s̪ p ɑ						
717-1	s̪ n̪ i ŋ						
269-1	kʰʲ r̪ ɜ q						
1512-1	x tɕ i n̪						
555-1	ɜ k p ɜ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	ɜ x m ɜ						
1106-1	b u						
693-1	h ɜ kʰʲ o kʰʲ ɑ						
221-1	s̪ t̪ ɜ r̪ e						
709-2		g o o					
522-2		o ɣ d o ŋ					
514-2		m ɪ k					
464-2		s̪ n̪ ɑ					
1020-2		s̪ n̪ ɜ m s̪ u l					
1355-2		s̪ o					
1464-2		l̪ tɕ e					
302-2		b r̪ ɜ ŋ					
237-2		l̪ t̪ β̞ ɑ					
205-2		p ɜ q p ɜ					
1089-2		l ɜ q kʰʲ ɪ l					
804-2		k ɜ ŋ m ɜ					
1263-2		b ɜ x s̪ p ɜ					
286-2		ɾ u s̪ p ɜ					
717-2		s̪ n̪ i ŋ					
269-2		ɖʐ ɜ q					
1512-2		x tɕ i n̪					
555-2		ɜ k p ɜ					
751-2		n̪ ɜ ŋ					
439-2		z̪ g o					
601-2		ɕ i ŋ					
320-2		ɜ x m ɜ					
1106-2		b u					
693-2		h ɜ kʰʲ o ɑ					
221-2		s̪ t̪ ɜ r̪ e					
709-3			g o o				
522-3			ɜ ɣ d o ŋ				
514-3			m ɪ k				
464-3			s̪ n̪ ɑ				
1020-3			s̪ n̪ ɜ m s̪ u l				
1355-3			s̪ o				
1464-3			l̪ tɕ e				
302-3			b l ɜ ŋ				
237-3			l̪ t̪ β̞ ɑ				
205-3			p ɜ q p ɜ				
1089-3			l ɜ q kʰʲ ɪ l				
804-3			k ɜ ŋ m ɜ				
1263-3			b ɜ k s̪ p ɜ				
286-3			ɾ u s̪ p ɜ				
717-3			s̪ n̪ i ŋ				
269-3			kʰ r̪ ɜ q				
1512-3			x tɕ ɪ n̪				
555-3			ɜ k p ɜ				
751-3			n̪ ɜ ŋ				
439-3			z̪ g o				
601-3			ɕ i ŋ				
320-3			ɜ x m ɜ				
1106-3			b u				
693-3			h ɜ kʰʲ o kʰʲ ɑ				
221-3			s̪ t̪ ɜ r̪ e				
709-4				g o o			
522-4				o ɣ d o ŋ			
514-4				m ɪ k			
464-4				s̪ n̪ ɑ			
1020-4				s̪ n̪ ɜ m s̪ u l			
1355-4				s̪ o			
1464-4				l̪ tɕ e			
302-4				b l ɜ ŋ			
237-4				l̪ t̪ β̞ ɑ			
205-4				p r̪ ɜ q p ɜ			
1089-4				l ɜ q ũ ɪ l			
804-4				k ɜ ŋ m ɜ			
1263-4				b ɜ x s̪ p ɑ			
286-4				ɾ u s̪ p ɜ			
717-4				s̪ n̪ i ŋ			
269-4				ʈʂ ɜ q			
1512-4				x tɕ i n̪			
555-4				ɜ k p ɜ			
751-4				n̪ ɜ ŋ			
439-4				z̪ g o			
601-4				ɕ i ŋ			
320-4				ɜ x m ɜ			
1106-4				b u			
693-4				h ɜ ũ o ɽ ɑ			
221-4				s̪ t̪ ɜ r̪ e			
709-5					g o o		
522-5					o ɣ d o ŋ		
514-5					m ɪ k		
464-5					n̪ ɑ		
1020-5					s̪ n̪ ɜ m s̪ u l		
1355-5					s̪ o		
1464-5					l̪ tɕ e		
302-5					b l ɜ ŋ		
237-5					l̪ t̪ β̞ ɑ		
205-5					p l̥ ɜ ɣ p ɜ		
1089-5					l ɜ ɣ kʰʲ ɪ l		
804-5					k ɜ ŋ m ɜ		
1263-5					b ɜ x s̪ p ɑ		
286-5					ɾ u s̪ p ɜ		
717-5					s̪ n̪ i ŋ		
269-5					ɖʐ ɜ q		
1512-5					x tɕ i n̪		
555-5					ɜ k p ɜ		
751-5					n̪ ɜ ŋ		
439-5					z̪ g o		
