COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r ɨ									
18-1	d a r ɨ									
35-1	h i θ u a u									
36-1	h u θ a ts u									
48-1	n a g a i									
60-1	θ u r i									
63-1	s i r a m i									
64-1	x i									
67-1	h a ɴ									
68-1	n ɨ									
71-1	tɕ i									
76-1	h u n ɨ									
83-1	ts ɨ n u									
87-1	h a n ɨ									
95-1	m i m i									
98-1	h a n a									
99-1	x u ts i									
-102-1	s i θ a									
103-1	ts ɨ m ɨ									
110-1	θ ɨ									
116-1	m ɨ n ɨ									
120-1	n u m u r									
132-1	x i x u r									
139-1	x u r u s u r									
140-1	u g u g u r									
156-1	θ a h u r u									
168-1	ts ɨ x i									
169-1	h u s i									
170-1	m i d u									
173-1	ʔ s i									
180-1	x u m u									
185-1	h ʔ i									
186-1	m u ɨ r u									
187-1	m i ts i									
190-1	ʔ x a i									
193-1	x iː r u i									
194-1	s i r u i									
195-1	x u r u i									
216-1	m a r tɕ a									
221-1	n a ɴ									
239-1	ʔ θ u									
252-1	m i ɨ u									
253-1	g u ts ɨ									
254-1	i θ u θ u									
266-1	x a d ɨ									
267-1	n a g a r ɨ r u r									
268-1	u m i									
272-1	ʔ m ɨ ɴ									
276-1	ʔ r a u									
281-1	m u s i									
304-1	ts ɨ b a i									
305-1	tɕ i									
308-1	h a n a									
309-1	x u s a									
310-1	θ u									
311-1	n i									
342-1	g u k i									
346-1	x u r a i									
347-1	x i r u r									
348-1	h i r u i									
351-1	θ o s a r									
361-1	u m u r									
379-1	x u s a r ʔ									
394-1	h i d ʔ r i									
395-1	m i g i r									
400-1	h i d a r u									
412-1	s a x ɨ r u r									
413-1	ts ɨ k ʔ s ʔ s u									
414-1	h u r u r									
422-1	h u x u r ɨ r u									
423-1	x a ɴ g ʔ ɨ r u									
430-1	h a x u r									
435-1	h u x u r									
446-1	s i θ a r									
447-1	ɨ ɨ ɴ									
458-1	θ u s i									
56-1	h i θ u									
62-1	i n u									
70-1	θ a n ɨ									
96-1	m ɨ									
101-1	h a									
114-1	x u b i									
119-1	k i m u									
134-1	s i h ɴ r u									
138-1	s i n u r									
146-1	ʔ r u x u									
161-1	g tɕ r									
182-1	x ɨ m u r i									
188-1	g a m a									
196-1	g u r u									
262-1	h i r u m a									
300-1	h ɨ s u									
313-1	d ɨ									
350-1	s ɨ b a i									
352-1	ts i x a i									
396-1	h u r tɕ									
401-1	u s u									
420-1	u θ u r ɨ r									
424-1	u θ a ɨ									
442-1	s i m ɨ ts u x i r									
455-1	i x i θ j r u									
15-1	ʔ r ɨ r									
49-1	u ɴ n a ɴ									
130-1	m i r u									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o ts u								
36-2		h u t a ts u								
48-2		n a g a i								
60-2		t o r i								
63-2		s i r a m i								
64-2		k i								
67-2		h a b								
68-2		n e								
71-2		tɕ i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i t a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u								
