COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	θ e b a			
222-1	a b o b o n e			
208-1	a b u ɾ u d u			
962-1	a g o ɾ θ e			
203-1	a g u d e			
138-1	s i l o			
504-1	ɗ oː ʃ e			
662-1	ɓ uː ɗ e			
478-1	g o ɗ e			
409-1	a r e			
410-1	g u n d e			
256-1	ɓ l e			
622-1	n d u			
546-1	n d u			
547-1	s a f e			
847-1	n a n d e g i			
95-1	b e ɗ e			
105-1	b ɪ n e n e			
510-1	b o ʃ e			
951-1	m b ə m a ɾ e			
1116-1	m b u m a			
149-1	ɓ uː tʃ ʔ e			
376-1	ɓ ʔ l i			
815-1	g o r a f e			
453-1	ɗ uː n e			
67-1	ɗ e s e			
47-1	ɗ o k u θ e			
869-1	ɗ uː θ e			
57-1	g ʔ g u			
303-1	g a tʃ ʔ i a			
443-1	g eː r a			
884-1	g u n d e			
166-1	g u n d e			
918-1	a b a r o			
831-1	h uː ʃ e			
616-1	b iː e			
84-1	h o s a l e			
346-1	h u h u d u			
601-1	tʃ i g i			
177-1	k ʔ e f e			
341-1	k ʔ o l e			
1066-1	f e n tʃ ʔ i ŋ a			
318-1	f eː s i			
241-1	m ə n s o			
556-1	h a n d u ŋ u			
191-1	ɓ ʔ m b ɪ l			
458-1	a tʃ ʔ i tʃ ʔ i			
1-1	h a n k i ɾ			
751-1	ɾ o			
864-1	a k o n e			
154-1	a m a n e			
278-1	a m i l e ʔ i a			
766-1	s oː r e			
251-1	a g uː ɾ o			
582-1	u ʔ u ŋ			
6-1	a l i			
1106-1	n			
473-1	ɪ n e			
1111-1	h a l u			
957-1	m a r e			
41-1	b eː			
24-1	tʃ iː			
25-1	θ ʔ r e			
879-1	a b a ɾ a b a d			
837-1	m ʔ ʃ i			
233-1	b ʔ iː ɓ i o			
938-1	ɓ uː l e			
369-1	a r e			
946-1	ɓ e ŋ g o			
889-1	ɓ eː l e			
820-1	ʔ s o ɾ e n			
438-1	n d e n e			
468-2		l a b a		
222-2		a b o b o		
208-2		a b u r u		
962-2		a g o r a		
203-2		a g u d i		
138-2		ʃ i l e		
504-2		ɗ oː ʃ a f a		
662-2		ɓ u ɗ e n e		
478-2		g oː ɗ e		
409-2		a r e		
410-2		g u n d e		
256-2		ɓ aː l a		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ w a ʔ		
847-2		n ɛ n d i g i		
95-2		b ɛ ɗ e		
105-2		b i n e		
510-2		b oː ʃ a		
951-2		m b ə m a r e		
1116-2		m b u m a		
149-2		ɓ u s ʔ i		
376-2		ɓ a l i		
815-2		g o r a f a		
453-2		ɗ u ŋ e		
67-2		ɗ a ʃ e		
47-2		ɗ o k u l a		
869-2		ɗ u l a		
57-2		g a g u		
303-2		g a s ʔ i a		
443-2		g eː r a		
884-2		g u n d e		
166-2		g u n d u		
918-2		a b a r o		
831-2		h u n e		
616-2		b iː e		
84-2		h o ʃ a l e		
346-2		h u h o l o		
601-2		tʃ i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		w ɛ n d e ŋ i		
318-2		f w i ɲ		
241-2		m a n z o		
556-2		h a n d u ŋ u		
191-2		ɓ ɪ m ɓ i l		
458-2		a ʃ ʔ i s ʔ i		
1-2		h a n tʃ i r		
751-2		r o		
864-2		aː ŋ o n e		
154-2		a m a n e s i		
278-2		a m i l e		
766-2		ʃ oː r a		
251-2		a g u r u		
582-2		u oː ŋ		
6-2		a l i		
1106-2		n g o		
473-2		i ŋ e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
24-2		ʃ iː		
25-2		l a r e		
879-2		a b a r ə b ɛ d		
566-2		w a ŋ f a r a s ʔ		
742-2		a g o ʔ		
1044-2		ʃ i m b i l o		
13-2		a l h a m i s		
720-2		aː s a l a ʔ		
837-2		m a ʃ i		
233-2		ɓ i ɓ i o		
938-2		ɓ u l a n e		
369-2		a r e		
946-2		ɓ a ŋ g o		
889-2		ɓ iː l a		
820-2		a ʃ o r i		
405-2		b o d e		
134-2		ɓ a ɗ e ʔ e		
1078-2		m e h i		
429-2		b oː ŋ k o ʃ		
187-2		b u s k ʔ e		
438-2		n d ɛ n e		
468-3			θ a b a	
222-3			a b o b o ʔ i	
208-3			a b u d u b u d u	
962-3			a g o r a	
203-3			a g u d i ʔ ɔ	
138-3			a ʃ i l u	
504-3			ɗ ɔ ʃ ɛ f a	
662-3			ɓ u d a	
478-3			g ɔ d a	
409-3			a r e	
410-3			g u n d a	
256-3			ɓ a l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ w a ʔ	
847-3			ə n d i g i	
95-3			b a d a	
105-3			b a n i	
510-3			b ɔ ʃ a	
951-3			m b ə m a r i	
1116-3			m b u m a	
149-3			ɓ u s ʔ i	
376-3			ɓ i l i	
815-3			g ɔ r a f a	
453-3			d u n a	
67-3			d a ɗ i	
47-3			ɗ ɔ k ɔ θ a	
869-3			ɗ u θ a	
57-3			g a g u	
303-3			g ə s ʔ i a	
443-3			g i r a	
884-3			g u n d i	
166-3			g u n d u	
918-3			a b a r a	
831-3			h a h a ʃ a	
616-3			b iː a	
84-3			h ɔ ʃ ɛ l i	
346-3			h ɔ l u	
601-3			s i g i	
177-3			k ʔ a f a ŋ	
341-3			k ʔ ɔ l a	
1066-3			f ɛ n d a ŋ a	
318-3			f eː ʃ	
241-3			m a n ʃ ɔ	
556-3			h a n d u ŋ u	
191-3			ɓ ɪ m b i l	
458-3			u ʃ ɔ i ʃ ʔ i	
1-3			h a	
751-3			r ɔ	
864-3			a ŋ ɔ n ɛ	
154-3			a m a n s i	
278-3			m i l u ʔ i	
766-3			ʃ ʊu̯ r a	
251-3			a g u r u	
582-3			ɔ ʔ ɔ ŋ	
6-3			i l i	
1106-3			n g ɔ	
473-3			ɪ n e	
1111-3			h a θ u	
957-3			m ʊ r e	
24-3			ʃ iː	
25-3			θ a r a	
879-3			a b a r a b a d	
566-3			a w a w ɔ r ɔ s ʔ s	
742-3			a g o ʔ	
1044-3			ʃ ɪ m b i l u	
13-3			h a m i s	
720-3			a s ɛ l a ʔ	
233-3			ɓ i b i ɔ	
938-3			ɓ u l a	
369-3			a r e	
889-3			ɓ iː l a	
405-3			b i ɗ i	
134-3			ɓ ə d a ʔ i	
1078-3			m iː h i	
429-3			b ɔ ŋ k ɔ ʃ	
187-3			b u s k ʔ i k ʔ	
468-4				l a b a
222-4				a b o b o n e
208-4				a b u d u
962-4				a g o r a
203-4				a g u d i
138-4				ʃ i l e
504-4				ɗ oː ʃ a
662-4				ɓ u ɗ i n e
478-4				g o ɗ e
409-4				a e
410-4				g u n d i
256-4				ɓ aː l a
622-4				n d u
546-4				n d u
547-4				ʃ ɛ w a
847-4				n ɛ n d ɛ g i
95-4				b e ɗ i
105-4				b ɛ n ɛ
510-4				b o ʃ a
951-4				m b ə m a
1116-4				m b a m a
149-4				ɓ u dʒ i
376-4				ɓ a l i
815-4				g o r a
453-4				ɗ u ŋ i
67-4				ɗ a ʃ e ʔ
47-4				ɗ o dʒ o l ɛ
869-4				ɗ u θ a
57-4				dʒ aː g u
303-4				g a ʃ dʒ i a
443-4				g e r a
884-4				g u n d i
166-4				g u n d u
918-4				a b a r e
831-4				h a h a ʃ e
616-4				b iː e
84-4				h o ʃ ɛ l e
346-4				h u h o l o
601-4				ʃ i g i
177-4				k a f a
341-4				dʒ o l a
1066-4				w ɛ n d e ŋ a
318-4				f eː ʃ a
241-4				m aː ʃ a
556-4				h a n d u ŋ u
191-4				ɓ ɛ m b ɓ l i l
458-4				a ʃ i s ʔ i
1-4				h a n z i
751-4				o
864-4				a ŋ o n ɛ n e
154-4				a m a n z i
278-4				m i l o
766-4				ʃ oː a
251-4				a g u u
582-4				u o ŋ
6-4				a l i
1106-4				n g o
473-4				o n e
1111-4				h a l u
957-4				m a r e ʔ
41-4				b eː
566-4				a f a n f o r o s ʔ
742-4				a g o
1044-4				ʃ i m b i l
13-4				a l h a m i z
720-4				aː s ɛ l a
837-4				m aː ʃ i
946-4				ɓ ɛ ŋ g o
820-4				a ʃ o
405-4				b o d a
134-4				ɓ o ɗ e ʔ i
1078-4				m iː h i
429-4				b o ŋ o ʃ
187-4				b u s k ʔ e
438-4				n d ɛ n e
