COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	lː a b a			
222-1	a b o b o			
208-1	a b u r b u d u			
962-1	a g o r lː a			
203-1	a g uː d e			
138-1	ʃ i l u			
504-1	ɗ oː ʃ a			
662-1	ɓ u ɗ i			
478-1	g oː ɗ e			
409-1	a r e			
410-1	g u n d e			
256-1	ɓ aː l a			
622-1	n d u			
546-1	n d u			
547-1	ʃ ɛ w a ʔ			
847-1	n ɛ n d ɛ g i			
95-1	b ɛ ɗ e			
105-1	b ɪ n i			
510-1	b o ʃ a			
951-1	m b ə m a r e			
1116-1	m b u m a			
149-1	ɓ u s ʔ i			
376-1	ɓ a l i			
815-1	g o r a w a			
453-1	ɗ u ɲ a			
67-1	ɗ aː ʃ e			
47-1	ɗ o k ʔ o θ a			
869-1	ɗ u lː a			
57-1	g a g o ʔ			
303-1	g ɛ s ʔ i a			
443-1	g e r a			
884-1	g u n d e			
166-1	g u n d e			
918-1	a b ɛ r o			
831-1	h a h a ʃ a			
616-1	ɓ iː e			
84-1	h o ʃ ɛ l e			
346-1	h u h u l u			
601-1	s i g i			
177-1	k ʔ a f a			
341-1	k ʔ o l a			
468-2		θ aː b a		
222-2		a b o b o n e		
208-2		a b u r b u		
962-2		a g o r a		
203-2		a g uː d e		
138-2		ʃ i l i		
504-2		ɗ oː ʃ a		
662-2		ɓ oː d a		
478-2		g o ɗ a		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l a		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a ʔ		
847-2		n ɛ n d ɛ g i		
95-2		b ə ɗ i		
105-2		b ɛ n e		
510-2		b o ʃ a		
951-2		m b ə m a r e		
1116-2		m b u m a		
149-2		ɓ u s ʔ i		
376-2		ɓ ə l i		
815-2		g o r a f a		
453-2		ɗ u ŋ a		
67-2		ɗ a ɗ a ʃ		
47-2		ɗ o k o l a		
869-2		ɗ oː l a		
57-2		g aː g u		
303-2		g a s ʔ i a		
443-2		g e r a		
884-2		g u n d u		
166-2		g u n d u		
918-2		a b a r e		
831-2		h a n ʃ a		
616-2		b eː		
84-2		h o ʃ a l e		
346-2		h u h o l o		
601-2		tʃ ʔ ɪ g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
468-3			θ aː b a	
222-3			a b a b o n e	
208-3			a b ʊ r b ʊ d u	
962-3			a g o r θ a	
203-3			a g ʊ d i ʔ i	
138-3			ʃ i l a	
504-3			ɗ ɔ ʃ ɛ f a	
662-3			ɓ u d a	
478-3			g ɔ d a	
409-3			a r e	
410-3			g u n d a	
256-3			p ʔ aː l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			n ɛ n d a g i	
95-3			b ə ɗ i	
105-3			b e n a	
510-3			b ɔ ʃ a	
951-3			m b ə m a r e	
1116-3			m b ʊ m a	
149-3			p ʔ u s ʔ i	
376-3			p ʔ a l i	
815-3			g ɔ r a f a	
453-3			ɗ u ŋ	
67-3			ɗ a ɗ ʃ	
47-3			d u k u θ a	
869-3			ɗ ʊː θ a	
57-3			g aː g u	
303-3			g ɛ s ʔ i a	
443-3			g ɛ r a	
884-3			g u n d a	
166-3			g u n d u	
918-3			a b a r ə	
831-3			h a h a ʃ a	
616-3			p ʔ a	
84-3			h ɔ ʃ ɛ l i	
346-3			h ɔ h ɔ l o	
601-3			s i g i	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
468-4				θ aː b a
222-4				a b o b o n e
208-4				a b u r b u d u
962-4				a g o r θ a
203-4				a g uː d e
138-4				ʃ i l e
504-4				ɗ oː ʃ a
662-4				ɓ uː d e
478-4				g o ɗ ɛ
409-4				a r e
410-4				g u n d i
256-4				ɓ aː l a
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a
847-4				n ɛ n d ɛ g i
95-4				b ɛ ɗ i
105-4				b ɪ n i
510-4				b o ʃ a
951-4				m b ə m a r e
1116-4				m b ə m a
149-4				ɓ u s ʔ i
376-4				ɓ a l i
815-4				g o r a
453-4				ɗ u ɲ e
67-4				ɗ aː ʃ i
47-4				ɗ o k ʔ o θ a
869-4				ɗ uː θ e
57-4				k aː g u
303-4				g ɛ s ʔ i a
443-4				g e r a
884-4				g u n d i
166-4				g u n d u
918-4				a b ɛ r e
831-4				h aː ʃ e
616-4				ɓ iː e
84-4				h o ʃ ɛ l e
346-4				h u h u l u
601-4				z i g i
177-4				k ʔ a f a
341-4				k ʔ o l a
