COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	l a b a			
222-1	a b o b o n e			
208-1	a b u r b u d			
962-1	a g o r e			
203-1	a g u d u ʔ i			
138-1	s i l o			
504-1	ɗ oː ʃ e			
662-1	ɓ uː d e			
478-1	g oː ɗ e			
409-1	a r e			
410-1	g u n d u			
256-1	ɓ ə l o			
622-1	n d u			
546-1	n d u			
547-1	s ɛ w e			
847-1	n ə n d g e			
95-1	b ə ɗ e			
105-1	b ɛ n e			
510-1	b o s e			
951-1	m b ə m a r e			
468-2		θ aː b a		
222-2		a b o b o n i		
208-2		a b u r b u		
962-2		k o r a		
203-2		a g u d i ʔ i		
138-2		ʃ i l e		
504-2		ɗ oː ʃ a f e		
662-2		ɓ oː d aː e		
478-2		k oː ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ n d g i		
95-2		b ə ɗ i		
105-2		b ɛ n i		
510-2		b o ʃ a		
951-2		m b ə m a r e		
468-3			θ aː b a	
222-3			a b a b a	
208-3			a b u r b u d u	
962-3			g ɔ r a	
203-3			a g u d i ʔ i	
138-3			ʃ i l e	
504-3			ɗ ɔ ʃ a	
662-3			p ʔ ʊ d a	
478-3			g ɔ d a	
409-3			a r e	
410-3			g u n d i	
256-3			p ʔ aː l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a	
847-3			n e d g i	
95-3			b ə ɗ i	
105-3			b e n i	
510-3			b ɔ ʃ a	
951-3			m b ə	
468-4				θ aː b a i y o
222-4				a b o b o n e
208-4				a b u r b u d u
962-4				a g o r e f a
203-4				a g u d i
138-4				ʃ i l e
504-4				ɗ oː ʃ a
662-4				ɓ uː d e
478-4				g o ɗ i
409-4				a r e
410-4				g u n d i
256-4				ɓ ɛ l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a ŋ
847-4				n ɛ n d g i
95-4				b a ɗ i
105-4				b ɛ n e
510-4				b o ʃ a
951-4				m b u m a r e
