COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
4943					ʈ õ ²¹		ts ɔ ⁴²		
2910		ts ɿ ⁵⁵	ts ɿ ⁵⁵		ʈʂ ɛ̃ ⁵⁵	ts ɿ ⁵⁵			ts ɯ ⁵⁵
5513		ts ou ⁴²	ts o ⁴⁴	ts u ⁴⁴	ts u ⁵⁵	ts o ⁴⁴	ts ɔ ⁴⁴		ts o ⁴⁴
1774	ɲ ɤ ³³					n ɤ ³³		ɲ ɤ ³³	ɲ ɤ ³³
6981	ŋ ɤ ²¹		ɤ̃ ²¹		ŋ o ³¹	ŋ ɤ ²¹	ŋ ɯ ²¹		ŋ ɤ ²¹
1218						kʰ ɔ ⁵⁵			kʰ ɔ ⁵⁵
3487	n a ³³							n a ³³	
6749	a ⁵⁵	a ⁵⁵			a ⁵⁵		a ⁵⁵	a ⁵⁵	
138	l a ⁴⁴	l a ⁴⁴					l a ⁴⁴		
3213				k u ²¹	k ɤ ³¹				
1822						p i ²¹			p i ³¹
4110	ɲ i ⁴⁴				ɲ i ³³	ɲ i ⁴⁴	n i ⁴⁴	ɲ i ⁴⁴	ɲ ɯ ⁴⁴
3626	ʈʂ w ɛ ⁵⁵							ts w ɛ ⁵⁵	
300				kʰ o ⁵⁵		kʰ ɔ ⁵⁵			
1583			kʰ w ɛ ⁵⁵					kʰ w ɛ ⁵⁵	
6840	s ɿ ³⁵			s ɯ ⁵⁵		s ɯ ⁵⁵	s ɯ ⁵⁵		s ɿ ⁵⁵
5488		ts ɿ ³³	ts ɿ ³³			ts ɿ ³³		ts ɿ ³³	
218					ts ẽ ⁵⁵			tɕʰ i ³¹	ts ɿ ⁴⁴
1460	m j ɛ ⁴²	m j ɛ ⁴²	m j ɛ ⁴²	m j ɛ ⁴²		m j ɛ ³²			m j ɛ ⁴²
5612	u ³¹	u ³¹	u ³¹	w u ³³		u ³¹	u ³¹	w u ³¹	
5341	ʈʂʰ u ⁵⁵	tɕʰ u ³⁵	tsʰ u ⁵⁵	tsʰ u ⁵⁵		tʃʰ u ⁵⁵	tɕʰ u ⁵⁵	tsʰ u ⁵⁵	
4751	ts w a ⁴²	ts w a ⁴²	ts w a ⁴²	ts w a ⁴²					
3955	k a ³⁵	kʰ ɔ̃ ⁴⁴	k ɛ ⁵⁵	k w ɛ ⁵⁵	q o ⁴⁴			k ɛ ³³	k w a ³⁵
1242	j ɯ ³⁵							j ɯ ³⁵	j ɯ ³⁵
3356	p ɔ ³¹					p ɔ ²¹		p ɔ ³¹	p o ³¹
664						m u ³³			m u ³³
109					ʈʂ æ ⁵⁵		tɕ ɛ ⁴⁴		
