** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.1026        0.2323       0.7289         0.6439       1.0256        0.2162       0.7595         0.6844
10               1.2188        0.2551       0.7109         0.6360       1.0312        0.2086       0.7581         0.6774
2                0.8710        0.1875       0.7949         0.7074       0.6774        0.1488       0.8264         0.7748
3                1.2500        0.2913       0.7556         0.5332       2.5000        0.5579       0.5335         0.2729
4                0.6071        0.1458       0.8658         0.7477       0.9643        0.2250       0.7646         0.6267
5                2.0000        0.5500       0.7698         0.2611       2.4000        0.6833       0.4606         0.1744
6                0.8667        0.2045       0.8148         0.6637       0.8000        0.1862       0.7980         0.7096
7                1.0870        0.2443       0.8041         0.6175       1.8261        0.4236       0.6241         0.3892
8                0.6429        0.1608       0.8513         0.7251       0.8214        0.1896       0.8135         0.6781
9                1.6500        0.3358       0.7394         0.5505       1.4000        0.3083       0.7150         0.5370
TOTAL            1.1296        0.2607       0.7835         0.6086       1.3446        0.3148       0.7053         0.5524


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.3944        0.2907       0.6646         0.5775       1.2254        0.2498       0.6710         0.6386
10               1.4600        0.2904       0.6434         0.5921       1.1800        0.2422       0.6835         0.6365
2                1.1786        0.2462       0.6963         0.6332       1.1964        0.2344       0.6965         0.6635
3                2.2222        0.5083       0.5753         0.3461       3.0000        0.6329       0.4282         0.2387
4                1.0000        0.2500       0.7220         0.6178       1.1607        0.2860       0.6910         0.5468
5                2.0000        0.6354       0.6826         0.1932       2.5714        0.7500       0.3761         0.1349
6                0.8846        0.1992       0.7882         0.6876       1.1154        0.2678       0.6901         0.5759
7                1.3158        0.3154       0.7328         0.5270       1.8421        0.4432       0.5377         0.3879
8                0.8400        0.2084       0.7725         0.6739       1.1400        0.2774       0.6728         0.5847
9                1.5143        0.3569       0.6572         0.4946       2.2286        0.4737       0.4768         0.3804
TOTAL            1.3810        0.3301       0.6935         0.5343       1.6660        0.3857       0.5924         0.4788


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.4059        0.3066       0.6360         0.5352       1.4950        0.3163       0.5857         0.5493
10               1.3429        0.2530       0.6575         0.6276       1.4000        0.2835       0.6122         0.5825
2                1.0800        0.2290       0.6936         0.6741       1.6267        0.3570       0.5516         0.4881
3                2.2500        0.5204       0.5762         0.3402       3.2500        0.6904       0.4245         0.2138
4                0.9189        0.2221       0.7248         0.6583       1.4324        0.3623       0.5849         0.4185
5                2.5455        0.6439       0.6254         0.1666       2.4545        0.7636       0.3568         0.1589
6                1.1739        0.2602       0.7169         0.6003       1.2464        0.2817       0.6436         0.5892
7                1.6122        0.3640       0.6435         0.4785       2.2041        0.5386       0.4461         0.2837
8                1.0959        0.2634       0.7153         0.6113       1.4932        0.3667       0.5569         0.4935
9                2.0500        0.4395       0.5729         0.4094       2.6750        0.5494       0.4110         0.2740
TOTAL            1.5475        0.3502       0.6562         0.5101       1.9277        0.4510       0.5173         0.4051


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.4929        0.3280       0.6172         0.5283       1.8571        0.4067       0.4921         0.4211
10               1.2875        0.2539       0.6631         0.6222       1.7625        0.3744       0.5308         0.4685
2                1.1294        0.2394       0.6826         0.6570       1.6588        0.3786       0.5327         0.4619
3                2.4545        0.5523       0.5477         0.3035       3.1364        0.6542       0.3604         0.2387
4                1.2584        0.2955       0.6539         0.5519       1.7978        0.4711       0.4793         0.3037
5                2.5455        0.6439       0.6254         0.1666       2.4545        0.7636       0.3568         0.1589
6                1.2000        0.2784       0.6563         0.5685       1.5667        0.3696       0.5597         0.4613
7                1.7818        0.4000       0.6049         0.4393       2.4909        0.6002       0.3740         0.2387
8                1.2471        0.2905       0.6611         0.5648       1.6471        0.3894       0.5217         0.4396
9                2.0000        0.4209       0.5687         0.4486       2.3333        0.4912       0.4361         0.3418
TOTAL            1.6397        0.3703       0.6281         0.4851       2.0705        0.4899       0.4644         0.3534


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.9477        0.4325       0.5433         0.3991       2.1895        0.4789       0.4179         0.3577
10               1.6111        0.3267       0.6034         0.5249       1.8889        0.3962       0.4999         0.4404
2                1.6923        0.3744       0.5865         0.4792       2.3462        0.5262       0.3995         0.3162
3                3.0370        0.6876       0.4534         0.1893       3.1481        0.6701       0.3701         0.2190
4                1.6228        0.3755       0.5871         0.4566       2.0351        0.5348       0.3917         0.2674
5                2.5455        0.6439       0.6254         0.1666       2.4545        0.7636       0.3568         0.1589
6                1.5455        0.3376       0.5987         0.5225       2.0091        0.4671       0.4290         0.3468
7                1.9219        0.4349       0.5392         0.4202       2.3594        0.5813       0.3739         0.2614
