COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
2393	m	m														
4843	o r u	o r u					o r i		o r u m							
743			j a b e					j a j e			j a j o					
3569	w o	w														
2497			d e		d e						d o					
1293	m													m		
1544													j oː			j oː
386	m	m														
1192													dʒ i m		tʃ i ŋ	dʒ i m
5906			t eː ŋ g e			t eː ŋ g o		t eː ŋ g e			t eː ŋ g e					
3049				i ɲ e					i n dʒ e							
3072				dʒ ɛ ɲ ɛ									dʒ e ɲː e			g e ɲ ɛ
3670										ɲ i				n i		
4158				g ɔ ŋ ɔ					g ɔ w̃ ɔ			g ɔ ŋ ɔ				
239	t u m b i	t u m d i									t u m b u					
3373				n ɔ w̃ ɔ								n ɔ w̃ ɔ				
5143				n i					n i			n u				
4154		k uː								gʷ ãː						
4384				k o w								k oː		k o w		
3841		l aː w a		l aː w a					l aː w a							
3519						o eː				o e					o j e	
4297					r e			r e								
1294		g ɔ̃ː m										g u m o				
597					g e n i			g eː n i								
5044													y			y
4865	m	m														
2026	n̩ d ɔ s ɔː	l ɔ s ɔː					l ɔ s ɔ									
4714					k oː l o			k oː l o								
670						d ɔ n ɛ					d ɔ n ɔ					
596				s aː m a								s ɔ m u				
3792				dʒ ɔ w̃ ɔ								dʒ ɔ w ɔ				
451													i l i j e			i lː iː
5231								ɲ iː n i			j iː n i					
1236	m	m														
200										b e j aː					b i j a	
2994	d u w a	d u w ɔ							t i w ɛ							
594	u s i r̃ iː	u s u n iː					u s i r i									
3361										z a					z a	
4721												k a r a	k a l a		g a l a	g a l a
388						d u b e					d uː					
5278							t i ŋ a					t i ŋ ɛ				
2125	m	m														
4038			k oː g e		k oː g e											
1476					k o l o			k u l u								
1297			s aː m b a				dʒ aː m b a									
618												u dʒ ɔ	u d ɔ			u dʒ ɔ
1500	g oː m	g oː m														
3795						g a b u					g a w					
4421	t i j ɛ	t i j ɛ														
5570				dʒ ɛ n ɛ ŋ ɛ					dʒ ɛ n i ŋ g ɛ							
1749						dʒ aː ŋ i									z aː n i	
936													b ɛː		b i j a	b i
5088														b e t e	p i d i m	
4151	g i m b e r e						g o m b o r o									
2819			ŋ aː ŋ aː						a ŋ u		a n a					
3776					t aː ŋ g u			t aː ŋ g a								
