COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
2571												t i ¹	t i ¹	t i ¹		
5567	h j e ¹		h j a ¹	h j e ¹			h j a ¹	h j a ¹	h j a ¹						ɕ j a ¹	
70							q u m ¹				q a m ¹					
10055					ⁿb j a ¹	ⁿb j a ¹					ⁿb j a ¹					
6618			j o ¹		j o ¹	j o ¹		j o ¹	j o ¹	j o ¹	j o ¹					
7971	ʔ w e n ¹		ʔ w e n ¹			ʔ w e n ¹				ʔ w e n ¹		ʔ w eː n ¹		ʔ w i n ¹	ʔ w e n ¹	ʔ w e n ¹
5285					ˀd aːu ¹	ˀd aːu ¹					ˀd aːu ¹	ˀd aːu ¹				
5082	m̥ ai ¹		m̥ ai ¹		m̥ ai ¹	m̥ ai ¹				m̥ ai ¹	m̥ ai ¹	m̥ ai ¹		m̥ əi ¹	m̥ ai ¹	m̥ ai ¹
1801					h u p ¹	h u p ¹					h u p ¹	h ə p ¹				
2995							n au ¹	n aːu ¹	n aːu ¹							
10143		t u ¹	t u ¹							t u ¹	t u ¹		t u ¹	t u ¹		t u ¹
4254	z a ¹		z a ¹	z a ¹				z a ¹	z a ¹	z a ¹		z a ¹		z a ¹	z a ¹	z a ¹
10687		n̥ u ¹		n au ¹			n au ¹			n̥ u ¹	n au ¹	n au ¹		n̥ u ¹		n̥ u ¹
10053	l j e ¹		l j a ¹					l j a ¹	l j a ¹	l j a ¹						l j a ¹
4041								ts u m ¹	ts u m ¹							
9836	ˀd j e ŋ ¹		ˀd j aː ŋ ¹	ⁿd j ə ŋ ¹			ⁿd j ə ŋ ¹	ⁿd j aː ŋ ¹		ˀd j aː ŋ ¹						ˀd j aː ŋ ¹
3448		q a ¹			q a ¹	q a ¹					q a ¹	q a ¹				
6811					p e n ¹	p j ə ŋ ¹					p j ə ŋ ¹					
6159		k a ¹			k a ¹							k a ¹				
7014				h̃ j u ¹			h̃ j u ¹	h̃ j u ŋ ¹	h̃ j u ¹							
8158		v e ¹	p əi ¹										v e ¹	f əi ¹		
4305		qʰ aːu ¹			qʰ aːu ¹	qʰ aːu ¹					qʰ aːu ¹	qʰ aːu ¹				
3195		l aːi ¹											l aːi ¹			
10829	l u m ¹		l u m ¹	l u m ¹			l u m ¹						l u m ¹	l u m ¹	l u m ¹	l u m ¹
7242	ȶ e ¹			ȶ e ¹												
5568		kʰ a ¹			kʰ a ¹							kʰ a ¹				
4708			ɕ i ¹	ɕ i ¹			ɕ i ¹						ȶʰ i ¹			
1158				kʰ e ¹		q aːu ¹										
