COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	n au ³						
4-1	l a ³						
18-1	n j u ŋ ⁵						
19-1	n j ḛ ³¹						
44-1	d l u k ⁴²						
50-1	ʃ u ŋ ³						
62-1	ʃ ai k ³						
70-1	d a n ³						
75-1	n j ɔ ʔ ³¹						
97-1	j a ŋ ³						
112-1	tsʰ u ³						
122-1	n j u k ³²						
127-1	kʰ j ei ³						
132-1	x j ɔ ʔ ³¹						
133-1	n au ³						
135-1	n au ⁵						
142-1	d ts i ³						
143-1	ŋ u ³¹						
149-1	j u ⁵⁴						
152-1	ŋ ɛ ³						
157-1	p ɔ ³						
183-1	j u ³						
184-1	n a̰ ʔ ⁵²						
185-1	tsʰ a m ³						
189-1	n j ɔ ʔ ³¹						
192-1	n au ³						
195-1	n a ³						
200-1	d a n ³¹						
216-1	s au ŋ ³						
218-1	l ɔ ʔ ³¹						
225-1	ʃ ai ŋ ³						
235-1	kʰ j ɛ ³¹						
244-1	ʃ ɔ ⁵						
253-1	n ɛ ³						
270-1	n j ɛ ʔ ³¹						
278-1	n j ɛ ŋ ³						
279-1	j u ³						
285-1	d j ṵ m ³						
308-1	j u ⁵						
322-1	n u ³						
325-1	kʰ au ⁵						
337-1	n j a ŋ ³¹						
341-1	d ts ɔ ³						
347-1	ʃ j au k ³¹						
362-1	j ɛ ³¹						
391-1	j ɔ p ⁴						
394-1	m ɔ ʔ ³¹						
397-1	dʒ ei ³¹						
443-1	n j u p ⁵³						
460-1	ʃ u ʔ ⁵³						
463-1	d j a ³¹						
464-1	d u n ³						
473-1	ʃ u m ³						
476-1	kʰ j u k ⁴²						
481-1	tsʰ ɛ ³						
494-1	g ɛ ³						
496-1	ʃ j ɛ ŋ ³						
516-1	j ei ³						
522-1	n ɔ ʔ ³¹						
523-1	d j u ³						
524-1	n ɛ ³						
540-1	d u ³						
3-1	d ɛ ³¹						
6-1	d u ⁵						
7-1	d ṵ ³						
20-1	n a p ⁴²						
51-1	n ṵ ³¹						
64-1	g u ŋ ³						
65-1	g j ṵ k ⁴²						
66-1	ts ɔ ⁵						
71-1	s i ³						
72-1	ʔ a ³						
76-1	j ɔ ³						
77-1	n j ɔ ʔ ³						
78-1	n au ³¹						
82-1	d au ŋ ³						
87-1	j ɔ ³						
93-1	l a m ⁵						
94-1	n j ei ʔ ³						
100-1	s a ³						
116-1	d l ai ³						
119-1	j ṵ ³						
124-1	d j u ³						
136-1	l j i ³						
137-1	kʰ j au ³¹						
144-1	s a ʔ ⁵⁴						
145-1	d u ŋ ³						
146-1	n au ⁵						
150-1	d j ɔ ʔ ³¹						
154-1	n j i ³						
165-1	j a m ³						
166-1	d j ɔ ³¹						
169-1	d j u ŋ ³						
170-1	b j ɔ ³¹						
171-1	j a ŋ ³						
174-1	d l a m ³						
181-1	n j ɔ ʔ ³¹						
193-1	b u ³						
205-1	n a̰ ʔ ⁵²						
206-1	n a ³						
