COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
5263-1	ɕ ɯ ⁴⁴								
452-1	t ɯ ²¹								
4342-1	t ɯ ²¹								
4344-1	ʈʂ ɯ ³¹								
5487-1	t ɯ ²¹								
1401-1	p i ³¹								
6496-1	ʈʂ ɯ ³¹								
1064-1	ɕ i ⁵⁵								
1065-1	ts i ³¹								
6617-1	t ɤ ²¹								
4367-1	t i ²¹								
4378-1	ɕ ɯ ³³								
4379-1	j i ⁵⁵								
3984-1	ɕ i ³³								
5086-1	ʈʂ ɤ ⁴⁴								
3333-1	ɕ i ⁴⁴								
2226-1	s a ³⁵								
2373-1	kʰ ɤ ³⁵								
2363-1	ɕ ɯ ³³								
672-1	ts ɯ ⁵⁵								
673-1	k ɯ ³¹								
2690-1	p i ²¹								
6337-1	p i ⁵⁵								
6319-1	ts i ³¹								
2617-1	ɕ ɯ ³³								
2066-1	ɕ ɯ ³³								
2094-1	ɕ ɯ ³³								
2096-1	k a ³⁵								
798-1	p i ⁵⁵								
6668-1	ɕ i ³³								
4028-1	t i ⁴⁴								
6555-1	kʰ w a ³⁵								
2281-1	k i ³⁵								
701-1	kʰ w a ³⁵								
628-1	s w a ⁵⁵								
3096-1	ts i ³³								
3021-1	ts ɯ ²¹								
2708-1	ɕ i ⁵⁵								
3462-1	k i ⁵⁵								
1932-1	ɕ i ³³								
6469-1	ɕ i ³³								
4454-1	j i ²¹								
4455-1	kʲ i ⁵⁵								
6926-1	n ɯ ⁵⁵								
6927-1	j i ²¹								
3916-1	m ɯ ³³								
6822-1	t ɲ ɯ ²¹								
5417-1	ts i ⁵⁵								
1959-1	ɕ ɯ ⁴⁴								
1960-1	t ɤ ²¹								
2899-1	ɕ i ²¹								
3651-1	ts i ³³								
811-1	k ɤ ²¹								
1633-1	m ɯ ²¹								
1775-1	k ɯ ²¹								
5801-1	kʰ ɤ ³⁵								
4769-1	ɕ ɯ ³¹								
3720-1	k i ⁵⁵								
6446-1	m ɯ ⁴⁴								
1255-1	p i ⁵⁵								
3595-1	j i ⁴⁴								
1600-1	p i ⁵⁵								
242-1	ts i ⁵⁵								
3739-1	k ɤ ²¹								
5984-1	ts ɯ ²¹								
838-1	ɕ i ⁵⁵								
839-1	t ɯ ²¹								
3149-1	j i ²¹								
2829-1	ʈʂ ɤ ⁴⁴								
4602-1	tɕ i ³¹								
5225-1	j ɯ ²¹								
3933-1	s ɤ ³⁵								
5763-1	ts ɯ ³³								
2134-1	ɕ i ⁵⁵								
5724-1	t ɯ ²¹								
5704-1	ts ɯ ³¹								
5705-1	kʰ w a ³⁵								
5037-1	tɕ i ³¹								
5038-1	t i ²¹								
4332-1	ts i ³³								
5447-1	ts ɯ ⁵⁵								
3702-1	ɕ ɯ ⁵⁵								
1549-1	ɕ i ³³								
2394-1	kʰ ɤ ³¹								
1-1	j i ⁴⁴								
2947-1	t ɯ ²¹								
4653-1	kʰ ɤ ³⁵								
4989-1	kʰ ɤ ³⁵								
3749-1	j i ⁴⁴								
3452-1	ts ɯ ⁵⁵								
598-1	ŋ ɯ ⁵⁵								
638-1	p ɯ ⁵⁵								
2819-1	p i ⁵⁵								
4477-1	kʰ w a ³⁵								
4487-1	ts ɯ ²¹								
4666-1	tɕ i ³¹								
5661-1	t i ²¹								
4923-1	ts e ³¹								
4913-1	k ɯ ²¹								
1143-1	m i ⁴⁴								
4864-1	ɕ ɯ ⁵⁵								
3184-1	ɕ ɯ ³³								
4591-1	ts ɯ ⁴²								
1431-1	ɕ ɯ ⁴⁴								
3323-1	kʲ i ⁵⁵								
6709-1	ts ɯ ²¹								
903-1	m ɯ ⁴²								
5098-1	t ɯ ²¹								
5994-1	k i ⁵⁵								
6971-1	s w a ⁵⁵								
763-1	ts ɯ ²¹								
691-1	s w a ⁵⁵								
1083-1	t ɤ ²¹								
1421-1	k ɤ ³⁵								
6699-1	t ɯ ²¹								
2628-1	ɕ ɯ ⁵⁵								
1696-1	x ɯ ⁴⁴								
6179-1	k ɤ ⁵⁵								
6180-1	ts ɯ ⁵⁵								
6658-1	ɕ i ³³								
1231-1	s ɤ ³⁵								
4265-1	p ɯ ⁵⁵								
2787-1	ts ɯ ²¹								
3247-1	ts i ⁵⁵								
252-1	t i ²¹								
6004-1	k ɯ ²¹								
4728-1	s ɤ ⁵⁵								
3843-1	kʰ w a ⁵⁵								
4965-1	ts ɯ ³¹								
5641-1	t ɤ ²¹								
3280-1	ɕ i ³¹								
1390-1	k ɤ ³⁵								
2156-1	kʰ w a ⁵⁵								
3433-1	ɕ i ³¹								
552-1	s a ²¹								
4845-1	ts i ³¹								
4846-1	t ɯ ²¹								
2292-1	m ɯ ⁵⁵								
6635-1	s j a ⁴²								
3994-1	t ɯ ²¹								
3031-1	ts ɯ ³³								
6078-1	ts ɯ ³³								
1644-1	t ɯ ²¹								
2435-1	j i ⁴⁴								
1676-1	s w a ³⁵								
6281-1	k ɤ ⁵⁵								
5915-1	ts ɯ ⁵⁵								
1560-1	ɕ i ³³								
575-1	t i ²¹								
5319-1	ɕ ɯ ⁴⁴								
2797-1	k i ⁵⁵								
6991-1	t ɤ ²¹								
3513-1	ts ɯ ²¹								
5205-1	ts ɯ ⁵⁵								
6109-1	ts ɯ ⁵⁵								
2056-1	m ɯ ²¹								
6099-1	k ɯ ³¹								
6119-1	p ɯ ⁵⁵								
1978-1	t w ɤ ³⁵								
3973-1	tɕ i ³¹								
2046-1	ɕ i ³³								
5622-1	s ɤ ⁵⁵								
648-1	ts ɯ ⁵⁵								
6789-1	p i ⁴²								
618-1	x ɯ ⁴⁴								
2384-1	m w a ²¹								
1124-1	k i ⁵⁵								
1125-1	tɕ ɯ ³¹								
4178-1	k i ³¹								
1686-1	k i ⁵⁵								
1495-1	ts ɯ ³³								
4090-1	ɕ i ⁵⁵								
4802-1	x ɯ ⁴⁴								
1764-1	ts ɯ ³³								
3270-1	m ɯ ⁴⁴								
1884-1	k ɤ ³⁵								
1203-1	k ɯ ³⁵								
6645-1	w i ⁵⁵								
608-1	k i ³¹								
2889-1	ts i ⁵⁵								
5350-1	tsʰ i ³¹								
6158-1	k i ³⁵								
4306-1	s ɤ ³¹								
4891-1	k ɯ ²¹								
6436-1	k i ²¹								
6213-1	ɕ ɯ ⁵⁵								
2320-1	ɕ i ⁴⁴								
5253-1	ɕ ɤ ⁴⁴								
5108-1	ts i ²¹								
4100-1	tɕ ɯ ³¹								
6018-1	ts ɯ ²¹								
1352-1	ŋ ɯ ²¹								
4228-1	p i ⁵⁵								
4247-1	tɕ i ⁵⁵								
75-1	ts ɯ ³³								
118-1	kʰ w a ³⁵								
2866-1	m ɯ ⁵⁵								
64-1	kʰ a ³⁵								
43-1	k i ³⁵								
128-1	ŋ ɯ ²¹								
7023-1	n ɯ ²¹								
7012-1	n i ⁵⁵								
4497-1	t i ²¹								
2928-1	tɕ i ³¹								
148-1	ʈʂ ɯ ³³								
1623-1	kʰ w a ³⁵								
2648-1	tʰ i ⁵⁵								
2649-1	ɕ ɯ ⁵⁵								
6242-1	j ɯ ²¹								
3943-1	s ɤ ³⁵								
1026-1	k i ⁵⁵								
6404-1	kʲ ɯ ²¹								
585-1	ʈʂ t ɤ ⁴⁴								
1731-1	j ɯ ²¹								
5510-1	ɕ i ⁵⁵								
5360-1	kʰ ɤ ³¹								
879-1	k i ³⁵								
880-1	ŋ i ⁴⁴								
271-1	p i ²¹								
3565-1	ɕ i ⁴⁴								
3896-1	m ɯ ⁵⁵								
3897-1	ts i ⁵⁵								
1816-1	ʈʂ ɤ ³¹								
3343-1	tɕ i ³¹								
1864-1	ɕ i ⁴⁴								
2026-1	m t a ²¹								
6223-1	ɕ ɯ ⁴⁴								
6224-1	m ɯ ²¹								
337-1	ʈʂ ɤ ⁴⁴								
4295-1	k a ³⁵								
384-1	ɕ i ⁵⁵								
385-1	ɕ ɯ ²¹								
869-1	k ɤ ⁴⁴								
2745-1	ɕ i ³³								
4690-1	kʰ w a ³⁵								
4423-1	ɕ ɔ ³³								
5380-1	s w a ⁴⁴								
4436-1	ts ɯ ²¹								
2519-1	ts e ³³								
4975-1	m a ⁴⁴								
4548-1	j ɯ ²¹								
4397-1	p i ²¹								
6203-1	ts i ²¹								
2689-1	t ɯ ²¹								
2599-1	t a ²¹								
2600-1	m a ⁵⁵								
1913-1	tɕ i ³¹								
1914-1	kʰ w a ³⁵								
1903-1	kʰ w a ³⁵								
6336-1	ts ɯ ³³								
473-1	ɯ ²¹								
4065-1	k a ³⁵								
6554-1	j i ²¹								
3114-1	ts i ⁴⁴								
4942-1	kʲ e ⁵⁵								
3615-1	t j a ⁴²								
4197-1	k e ³¹								
4198-1	ɲ i ²¹								
1474-1	j ɤ ³³								
6531-1	j ɯ ³¹								
4954-1	tʰ ɤ ⁵⁵								
4517-1	ʈʂ ɯ ³¹								
1173-1	j i ²¹								
6365-1	kʰ w a ³⁵								
6730-1	tɕ i ³¹								
6380-1	t ɯ ²¹								
924-1	m ɤ ²¹								
752-1	ts i ²¹								
4316-1	t a ²¹								
5181-1	n e ²¹								
5785-1	pʰ i ³¹								
4770-1	p i ³¹								
2755-1	t a ²¹								
1298-1	x ɤ ⁴⁴								
784-1	ts e ⁵⁵								
3596-1	t ɯ ²¹								
1799-1	tɕ i ³¹								
5007-1	p i ⁵⁵								
5465-1	v ɯ ³³								
170-1	k ɯ ³¹								
3150-1	t ɤ ³⁵								
3780-1	kʰ w a ³⁵								
1706-1	tɕ a ⁴²								
403-1	p i ²¹								
5329-1	kʲ e ³⁵								
1103-1	k ɤ ³¹								
1113-1	ts ɯ ³³								
232-1	ts i ⁵⁵								
5925-1	ts ɯ ⁴⁴								
5926-1	ts ɿ ³³								
5723-1	p i ⁵⁵								
3064-1	ts e ²¹								
3065-1	kʲ e ²¹								
3793-1	kʲ e ²¹								
4409-1	f ɤ ⁴⁴								
720-1	s a ⁵⁵								
721-1	kʰ w a ⁴⁴								
2266-1	kʰ ɤ ³¹								
5743-1	kʲ e ³¹								
2124-1	s w a ⁵⁵								
6947-1	t ɯ ²¹								
5448-1	ts i ²¹								
4016-1	m j a ⁴²								
5429-1	ts ɯ ³¹								
5813-1	ts e ²¹								
3813-1	ts e ⁵⁵								
3009-1	p ɯ ²¹								
4988-1	ɣ ɯ ²¹								
1153-1	m e ⁵⁵								
530-1	tsʰ ɯ ³³								
1854-1	j ɯ ³¹								
4812-1	ɣ ɯ ³¹								
3355-1	p i ⁵⁵								
6426-1	t ɯ ²¹								
5027-1	ɕ ɯ ³³								
4707-1	m a ³⁵								
3139-1	t ɤ ⁴⁴								
6595-1	p i ⁴⁴								
5243-1	k ɤ ⁴⁴								
5274-1	ts e ³³								
6578-1	t ɯ ²¹								
1612-1	ts ɯ ⁵⁵								
3183-1	ts e ²¹								
4559-1	ʈʂ ɤ ³¹								
4718-1	ts ɤ ⁴⁴								
2036-1	w e ⁴²								
3853-1	m i ⁵⁵								
3854-1	kʰ w a ⁵⁵								
4275-1	kʰ w a ³⁵								
6961-1	f ɤ ⁴²								
5651-1	k ɤ ³³								
5682-1	ts e ³³								
5118-1	ts e ⁵⁵								
1411-1	kʰ w a ³¹								
4507-1	k ɤ ³³								
4824-1	z ɯ ⁵⁵								
3246-1	n ɯ ²¹								
317-1	t j a ⁴²								
2215-1	m ɯ ²¹								
2016-1	kʲ e ⁵⁵								
2155-1	ts e ²¹								
3575-1	k a ³⁵								
3434-1	x w a ³⁵								
3168-1	s a ⁵⁵								
2291-1	p i ³¹								
6148-1	v i ³¹								
5058-1	kʰ w i ³¹								
6271-1	t j a ⁵⁵								
1483-1	ɲ a ⁴⁴								
5370-1	ts e ³³								
3684-1	t ɤ ⁴⁴								
3685-1	f ɤ ⁴⁴								
3664-1	v ɤ ³³								
440-1	p i ³¹								
5167-1	j ɯ ²¹								
6282-1	ɲ a ⁴⁴								
1380-1	ŋ ɛ ²¹								
3585-1	p i ³¹								
6992-1	ɲ a ⁴⁴								
5623-1	p i ³³								
1519-1	ɲ a ⁴⁴								
3385-1	ts e ⁵⁵								
2718-1	k ɤ ³³								
6300-1	m e ⁵⁵								
1496-1	ɲ a ⁴⁴								
5128-1	j i ²¹								
1885-1	t ɔ ³⁵								
3873-1	kʲ e ⁵⁵								
996-1	p i ⁵⁵								
997-1	j i ²¹								
1570-1	n ɯ ²¹								
5475-1	s w a ⁵⁵								
5017-1	ts e ²¹								
2330-1	ts ɯ ⁵⁵								
6252-1	ɕ ɯ ³³								
6253-1	kʲ e ³¹								
4216-1	j i ³¹								
1874-1	t j a ⁴²								
4227-1	e ⁵⁵								
4246-1	e ⁵⁵								
6028-1	e ⁵⁵								
95-1	ŋ i ³¹								
22-1	p i ²¹								
33-1	t ɯ ²¹								
6678-1	m ɤ ⁵⁵								
5263-2		f e ⁵⁵							
452-2		t ɯ ²¹							
4342-2		t ɯ ²¹							
4344-2		ts ɯ ³¹							
5487-2		t ɯ ²¹							
1401-2		p e ³¹							
6496-2		ts ɯ ³¹							
1064-2		j ĩ ⁵⁵							
1065-2		ts ɿ ³³							
6617-2		t ɔ ²¹							
4367-2		t ɔ̃ ²¹							
4378-2		ɕ i ⁵⁵							
4379-2		j ĩ ⁵⁵							
3984-2		ɕ u ³³							
5086-2		ts w ɔ̃ ⁴²							
3333-2		s e ⁵⁵							
2226-2		s a ã ⁴⁴							
2373-2		kʰ w ɔ ⁴⁴							
2363-2		ɕ u ⁵⁵							
672-2		ts ɯ ³¹							
673-2		k ɯ ³¹							
2690-2		p ɔ̃ ²¹							
6337-2		p e ⁵⁵							
6319-2		ts e ³¹							
2617-2		s ɯ ³³							
2066-2		s ɯ ³³							
2094-2		s ɯ ³³							
2096-2		kʰ w ã ⁴⁴							
798-2		p e ⁵⁵							
6668-2		ɕ ɿ ³³							
4028-2		t e ⁵⁵							
6555-2		kʰ w ã ⁴⁴							
2281-2		k e ⁵⁵							
701-2		kʰ w ã ⁴⁴							
628-2		s w ã ⁴⁴							
3096-2		ts ɿ ³³							
3021-2		ts ɿ ³¹							
2708-2		ɕ i ⁵⁵							
3462-2		k i ⁵⁵							
1932-2		z ɿ ⁵⁵							
6469-2		z ɿ ³¹							
4454-2		j ɯ ⁴⁴							
4455-2		k e ⁵⁵							
6926-2		j ɯ ⁵⁵							
6927-2		j ɯ ⁴⁴							
3916-2		m ɯ ³³							
6822-2		t j ɯ ²¹							
5417-2		ts ɿ ³³							
1959-2		x ɯ ³³							
1960-2		t w ɔ ²¹							
2899-2		x ɔ̃ ³³							
