COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d ɔ r															
1089-1	n a s ɔ															
1319-1	n a m o															
1398-1	s a m a n d iː															
1557-1	ŋ ɔ r̃ ɔ															
1626-1	j a w ɔ															
1840-1	tʃ a r̃ u															
2247-1	g ɔ															
4677-1	k ɔ r a a															
5162-1	j u n j a															
5406-1	g u n a															
359-1	k ɔ r a m															
1577-1	g ɔ r ɔ															
2196-1	w a r̃ a															
2230-1	z a ɔ															
2533-1	b u m d u															
3605-1	g u m d a															
3866-1	d a s u															
4553-1	g u r u s e															
4822-1	d u m b a															
5254-1	d u r a															
503-1	ŋ i r̃ ɛ j̃															
1356-1	j a r ɔ															
1881-1	n i m j															
3218-1	b u n i z a															
3372-1	j a m iː															
3718-1	ŋ a r̃ a															
4135-1	b a m o j															
4694-1	g u s j ɔ															
807-1	d u m b a															
2320-1	z u r a															
2476-1	k a s uː															
3719-1	j iː															
4081-1	d a m b n e															
4313-1	n u m e															
4460-1	s a r a															
5810-1	b u n r ɛ															
93-1	k oː															
260-1	b j n a e															
385-1	t ɔː m b ɛ j															
890-1	b o m b ɛ r o															
1336-1	t o s a															
1703-1	b a															
1769-1	d u m b a															
2162-1	ŋ a r u															
2635-1	n a															
3031-1	t a a															
4591-1	k e r o															
5301-1	b a r u															
5605-1	z u r̃ ɔ j̃															
463-1	d o m b o															
1432-1	t a r u															
1474-1	d a b ɔ															
1788-1	s a m u															
2044-1	d a m b ɛ															
2713-1	t u s b a n b a m i															
3219-1	z a s a															
3425-1	j a															
4184-1	n iː j															
4629-1	n iː m j ɔ															
4759-1	n o o i															
4904-1	n o m ɔ															
4960-1	g i s a m e															
4980-1	t i u															
5059-1	k a r a															
5339-1	g a w a															
5549-1	z a r m i															
5905-1	ŋ a r u															
5922-1	b ɔ a															
5938-1	ŋ i nː ɔ nː u s iː															
1-1	k a															
483-1	g o s u															
629-1	z i s u															
667-1	u r a															
1254-1	n i m r i r̃ ɛ															
1415-1	n m e															
1542-1	n n o r															
1683-1	s u m ɔ															
1898-1	k ɔː r ɛ j															
2901-1	t a m a															
2957-1	g u n d e															
3048-1	p i n iː															
3251-1	j a m a															
3885-1	z a r a															
4402-1	j o															
5622-1	b ɛ r̃ i j ɛ ɛ															
6006-1	b i r iː															
135-1	g e n d a															
158-1	n̩ d i s ɛ															
194-1	g o j															
221-1	ɛ s u															
650-1	b oː s oː															
