COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
2-1	i ³⁵																		
4-1	tɕʰ i ⁵⁵																		
5-1	ʈʂ a ŋ ⁵¹																		
6-1	s a n ⁵⁵																		
7-1	ʂ a ŋ ⁵¹																		
8-1	ɕ j a ⁵¹																		
9-1	p ou ⁵⁵																		
17-1	ʈʂ u ŋ ⁵⁵																		
31-1	tɕ j ou ²¹⁴																		
32-1	j e ²¹⁴																		
33-1	ʐ ou ²¹⁴																		
38-1	ə ⁵¹																		
40-1	y n n ³⁵																		
42-1	u ²¹⁴																		
43-1	tɕ i ŋ ²¹⁴																		
46-1	w a ŋ ³⁵																		
52-1	l j a ŋ ⁵¹																		
53-1	ʐ ə n ³⁵																		
56-1	tɕ i n ⁵⁵																		
59-1	tʰ a ⁵⁵																		
60-1	ʈʂ a ŋ ⁵¹																		
64-1	l i ŋ ⁵¹																		
68-1	tɕ j a n ⁵¹																		
85-1	w ei ⁵¹																		
86-1	t i ⁵⁵																		
87-1	ʈʂ u ⁵¹																		
93-1	n i ²¹⁴																		
98-1	l ai ³⁵																		
109-1	ɕ i n ⁵¹																		
115-1	t au ²¹⁴																		
118-1	tɕ j e ⁵¹																		
124-1	tɕ j a ²¹⁴																		
127-1	ts w ⁵¹ ⁵¹																		
133-1	tʰ ou ⁵⁵																		
144-1	ʂ a ²¹⁴																		
161-1	ɕ y ŋ ⁵⁵ ⁵⁵																		
166-1	k w a ŋ ⁵⁵																		
170-1	ə ³⁵																		
171-1	tʰ u ⁵¹																		
173-1	ʐ ou ⁵¹																		
174-1	n w ei ⁵¹																		
175-1	tɕʰ ɥ a n ³⁵																		
176-1	l j a ŋ ²¹⁴																		
177-1	p a ⁵⁵																		
179-1	l ou ⁵¹ ⁵¹																		
181-1	p i ŋ ⁵⁵																		
182-1	tɕʰ i ³⁵																		
189-1	k w a n ⁵⁵																		
191-1	t u ŋ ⁵⁵																		
193-1	l ə ŋ ²¹⁴																		
198-1	t ə ŋ ⁵¹																		
199-1	ɕ y ŋ ŋ ⁵⁵																		
200-1	ʈʂʰ u ⁵¹																		
202-1	t au ⁵⁵																		
205-1	f ə n ⁵⁵																		
206-1	tɕʰ j e ⁵⁵																		
209-1	x w a ⁵¹																		
211-1	ʈʂʰ u ⁵⁵																		
215-1	l i ⁵¹																		
216-1	k w a ⁵⁵																		
217-1	t au ⁵¹																		
219-1	ʂ w a ⁵⁵																		
220-1	tsʰ ɿ ⁵¹																		
225-1	tɕʰ j a n ³⁵																		
230-1	tɕ j a n ²¹⁴																		
234-1	pʰ i ²¹⁴																		
238-1	l i ⁵¹																		
242-1	ts u ⁵¹																		
253-1	tɕʰ i n ³⁵																		
256-1	ʂ au ³⁵																		
261-1	x w a ⁵¹																		
262-1	p ai ²¹⁴																		
263-1	ʂ ʅ ³⁵																		
264-1	tɕ j a ŋ ⁵¹																		
271-1	ʂ ʅ ³⁵																		
272-1	tɕʰ j a n ⁵⁵																		
274-1	u ²¹⁴																		
275-1	p a n ⁵¹																		
279-1	n a n ³⁵																		
287-1	l w n n ²¹⁴																		
291-1	x ou ⁵¹																		
295-1	tɕʰ y ⁵¹																		
300-1	j ou ²¹⁴																		
303-1	tɕʰ y ²¹⁴																		
306-1	kʰ ou ²¹⁴																		
307-1	k u ²¹⁴																		
308-1	tɕ y ⁵¹																		
312-1	tɕ j au ⁵¹																		
313-1	kʰ ɤ ²¹⁴																		
314-1	tʰ ai ³⁵																		
323-1	m i ŋ ³⁵																		
325-1	tʰ u ²¹⁴																		
330-1	f ou ²¹⁴																		
334-1	ɕ i ⁵¹																		
335-1	ʈʂʰ w ei ⁵⁵																		
338-1	k au ⁵¹																		
339-1	ʈʂ ou ⁵⁵																		
341-1	x u ⁵⁵																		
342-1	m i ŋ ⁵¹																		
343-1	x w ³⁵ ³⁵																		
344-1	j au ²¹⁴																		
349-1	kʰ u ²¹⁴																		
353-1	ʈʂʰ a ŋ ⁵¹																		
360-1	x ou ³⁵																		
375-1	ts w ei ²¹⁴																		
388-1	s ɿ ⁵¹																		
389-1	x w ei ³⁵																		
392-1	kʰ w ə n ⁵¹																		
394-1	tɕ ɥ a n ⁵¹																		
401-1	tʰ u ²¹⁴																		
402-1	ts ai ⁵¹																		
403-1	t i ⁵¹																		
409-1	ts w o ⁵¹																		
418-1	m ai ³⁵																		
441-1	tʰ j a n ³⁵																		
443-1	m u ⁵¹																		
459-1	w ai ⁵¹																		
460-1	t w o																		
461-1	j e ⁵¹																		
464-1	t a ⁵¹																		
465-1	tʰ j a n ⁵⁵																		
466-1	tʰ ai ⁵¹																		
467-1	f u ⁵⁵																		
469-1	ʂ ʅ ⁵⁵																		
480-1	n y ²¹⁴																		
482-1	n ai ²¹⁴																		
484-1	x au ²¹⁴																		
491-1	m ei ⁵¹																		
492-1	tɕʰ i ⁵⁵																		
495-1	tɕ j e ²¹⁴																		
496-1	k u ⁵⁵																		
507-1	n j a ŋ ³⁵																		
509-1	tɕʰ y ²¹⁴																		
510-1	pʰ o ³⁵																		
513-1	ɕ i ⁵¹																		
518-1	s au ²¹⁴																		
525-1	ts ɿ ²¹⁴																		
527-1	y n ⁵¹																		
533-1	x ai ³⁵																		
548-1	kʰ ai ²¹⁴																		
554-1	x ai ⁵¹																		
558-1	ʐ ŋ ŋ ³⁵																		
564-1	f u ⁵¹																		
580-1	ʂ ɤ ⁵¹																		
587-1	ɕ j au ²¹⁴																		
588-1	ʂ au ²¹⁴																		
589-1	tɕ j a n ⁵⁵																		
594-1	ʈʂʰ ʅ ²¹⁴																		
602-1	u ⁵¹																		
604-1	ʂ ʅ ²¹⁴																		
611-1	ʂ a n ⁵⁵																		
630-1	ts w o																		
637-1	tɕ i n ⁵⁵																		
638-1	ʂ ʅ ⁵¹																		
639-1	p u ⁵¹																		
644-1	ʈʂ ou ²¹⁴																		
648-1	ɕ i ³⁵																		
652-1	m au ⁵¹																		
657-1	k a n ⁵⁵																		
658-1	pʰ i ŋ ³⁵																		
659-1	n j a n ³⁵																		
665-1	ʈʂʰ w a ³⁵ ³⁵																		
692-1	k u ŋ ⁵⁵																		
696-1	t i ⁵¹																		
707-1	i ŋ ²¹⁴																		
719-1	t ei ⁵⁵																		
727-1	ɕ i n ⁵⁵																		
732-1	w a ŋ ⁵¹																		
733-1	m a ŋ ³⁵																		
735-1	kʰ w ai ⁵¹																		
740-1	pʰ a ⁵¹																		
773-1	ɕ j a ŋ ²¹⁴																		
788-1	m a n ⁵¹																		
808-1	ʈʂʰ ə ŋ ³⁵																		
809-1	ŋ o ²¹⁴																		
816-1	t ai ⁵¹																		
818-1	f a ŋ ³⁵																		
821-1	ʂ a ⁵¹ ⁵¹																		
822-1	ʂ ou ²¹⁴																		
826-1	t a ²¹⁴																		
829-1	kʰ ou ⁵¹																		
841-1	ʈʂ w a ⁵⁵																		
845-1	ʈʂ ɤ ²¹⁴																		
848-1	p au ⁵¹																		
858-1	pʰ ai ²¹⁴																		
862-1	tʰ w o ⁵⁵																		
869-1	tɕʰ ɥ a n ³⁵																		
874-1	ʈʂ ʅ ²¹⁴																		
876-1	tʰ j au ⁵⁵																		
883-1	ʈʂ w o																		
894-1	t j au ⁵¹																		
903-1	tɕ j e ³⁵																		
905-1	tʰ w ei ⁵⁵																		
910-1	tʰ i ³⁵																		
911-1	ʈʂʰ a ⁵⁵																		
926-1	p a n ⁵⁵																		
934-1	m o ⁵⁵																		
968-1	ʂ ou ⁵⁵																		
970-1	k ai ²¹⁴																		
982-1	k a n ²¹⁴																		
986-1	tɕʰ j au ⁵⁵																		
997-1	tɕ i n ⁵⁵																		
998-1	f u ²¹⁴																		
1001-1	ɕ i n ⁵⁵																		
1003-1	f a ŋ ⁵⁵																		
1005-1	pʰ a ŋ ³⁵																		
1008-1	ts ou ³⁵																		
2-2		i ²⁴																	
4-2		tsʰ i ²⁴																	
5-2		ʈʂ a n ⁵⁵																	
6-2		s a n ³³																	
7-2		ʂ a ŋ ⁵⁵																	
8-2		ɕ j ²¹																	
9-2		p ɤu ²⁴																	
17-2		ʈʂ o ŋ ³³																	
31-2		tɕ j ɤu ⁴¹																	
32-2		j e ⁴¹																	
33-2		ʐ y ⁴¹																	
38-2		ɤ ⁵⁵																	
40-2		y n n																	
42-2		u ⁴¹																	
43-2		ts i n ⁴¹																	
46-2		w a n ¹³																	
52-2		n j a n ⁵⁵																	
53-2		ʐ ə n ¹³																	
56-2		tɕ i n ³³																	
59-2		tʰ a ³³																	
60-2		ʈʂ a n ⁵⁵																	
64-2		n i n ⁵⁵																	
68-2		tɕ ieː ²¹																	
85-2		w ei ²¹																	
86-2		t i ³³																	
87-2		ʈʂ y ⁵⁵																	
93-2		ɲ i ⁴¹																	
98-2		n ai ¹³																	
109-2		s i n ⁵⁵																	
115-2		t au ⁴¹																	
118-2		ts j e ⁵⁵																	
124-2		tɕ j ⁴¹																	
127-2		ts o ⁵⁵																	
133-2		tʰ ɤu ³³																	
144-2		s a ⁴¹																	
161-2		ɕ j o ŋ ³³																	
166-2		k w a n ³³																	
170-2		ɤ ¹³																	
171-2		tʰ ɤu ⁵⁵																	
173-2		ʐ ɤu ²⁴																	
174-2		n ei ²¹ ⁵⁵																	
175-2		ts yeː ¹³																	
176-2		n j a n ⁴¹																	
177-2		p a ²⁴																	
179-2		n j ɤu																	
181-2		p i n ³³																	
182-2		tɕ i ¹³																	
189-2		k oː a																	
191-2		t o ŋ ³³																	
193-2		n ə n ⁴¹																	
198-2		t ə n ⁵⁵																	
199-2		ɕ j o ŋ ³³																	
200-2		ʈʂʰ y ²⁴																	
202-2		t au ³³																	
205-2		f ə n ³³																	
206-2		tɕʰ j e ²⁴																	
209-2		x a a ⁵⁵																	
211-2		ʈʂʰ ɤu ³³																	
215-2		n i ⁵⁵																	
216-2		k w a ²⁴																	
217-2		t au ⁵⁵																	
219-2		s ɥ a ²⁴																	
220-2		tsʰ ɿ ⁵⁵																	
225-2		tɕʰ ieː ¹³																	
230-2		ts ieː ⁴¹																	
234-2		pʰ i ²⁴																	
238-2		n i ²⁴																	
242-2		ts ɤu ⁵⁵																	
253-2		tɕʰ i n ¹³																	
256-2		ɕ o ²⁴																	
261-2		x w a ⁵⁵																	
262-2		p ɤ ²⁴																	
263-2		ʂ ʅ ¹³																	
264-2		ts j a n ²¹																	
271-2		ʂ ʅ ²⁴																	
272-2		tɕʰ ieː ³³																	
274-2		u ⁴¹																	
275-2		p a n ⁵⁵																	
279-2		n a n ¹³																	
287-2		n oː n																	
291-2		x ɤu ²¹																	
295-2		tɕʰ y ⁵⁵																	
300-2		j ɤu ⁴¹																	
303-2		tsʰ y ⁴¹																	
306-2		kʰ ɤu ⁴¹																	
307-2		k u ⁴¹																	
308-2		tɕ y ⁵⁵																	
312-2		tɕ j au ⁵⁵																	
313-2		kʰ o ⁴¹																	
314-2		t ai ¹³																	
323-2		m i n ¹³																	
325-2		tʰ ɤu ⁴¹																	
330-2		f ɤu ⁴¹																	
334-2		ɕ i ²⁴																	
335-2		ʈʂʰ ɥ ³³ ³³																	
338-2		k au ⁵⁵																	
339-2		ʈʂ ɤu ³³																	
341-2		f u ³³																	
342-2		m i n ⁵⁵																	
343-2		f o ¹³																	
344-2		j au ⁴¹																	
349-2		kʰ u ²⁴																	
353-2		ʈʂʰ a ŋ ⁵⁵																	
360-2		x ɤu ¹³																	
375-2		ts ɥ ⁴¹																	
388-2		s ɿ ⁵⁵																	
389-2		f ei ei ¹³																	
392-2		kʰ w ə n ⁵⁵																	
394-2		tɕ yeː ⁵⁵																	
401-2		tʰ ɤu ⁴¹																	
402-2		ts ai ²¹																	
403-2		t i ²¹																	
409-2		ts o ²¹																	
418-2		m ai ¹³																	
441-2		t ieː ¹³																	
443-2		m o ⁵⁵																	
459-2		w ai ⁵⁵																	
460-2		t o ³³																	
461-2		j e ⁵⁵																	
464-2		t a ⁵⁵																	
465-2		tʰ ieː ³³																	
466-2		tʰ ai ⁵⁵																	
467-2		f u ³³																	
469-2		s ʅ ²⁴																	
480-2		ɲ y ⁴¹																	
482-2		n ai ⁴¹																	
484-2		x au ⁴¹																	
491-2		m ei ⁵⁵																	
492-2		tsʰ i ³³																	
495-2		ts j e ⁴¹																	
496-2		k u ³³																	
507-2		ɲ j a n ¹³																	
509-2		tsʰ y ⁴¹																	
510-2		p o ¹³																	
513-2		s y ⁵⁵																	
518-2		s au ⁴¹																	
525-2		ts ɿ ⁴¹																	
527-2		y n ⁵⁵																	
533-2		x ai ¹³																	
548-2		kʰ ɤ ²⁴																	
554-2		x ai ²¹																	
558-2		j o ŋ ¹³																	
564-2		f u ⁵⁵																	
580-2		ʂ ɤ ²¹																	
587-2		s j au ⁴¹																	
588-2		s au ⁴¹																	
589-2		ts ieː ³³																	
594-2		ʈʂʰ ʅ ²⁴																	
602-2		u ²⁴																	
604-2		s ʅ ⁴¹																	
611-2		s a n ³³																	
630-2		ts o ⁴¹																	
637-2		tɕ i n ³³																	
638-2		ʂ ʅ ²¹																	
639-2		p u ⁵⁵																	
644-2		ʈʂ ɤu ⁴¹																	
648-2		ɕ i ²⁴																	
652-2		m au ⁵⁵																	
657-2		k a n ³³																	
658-2		p i n ¹³																	
659-2		ɲ ieː ¹³																	
665-2		ts ɥ a ¹³																	
692-2		k o ŋ ³³																	
696-2		t i ²¹																	
707-2		i n ⁴¹																	
719-2		t ɤ ²⁴																	
727-2		s i n ³³																	
732-2		w a n ²¹																	
733-2		m a n ¹³																	
735-2		kʰ w ai ⁵⁵																	
740-2		pʰ a ⁵⁵																	
773-2		s j a n ⁴¹																	
788-2		m a n ⁵⁵																	
808-2		ʂ ə n ¹³																	
809-2		ŋ o ⁴¹																	
816-2		t ai ⁵⁵																	
818-2		f a n ¹³																	
821-2		s a n ⁵⁵																	
822-2		ʂ ɤu ⁴¹																	
826-2		t a ⁴¹																	
829-2		kʰ ɤu ⁵⁵																	
841-2		ts ɥ ³³ ³³																	
