ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	German	h au t	h au t -	52
2	Latin	k u t i	k u t i	52
3	English	g o	g o	59
4	German	g eː	g eː	59
5	English	ə r θ	ə r θ -	66
6	German	eː r d ə	eː r d ə	66
7	French	t ɛ r	t ɛ r -	67
8	Latin	t e rː a	t e rː a	67
9	English	k o l d	k o l d	72
10	German	k a l t	k a l t	72
11	French	f r w a d	f r - w a d -	73
12	Latin	f r iː g i d o	f r iː g i d o	73
13	Albanian	m e	m e -	92
14	German	m i t	m i t	92
15	French	ɛ̃ t ɛ s t ɛ̃	ɛ̃ - t ɛ s t - - ɛ̃	100
16	Latin	i n t e s t iː n o	i n t e s t iː n o	100
17	French	k ø	k ø - -	123
18	Latin	k au d a	k au d a	123
19	English	s p l ɪi t	s p - l ɪi t	149
20	German	ʃ p a l t	ʃ p a l - t	149
21	French	f ɑ̃ d	f ɑ̃ - d -	150
22	Latin	f i n d e	f i n d e	150
23	English	s w ɪ m	s w ɪ m	155
24	German	ʃ v i m	ʃ v i m	155
25	Albanian	n o t o	n o t o	158
26	Latin	n aː	n aː - -	158
27	English	k au n t	k au n t -	162
28	French	k ɔ̃ t e	k ɔ̃ - t e	162
29	Albanian	n u m ə r u a r	n u m ə r u a r	164
30	Latin	n u m e r aː	n u m e r - aː -	164
31	English	g ʊ d	g ʊ d	167
32	German	g uː t	g uː t	167
33	French	b ɔ n	b ɔ n -	168
34	Latin	b o n o	b o n o	168
35	English	w ai d	w ai d	181
36	German	v ai t	v ai t	181
37	Albanian	m a ð	m a ð - -	198
38	Latin	m a g n o	m a g n o	198
39	English	b r ɛ s t	b r ɛ s t	205
40	German	b r u s t	b r u s t	205
41	English	f ɔ l	f ɔ l	220
42	German	f a l	f a l	220
43	English	d e	d e -	238
44	German	t aː g	t aː g	238
45	French	ʒ u r	ʒ u - r	239
46	Latin	d i eː	d i eː -	239
47	French	m œ r	m œ r -	257
48	Latin	m o r iː	m o r iː	257
49	French	m ɔ v ɛ z	m ɔ v ɛ z	278
50	Latin	m a l o	m a l o -	278
51	English	k l ɔ	k l ɔ -	301
52	German	k l au ə	k l au ə	301
53	French	f l ø v	f l ø v - -	309
54	Latin	f l uː m i n	f l uː m i n	309
55	French	m a r i	m a r i - -	321
56	Latin	m a r iː t o	m a r iː t o	321
57	Albanian	s e p s e	s e p s e	336
58	French	p a r s	p a r s -	336
59	English	o l d	o l d	342
60	German	a l t	a l t	342
61	French	a r b r	a r b - r	348
62	Latin	a r b o s	a r b o s	348
63	Albanian	d r u r	d r u r	349
64	English	t r i	t r i -	349
65	English	f r i z	f r i z	373
66	German	f r iː r	f r iː r	373
67	French	ʒ ɛ l e	ʒ ɛ l e	374
68	Latin	g e l aː	g e l aː	374
69	English	h ɛ r	h ɛ r	379
70	German	h aː r	h aː r	379
71	French	ʃ ə v ø	ʃ ə v ø - -	380
72	Latin	k a p i lː o	k a p i lː o	380
73	French	v w a	v - w a	386
74	Latin	w i d eː	w i d eː	386
75	English	g r i s	g r i s	391
76	French	g r ɛ s	g r ɛ s	391
77	English	s i	s i	397
78	German	z eː	z eː	397
79	French	m ɛ r	m ɛ r -	398
80	Latin	m a r e	m a r e	398
81	English	j ɪ r	j ɪ r	403
82	German	j aː r	j aː r	403
83	French	a n e	a n e	404
84	Latin	a nː o	a nː o	404
85	French	e k ɔ r s	e k ɔ r s - -	410
86	Latin	k o r t i k	- k o r t i k	410
87	French	f œ j	f œ j - -	427
88	Latin	f o l i o	f o l i o	427
89	English	s a n d	s a n d	442
