ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	German	h au t	h au t -	52
2	Latin	k u t i	k u t i	52
3	English	g o	g o	59
4	German	g eː	g eː	59
5	English	ə r θ	ə r θ -	66
6	German	eː r d ə	eː r d ə	66
7	French	t ɛ r	t ɛ r -	67
8	Latin	t e rː a	t e rː a	67
9	Albanian	m e	m e -	92
10	German	m i t	m i t	92
11	French	ɛ̃ t ɛ s t ɛ̃	ɛ̃ - t ɛ s t - - ɛ̃	100
12	Latin	i n t e s t iː n o	i n t e s t iː n o	100
13	French	k ø	k ø - -	123
14	Latin	k au d a	k au d a	123
15	English	s p l ɪi t	s p - l ɪi t	149
16	German	ʃ p a l t	ʃ p a l - t	149
17	French	f ɑ̃ d	f ɑ̃ - d -	150
18	Latin	f i n d e	f i n d e	150
19	English	s w ɪ m	s w ɪ m	155
20	German	ʃ v i m	ʃ v i m	155
21	Albanian	n o t o	n o t o	158
22	Latin	n aː	n aː - -	158
23	English	g ʊ d	g ʊ d	167
24	German	g uː t	g uː t	167
25	French	b ɔ n	b ɔ n -	168
26	Latin	b o n o	b o n o	168
27	English	w ai d	w ai d	181
28	German	v ai t	v ai t	181
29	English	f ɔ l	f ɔ l	220
30	German	f a l	f a l	220
31	French	m œ r	m œ r -	257
32	Latin	m o r iː	m o r iː	257
33	French	f l ø v	f l ø v - -	309
34	Latin	f l uː m i n	f l uː m i n	309
35	French	m a r i	m a r i - -	321
36	Latin	m a r iː t o	m a r iː t o	321
37	English	o l d	o l d	342
38	German	a l t	a l t	342
39	French	a r b r	a r b - r	348
40	Latin	a r b o s	a r b o s	348
41	Albanian	d r u r	d r u r	349
42	English	t r i	t r i -	349
43	English	f r i z	f r i z	373
44	German	f r iː r	f r iː r	373
45	French	ʒ ɛ l e	ʒ ɛ l e	374
46	Latin	g e l aː	g e l aː	374
47	English	h ɛ r	h ɛ r	379
48	German	h aː r	h aː r	379
49	French	ʃ ə v ø	ʃ ə v ø - -	380
50	Latin	k a p i lː o	k a p i lː o	380
51	French	v w a	v - w a	386
52	Latin	w i d eː	w i d eː	386
53	English	g r i s	g r i s	391
54	French	g r ɛ s	g r ɛ s	391
55	English	s i	s i	397
56	German	z eː	z eː	397
57	French	m ɛ r	m ɛ r -	398
58	Latin	m a r e	m a r e	398
59	English	j ɪ r	j ɪ r	403
60	German	j aː r	j aː r	403
61	French	a n e	a n e	404
62	Latin	a nː o	a nː o	404
63	French	f œ j	f œ j - -	427
64	Latin	f o l i o	f o l i o	427
65	English	s a n d	s a n d	442
66	German	z a n d	z a n d	442
67	Albanian	r ə r	- r ə r -	445
68	Latin	a r eː n a	a r eː n a	445
69	English	ai s	ai s	448
70	German	ai s	ai s	448
71	French	g l a s	g l a s - -	449
72	Latin	g l a k i eː	g l a k i eː	449
73	English	m u n	m u n -	454
74	German	m oː n d	m oː n d	454
75	French	l y n	l y n -	455
76	Latin	l uː n a	l uː n a	455
77	German	n eː b ə l	n eː b ə l -	466
78	Latin	n e b u l a	n e b u l a	466
79	French	k u t o	k u - t - o	486
80	Latin	k u l t r o	k u l t r o	486
81	English	w i	w i -	498
82	German	v iː r	v iː r	498
83	Albanian	f ə r k o	f ə r - k o	511
84	Latin	f r i k aː	f - r i k aː	511
85	English	h ɪ r	h ɪ r	520
86	German	h iː r	h iː r	520
87	French	o	o - -	528
88	Latin	a kʷ a	a kʷ a	528
89	English	w ai t	w ai t	532
90	German	v ai s	v ai s	532
91	French	p r ɛ s e	p r ɛ s e	548
92	Latin	p r e m e	p r e m e	548
