ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	Kayah	tʰ ɔ ³³	tʰ ɔ - ³³	1
2	Kayan	tʰ ə ⁵³	tʰ ə - ⁵³	1
3	Kayaw	tʰ ə ⁵⁵	tʰ ə - ⁵⁵	1
4	NorthernPao	tʰ ə̤ ŋ ³¹	tʰ ə̤ ŋ ³¹	1
5	NorthernPwo	tʰ ɑ̃ ⁵⁵	tʰ ɑ̃ - ⁵⁵	1
6	ProtoKaren	tʰ ə ɴ ⁵⁵	tʰ ə ɴ ⁵⁵	1
7	Kayah	kʰ l a ⁵⁵	kʰ l a ⁵⁵	6
8	Kayaw	kʰ l e ³³	kʰ l e ³³	6
9	ProtoKaren	kʰ l i ⁵⁵	kʰ l i ⁵⁵	6
10	WesternBwe	kʰ l e ³³	kʰ l e ³³	6
11	NorthernPwo	s u ³⁵	s u ³⁵	7
12	ProtoKaren	s u ⁵⁵	s u ⁵⁵	7
13	Kayan	k a ʔ ²¹	k a ʔ ²¹	8
14	NorthernPao	k a ʔ ⁴⁵	k a ʔ ⁴⁵	8
15	SouthernPao	k a ³³	k a - ³³	8
16	Kayah	l ɔ ³³	l ɔ - ³³	10
17	Kayan	l ɔ ʔ ³³	l ɔ ʔ ³³	10
18	Kayaw	l ə ³³	l ə - ³³	10
19	NorthernPao	l o ʔ ⁴⁵	l o ʔ ⁴⁵	10
20	NorthernPwo	l au ʔ ²¹	l au ʔ ²¹	10
21	ProtoKaren	l o ʔ̚ ⁵¹	l o ʔ̚ ⁵¹	10
22	SouthernPao	l u ʔ ⁴⁵	l u ʔ ⁴⁵	10
23	Kayaw	s u ¹¹	s u ¹¹	11
24	WesternBwe	θ u ³³	θ u ³³	11
25	Kayah	t ɛ ¹¹	t ɛ - ¹¹	14
26	NorthernPao	t a ʔ ²¹	t a ʔ ²¹	14
27	ProtoKaren	t ə ʔ̚ ⁰	t ə ʔ̚ ⁰	14
28	SouthernPao	t a ¹¹	t a - ¹¹	14
29	Kayah	kʰ u ¹¹	kʰ u ¹¹	17
30	Kayaw	kʰ u ³³	kʰ u ³³	17
31	NorthernPwo	kʰ u ⁵⁵	kʰ u ⁵⁵	17
32	ProtoKaren	kʰ o ⁵⁵	kʰ o ⁵⁵	17
33	NorthernPao	ʔ u ⁵⁵	ʔ u ⁵⁵	18
34	SouthernPao	ʔ a ⁵⁵	ʔ a ⁵⁵	18
35	NorthernPwo	x ɔ ⁵⁵	x ɔ ⁵⁵	19
36	WesternBwe	kʰ o ³³	kʰ o ³³	19
37	Kayah	tʰ ɛ ¹¹	tʰ ɛ - ¹¹	59
38	Kayan	tʰ a ŋ ¹¹	tʰ a ŋ ¹¹	59
39	NorthernPao	tʰ a ŋ ⁵⁵	tʰ a ŋ ⁵⁵	59
40	NorthernPwo	tʰ ɛ̃ ³³	tʰ ɛ̃ - ³³	59
41	ProtoKaren	tʰ a ŋ ¹¹	tʰ a ŋ ¹¹	59
42	SouthernPao	tʰ a ŋ ³³	tʰ a ŋ ³³	59
43	WesternBwe	tʰ a ³³	tʰ a - ³³	59
44	Kayah	pʰ e ¹¹	pʰ e ¹¹	72
45	Kayan	pʰ a ¹¹	pʰ a ¹¹	72
46	Kayaw	pʰ a ¹¹	pʰ a ¹¹	72
47	NorthernPao	pʰ a ⁵⁵	pʰ a ⁵⁵	72
48	ProtoKaren	pʰ a ¹¹	pʰ a ¹¹	72
49	SouthernPao	pʰ a ³³	pʰ a ³³	72
50	Kayah	kʰ j a ⁵⁵	kʰ j a - ⁵⁵	81
51	Kayan	kʰ i ʔ ⁴⁵	kʰ - i ʔ ⁴⁵	81
52	NorthernPao	kʰ j a ʔ ²¹	kʰ j a ʔ ²¹	81
53	NorthernPwo	k ai ʔ ⁴⁵	k - ai ʔ ⁴⁵	81
54	ProtoKaren	k j a ʔ̚ ⁵¹	k j a ʔ̚ ⁵¹	81
55	Kayah	w e ¹¹	- w e ¹¹	91
56	Kayan	h w a ¹¹	h w a ¹¹	91
57	NorthernPao	w a ⁵⁵	- w a ⁵⁵	91
58	NorthernPwo	w a ³³	- w a ³³	91
59	ProtoKaren	h w a ¹¹	h w a ¹¹	91
60	SouthernPao	w a ³³	- w a ³³	91
61	WesternBwe	h ɛ ³³	h - ɛ ³³	91
62	Kayan	kʰ a ŋ ⁵³	kʰ a ŋ - ⁵³	103
63	Kayaw	kʰ ɔ ⁵⁵	kʰ ɔ - - ⁵⁵	103
64	NorthernPao	kʰ a ŋ ɦ ³¹	kʰ a ŋ ɦ ³¹	103
65	NorthernPwo	kʰ ɛ̃ ³⁵	kʰ ɛ̃ - - ³⁵	103
66	ProtoKaren	kʰ a ŋ ⁵⁵	kʰ a ŋ - ⁵⁵	103
67	WesternBwe	kʰ a ⁵⁵	kʰ a - - ⁵⁵	103
68	Kayah	pʰ a ⁵⁵	pʰ a - ⁵⁵	138
69	Kayaw	pʰ e ³³	pʰ e - ³³	138
