COGID	Albanian	English	French	German	Latin
560-1	d				
438-1	d				
1222-1	ə				
353-1	p e				
201-1	n				
20-1	ə				
503-1	p e				
957-1	d				
728-1	n				
244-1	n m				
289-1	n				
911-1	r r				
724-1	d ə				
145-1	d i				
992-1	m				
1181-1	m				
741-1	p e				
1150-1	t				
585-1	n				
814-1	d ə				
916-1	d				
1079-1	d e				
630-1	r				
343-1	d t				
8-1	d s				
385-1	ʃ u				
683-1	k o i				
650-1	e				
612-1	f ə m				
871-1	ə r ð				
667-1	l i ð				
527-1	m y r				
499-1	n e				
1029-1	d e				
560-2		d o			
438-2		g r			
1222-2		o			
353-2		p s			
201-2		m a			
20-2		f ai r			
503-2		f o			
957-2		ə			
728-2		l a s			
244-2		n ɪ m			
289-2		n a s			
911-2		r i r			
724-2		r r			
145-2		t r			
992-2		ə			
706-2		k			
106-2		p a d			
741-2		ai o			
421-2		b l ə r			
227-2		f a t			
920-2		h o r			
1083-2		h o r			
1066-2		s			
1125-2		d			
1197-2		m ai r			
473-2		n			
284-2		n ɪ s			
661-2		n			
701-2		r e d			
315-2		r a n			
1169-2		s o l			
1150-2		s r r			
982-2		s ɪ			
987-2		s d			
1055-2		s i r			
1130-2		s ai			
433-2		s o			
625-2		r ɪ			
1186-2		g ɪ n			
416-2		w			
1233-2		w ɪ n			
884-2		w ɛ r			
1016-2		o i i			
952-2		s			
78-2		b l ɛ s			
514-2		b r a n			
116-2		t			
188-2		f r			
745-2		f a θ			
1100-2		f r a s			
47-2		r a			
111-2		l			
1061-2		ð a r			
24-2		n a f d			
232-2		n ə			
671-2		r a s d			
385-2		s d			
945-2		s ɪ m			
644-2		b			
1041-2		s r o			
492-2		ð ɪ n			
1209-2		g r			
527-2		w a t			
14-2		g o l v			
1-2		o l			
915-2		ɛ ð d			
271-2		ɑ ʃ			
560-3			v		
438-3			g r		
1222-3			a		
353-3			p s		
201-3			r		
20-3			o		
503-3			ɔ l		
957-3					
728-3			m a		
244-3			n ɛ s		
289-3			n s		
911-3			t ɛ r		
724-3			r r		
145-3			d		
992-3					
1181-3			m ə n		
706-3					
106-3			m e		
741-3			p s		
421-3			f l		
227-3			p		
920-3			m ɔ r		
1083-3			m ɔ r		
1066-3					
1125-3			r ɛ		
1197-3			m ɛ		
473-3			n		
284-3			n ɛ s		
661-3			n		
701-3			r		
315-3			r ɛ t		
1169-3			s		
1150-3			r		
982-3			s		
987-3			s		
1055-3			s ɛ o		
1130-3			s ɛ v		
433-3			s ɛ		
585-3			m		
625-3			t		
1186-3			d t		
814-3			f r r		
416-3			d		
1233-3			v ɑ̃ t		
884-3			v ɛ r		
916-3			t		
1016-3			o n t u		
952-3			d		
514-3			r		
1079-3			v u		
1100-3			f r s		
47-3			m ɛ r		
111-3			l a		
1061-3			m ɔ t		
1155-3			ʃ k		
343-3			v ɔ t		
671-3			r ɛ s		
460-3			p u t		
8-3			f r		
644-3			s		
683-3			ʃ ə t		
650-3					
612-3			f ɑ̃ m		
871-3			r i		
1209-3			b ɔ t		
667-3			l o		
499-3			n		
14-3			g u		
1029-3			v ɔ		
272-3			s ɑ̃ t		
560-4				t a n	
438-4				r	
1222-4				eː	
353-4				m a	
201-4				m eː b	
20-4				f eː r	
503-4				f a l	
957-4				r	
728-4				l d	
244-4				n m	
289-4				n s	
911-4				r s	
724-4				d r	
145-4				t oː	
992-4				h r	
1181-4				m a n	
706-4					
106-4				m a n	
421-4				b l au d	
227-4				m a t	
920-4				h a r t	
1083-4				h a r n	
1066-4				r	
1125-4				n eː	
1197-4				m a n	
473-4				n eː	
284-4				n eː n	
661-4				a n	
701-4				r aː t	
315-4				r a n	
1169-4				ʃ a l	
1150-4				ʃ a r s	
982-4				z eː t	
987-4				ʃ eː d	
1055-4				ʃ t aː eː	
1130-4				z s	
433-4				ʃ a n	
585-4				n	
625-4				t n	
1186-4				t r n	
814-4				r	
416-4				v ai s	
1233-4				m eː n	
884-4				aː r m	
78-4				b l	
514-4				b ə r n	
116-4				t	
188-4				f a	
745-4				m a n d r	
1100-4				f r s	
630-4				g eː ʃ t	
1155-4				g a l	
24-4				n ai s	
232-4				n a	
671-4				r ai s	
460-4				m ə r	
8-4				g r t	
385-4				ʃ t	
945-4				z eː t	
1041-4				ʃ t a n d	
492-4				d eː n	
527-4				v ai s	
14-4				iː l eː	
1-4				a l	
915-4				a n d	
271-4				a ʃ	
560-5					d i n n
438-5					r
1222-5					
353-5					p i i
201-5					s i n
20-5					k a t e
503-5					p l aː
957-5					d eː
728-5					m a e
244-5					n r eː
289-5					n i
911-5					r
724-5					t r
145-5					d i
992-5					k o
1181-5					i eː a
706-5					l i
106-5					r o
741-5					p i o
421-5					f l o a
227-5					aː
920-5					m o r i
1083-5					d o r n
1066-5					i
1125-5					
1197-5					m a n
473-5					n a l o
284-5					n o
661-5					
701-5					t i
315-5					r n d
1169-5					s i l a
982-5					s i
987-5					s a
1055-5					s r l a
1130-5					s n
433-5					s i l a
585-5					t e
625-5					l e n
1186-5					d i n
814-5					f r r t
416-5					f a
1233-5					m i n
884-5					m i r
916-5					
1016-5					a n m l a
952-5					i
78-5					t i
1079-5					r i i
116-5					i
188-5					f o r
745-5					o n r a
47-5					m a n
111-5					l a k
1061-5					m a n n
630-5					e r a
1155-5					k r l
24-5					n o
232-5					n i
343-5					d i t e r
460-5					p a l iː
945-5					s e
644-5					k o
683-5					k a n t o
650-5					i aː l a
612-5					f e m a
1041-5					s i r
871-5					d r iː t e
492-5					i
1209-5					w o n
667-5					l a
499-5					n a
1029-5					w i
272-5					s a n t
