COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ n ə l			
2054-1	d ɔ n d ə r			
1375-1	l ɛ j k r t			
760-1	w ɪ n t			
756-1	s n aː j			
726-1	m oː d r			
1351-1	x r oː n s + p ɑ d r			
1353-1	x r oː s + m oː d r			
412-1	z x eː oː r + p ɑ d r			
406-1	z x eː oː r + m oː d r			
1005-1	s t iː p + p ɑ d r			
1012-1	s t iː p + m oː d r			
1016-1	w ɪ s w ə r + t t			
1069-1	b ɪ x			
509-1	v ʉ l ə			
693-1	m j ɑu l ə ə t ɪ r			
2179-1	n ɛ s t			
1753-1	v t ɪ x			
1131-1	w ɔ l f			
1198-1	b aː r			
2032-1	h ɑu r			
2241-1	n aː z			
2244-1	l ɪ p t			
610-1	k n iː			
945-1	h ɛ r t			
1534-1	l eː k ə			
384-1	z oː			
1650-1	n j oː			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ɛɪ j ə			
1385-1	z øː ə t			
792-1	p ɔ k			
1111-1	m ɑ s t			
197-1	z uː d			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r t			
1970-1	v ɔ l ə			
1230-1	j ɪ t + ə l			
2017-1	n j oː j t			
968-1	w eː j + t			
1674-1	l ɑ n t			
1671-1	h uː ɣ l			
829-1	k l ɪ p			
1025-1	w aː t ə r			
1027-1	z eː			
1832-1	r ɑu w			
-1816-1	oː p aː j aː n			
-335-1	l aː ɣ uː n			
1043-1	s t r ɔ m			
1469-2		s æ n d		
2047-2		s ɪ n		
2054-2		d ʌ n d ə r		
1375-2		l ɪ æ ɪ d		
760-2		w aɪ n d		
756-2		s n ɛ		
726-2		m d ə r		
1351-2		s r ɔ + p ð ə r		
1353-2		s r ɔ + m aʊ d ə r		
412-2		ə p ɑː ð ə r + ɪ n + l ɔː		
406-2		m aʊ d ə r + ɪ n + l ɔː		
1005-2		s t iː p + p ɑː ð ə r		
1012-2		t ɛ p + m aʊ d ə r		
1016-2		w ɪ ð uː n k r		
1069-2		ə ɪ k		
509-2		f ɪ l		
693-2		m l + n æ z		
2179-2		n ɛ s t		
1753-2		f ɪ s ɪ		
1131-2		w ʌ l v		
1198-2		b eɪ ə d		
2032-2		h ɔː r n		
2241-2		n ɔ s		
2244-2		l ɪ b j		
610-2		k ŋ n ɪ		
945-2		h æ r t		
1534-2		l ɛ k		
384-2		s ɪ		
1650-2		n ə ɛ t		
1663-2		s əʊ l t		
2279-2		l aɪ n		
471-2		s əʊ		
1385-2		s ʊ d k ɪ		
792-2		h ɪ k		
1111-2		m ɔ s ð		
197-2		s ɪ ð aʊ		
2020-2		l æ ŋ		
867-2		h aʊ n d ə r ɪ d		
1970-2		f ʌ l ɪ		
1230-2		d ŋ ə aɪ r d		
2017-2		n æ ɪ ɪ		
968-2		w ɛ l d		
1674-2		l æ n d		
1671-2		h ʌ v aʊ l		
829-2		k l ɪ v		
1025-2		w eɪ d ə r		
1027-2		s ɛ		
1832-2		r eɪ		
-1816-2		aʊ s əʊ n		
-335-2		l əʊ uː æ		
1043-2		s t r ʌ m		
1469-3			p ɔ ʀ	
2047-3			e ə ə ʀ i	
2054-3			t ɔ a b i	
1375-3			l ə ə b i t	
760-3			p ɔ t	
756-3			f ə u ʀ	
726-3			e t i	
1351-3			ɛ ʀ a ə ɛ v z ʀ	
1353-3			ɛ ʀ ə ɛ v z i	
412-3			ə ə ə ə ə ɛ ɛ ɛ t ə o o o o i i	
406-3			ə ə ə ə ə ɛ ɛ ɛ t ə o o o o i i	
1005-3			t ə ɛ v z ʀ	
1012-3			t ə ɛ v z i	
1016-3			ɛ t ə i ə o i i	
1069-3			ə u	
509-3			e ə l ʀ i	
693-3			ɛ ə l ə ə o i i	
2179-3			p ɔ t	
1753-3			e j ə ʀ i	
1131-3			p ɔ l i	
1198-3			b ɔ ə t i	
2032-3			ə ɔ u ʀ	
2241-3			v ə u i	
2244-3			l ə ə i i	
610-3			k b u i	
945-3			ə ɔ u ʀ	
1534-3			l ə ə i i	
384-3			e ə ə ʀ i	
1650-3			f b u t	
1663-3			p ɔ u ʀ	
2279-3			l a b i	
471-3			ə ə ə ʀ i	
1385-3			e t ʀ i	
792-3			ɔ u	
1111-3			p ɔ t	
197-3			e t ʀ i	
2020-3			l a	
867-3			ɛ ɛ t v i t	
1970-3			p ə l ʀ	
1230-3			t ɛ a t o i i	
2017-3			n ə ə i	
1469-4				z a n t
2047-4				z ʊ n n
2054-4				d ʊ n t ə r
1375-4				l ɪ n ɡ l t
