COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m ə																		
63-1	ʔ a tʼ ɨ m tʼ																		
107-1	g ə m ə l a																		
112-1	d ə b ə n a																		
331-1	n ɨ g u s																		
377-1	b ə kʼ l ə rː ə																		
381-1	ʔ a t ə d																		
417-1	r u j																		
451-1	s ə t ɨ ɲː a																		
454-1	ʔ a tʃʼ i r																		
484-1	s ɨ dː ɨ s t																		
535-1	ʔ a s ɨ r t																		
543-1	s ə t																		
593-1	ʔ a mː u s																		
640-1	m ə n a																		
1-1	d ə mː ə r ə																		
65-1	tʼ ɨ w																		
212-1	ʔ ə n																		
244-1	ʔ a r b ə t																		
248-1	m ə l a																		
293-1	f ə r ə z ə																		
373-1	kʼ ɨ m a l ə																		
408-1	b o r a r ai̯																		
414-1	tʼ ɨ b ə kʼ u l a																		
601-1	ʔ ə r o b ə																		
642-1	ʔ ɨ n f a s																		
60-1	n ə f ə s ə																		
115-1	l ʔ a l ə																		
209-1	s ɨ mː ə t																		
242-1	ʔ a mː ɨ s t																		
415-1	j ɨ n ə b a																		
450-1	j ə r																		
490-1	tʼ o b ə w ə																		
638-1	s ɨ nː ə																		
645-1	kʼ a l ə																		
160-1	tʼ ə r ə kʼ ə																		
208-1	ʔ ɨ n kʼ w ə																		
214-1	ʔ a b t																		
378-1	ʔ a n g ə t																		
379-1	j ə t ə ɲː ə																		
409-1	ʔ ə t ə r ə																		
598-1	k ə t																		
646-1	ʔ a k t																		
210-1	j ə h w a r ə																		
215-1	ʔ ɨ t ə b ə t																		
285-1	m ɨ tʼ a d																		
332-1	ʔ ə g r																		
380-1	ʔ ə h w a																		
412-1	s ə h a																		
64-1	d a b o																		
67-1	w ɨ r																		
251-1	f ə kʼ j ə																		
294-1	j ə kʼ ə kʼ ə																		
597-1	ʔ ə n ə d ə ɲː ə																		
7-1	ʔ a l g a																		
158-1	kʼ ə m ɨ s ə																		
372-1	ʔ ə n f ə r																		
374-1	b ə kʼː o l o																		
375-1	s ə b																		
411-1	t ə r a s ə																		
541-1	kʼ ə tʃʼ ɨ n																		
6-1	m ə r k a mː a																		
113-1	b u n o																		
330-1	kʼ ə l d																		
448-1	kʼ ə t a s ə t ə t																		
449-1	ʔ a ʃː ə m ə																		
491-1	d ɨ n g ə t																		
596-1	n ə g ə																		
4-1	g j ə ʃ ə																		
8-1	kʼ ə b ə t o																		
106-1	m ə tʼ a																		
290-1	ʔ a g ə z ə																		
489-1	b o r tʃʼ ɨ m a																		
602-1	m ɨ n																		
2-1	ʔ u lː ə m ə																		
3-1	ʔ ɨ nː ə																		
213-1	ʔ a r ə s ə																		
486-1	n ə tʼ ə kʼ ə																		
647-1	t ə t ə j ə																		
10-1	tʼ ɨ kʼ u r																		
110-1	tʼ a t ə j a																		
152-1	ʔ a d o																		
211-1	m ɨ s ə t																		
328-1	s ə dː ə b ə																		
333-1	m ɨ s i																		
334-1	ʔ a n b ə s a																		
410-1	kʼ a r j ə																		
540-1	l ə b a																		
109-1	tʃʼ ɨ n tʃʼ ə																		
153-1	w ə ʃː ə ʃː ə																		
250-1	w ə t																		
289-1	l ɨ b																		
326-1	m ə t																		
594-1	g ɨ j a																		
154-1	f ə rː ə s ə																		
245-1	kʼ ə w ə r ə																		
247-1	ʔ ɨ nː kʼ u r a r t																		
286-1	tʃʼ ɨ g ə r ə																		
643-1	g o m																		
62-1	f ə l a u																		
288-1	r ɨ ʔ ə s																		
416-1	kʼ ə h																		
5-1	g ə b s																		
61-2		d ɨ m																	
63-2		k a tʼ m																	
107-2		g a m ə l a																	
112-2		d ə m ə r a																	
331-2		n ɨ g u s																	
377-2		b ə kʼ l o r																	
381-2		k a t																	
417-2		r u z																	
451-2		s ə b ə t																	
454-2		k a rː ɨ r																	
484-2		s ɨ dː ɨ s t																	
535-2		k a sː ɨ r																	
543-2		s o sː t																	
593-2		k a m u s																	
640-2		m a n ə																	
1-2		d ə m ə r a l																	
65-2		tʼ ɨ w																	
163-2		s ə																	
212-2		ʔ a n																	
244-2		ʔ a r b a t																	
248-2		m ɨ l a																	
293-2		f ə r ə z																	
373-2		kʼ ɨ m a l																	
408-2		b o r a r ai̯																	
414-2		tʼ ə b a kʼ ɨ l a																	
642-2		n ɨ f a s																	
60-2		z ə f ə s a																	
115-2		l a m ə m																	
209-2		s ɨ m ə t																	
242-2		h a m ɨ s t																	
415-2		z ɨ n a b ə																	
450-2		z ə r																	
490-2		tʼ o w																	
645-2		kʼ a l e																	
160-2		tʼ a r ə kʼ a																	
208-2		ʔ ɨ n kʼ o l a																	
378-2		ʔ a n g ə t																	
379-2		z ə tʼ i																	
409-2		g e d ə r o																	
598-2		k ɨ l																	
646-2		k a t																	
210-2		z ə w o n a																	
215-2		tʼ ə b tʼ a b ə																	
285-2		m ɨ tʼ a d																	
380-2		k ə w a																	
412-2		s a h o																	
496-2		w ə r b ə n b ə t																	
64-2		d ə b o																	
251-2		f ɨ kʼ ɨ l																	
294-2		m o kʼ w a kʼ																	
597-2		ʔ ɨ n g a t																	
7-2		ʔ a l g a																	
158-2		kʼ ə m a s																	
296-2		w ɨ h a t																	
375-2		s ə b																	
541-2		kʼ d ə n																	
113-2		b ɨ n o																	
252-2		r ə kʼ b a b a																	
330-2		kʼ a l d																	
449-2		ʔ a ʃ ə																	
491-2		d ɨ n g ə t																	
545-2		w ɨ n o																	
596-2		n ə g ɨ																	
4-2		g ɨ n tʃː a																	
106-2		m ə tʼ a																	
254-2		dʒ ɨ m a t																	
290-2		ʔ a g ə z a																	
602-2		m ɨ n																	
2-2		k ɨ l u m																	
3-2		k ɨ n																	
213-2		h a r a sː i																	
486-2		r ə tʼ kʼ a kʼ																	
10-2		tʼ ɨ kʼ ɨ r																	
152-2		k a d o																	
211-2		m ɨ sː a t																	
328-2		s ə dː ə b a																	
333-2		m ɨ sː a r																	
334-2		k a n b ə sː a																	
540-2		l ɨ b a																	
109-2		g ɨ n tʃʼ o																	
250-2		w ə t																	
289-2		l ɨ b																	
326-2		m ə t																	
154-2		fː ə r ə s a																	
247-2		k ɨ n kʼ ɨ r a r t																	
286-2		tʃ ə g ə r a																	
418-2		b ə r b ə r i																	
416-2		kʼ a h																	
455-2		ʔ ɨ m a																	
456-2		k ə n s ə b a t																	
495-2		w																	
61-3			d ə m ə m																
63-3			ʔ a t																
107-3			g a m ə l a																
112-3			d ə m ə r a																
331-3			n ɨ g u s																
377-3			b ə kʼ l ə r																
381-3			ʔ a t ə t																
417-3			r u z																
451-3			s ə t																
454-3			ʔ a tʃʼ i r																
484-3			s ɨ dː ə s t																
535-3			ʔ a ʃ ə r																
543-3			s o s t																
593-3			ʔ a m u s																
640-3			m ə n a																
1-3			d ə mː ə r ə m																
65-3			tʼ uː b																
163-3			s ə t																
212-3			ʔ ə n																
244-3			ʔ a r b ə t																
248-3			m u l a																
293-3			f ə r ə z ə																
373-3			kʼ ɨ m a l ə																
408-3			b o r a r ə																
414-3			tʼ ɨ b a kʼ u l a																
601-3			ʔ a r b ə ʔ																
642-3			n ə f a s																
60-3			n ə f ə s ə																
115-3			l a n ə m																
209-3			s ɨ mː ə t																
242-3			ʔ a mː ə s t																
415-3			z ɨ n a b ə																
450-3			z ə r ə ʔ																
490-3			tʼ o b ə m ə																
638-3			s ɨ n ə ʔ a																
645-3			kʼ a l i																
75-3			ʔ a b t																
160-3			tʼ ə r ə kʼ a																
208-3			ʔ ɨ n kʼ o l u																
214-3			ʔ a b ə t																
218-3			ʔ ɨ z ə n																
378-3			ʔ a n g ə t																
379-3			z ə t ə ɲː ə																
409-3			ʔ a t ə r ə																
497-3			t ə n																
598-3			x e t																
646-3			ʔ a n t																
164-3			b ə s ə m ə																
210-3			z ə x																
215-3			ʔ a t ə b ə t																
256-3			t u mː ə																
285-3			m ɨ tʼ a d																
332-3			ʔ ə n g ə r																
380-3			ʔ a h u x																
412-3			s a h ə n																
496-3			w ə r b ə t ə																
64-3			d a b o																
67-3			w ɨ r																
