COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
5263-1	ts e ⁴⁴								
452-1	t ɤ ²¹								
4342-1	t ɤ ²¹								
4344-1	tsʰ i ³¹								
5487-1	t ɤ ²¹								
1401-1	p i ⁴⁴								
6496-1	tsʰ i ³¹								
1064-1	m a ³¹								
1065-1	ts ɯ ²¹								
6617-1	t ɤ ²¹								
4367-1	t ɔ ²¹								
4378-1	ɕ i ³³								
4379-1	m i ⁵⁵								
3984-1	ʂ ɯ ⁴⁴								
5086-1	ʈʂ ɤ ³³								
3333-1	f a ⁴⁴								
2226-1	s a ³⁵								
2373-1	k ɤ ²¹								
2363-1	ɕ ɔ ³⁵								
672-1	tsʰ ɛ ⁵⁵								
673-1	kʰ ɯ ³¹								
2690-1	p i ²¹								
6337-1	p i ²¹								
6319-1	ts e ⁴²								
2617-1	ʂ ɯ ⁴⁴								
2066-1	ʂ ɯ ⁴⁴								
2094-1	ʂ ɯ ⁴⁴								
2096-1	k ɤ ⁴⁴								
798-1	p i ²¹								
6668-1	ɕ u ³³								
4028-1	t e ⁴⁴								
6555-1	k w a ⁴⁴								
2281-1	kʲ u ³⁵								
701-1	k w a ⁴⁴								
628-1	s w a ⁴⁴								
3096-1	ts ɯ ⁵⁵								
3021-1	ts e ⁴²								
2708-1	ɕ i ³⁵								
3462-1	kʲ ɛ ³⁵								
1932-1	ɕ ɯ ⁴⁴								
6469-1	ɕ ɔ ³⁵								
4454-1	ɲ i ⁴⁴								
4455-1	kʲ ɛ ³⁵								
6926-1	ɲ i ⁴⁴								
6927-1	ɲ i ⁴⁴								
3916-1	m i ²¹								
6822-1	t ɲ i ⁴⁴								
5417-1	ts ɯ ⁵⁵								
1959-1	x ɯ ⁴⁴								
1960-1	t ɤ ²¹								
2899-1	x ɔ ³⁵								
3651-1	ts ɯ ²¹								
811-1	k ɤ ²¹								
1633-1	m i ²¹								
1775-1	kʲ ɛ ³⁵								
5801-1	k ɤ ⁴⁴								
4769-1	j ɔ ³¹								
3720-1	kʲ ɛ ³⁵								
6446-1	m i ⁵⁵								
1255-1	p ɛ ⁴⁴								
3595-1	ɲ i ⁴⁴								
1600-1	p i ²¹								
242-1	ts ɯ ⁵⁵								
3739-1	k ɤ ²¹								
5984-1	ts ɔ ⁴²								
838-1	ɕ ɔ ³⁵								
839-1	t ɔ ²¹								
3149-1	j i ⁴⁴								
2829-1	ʈʂ ɤ ³³								
4602-1	kʲʰ i ⁴⁴								
5225-1	j ɔ ²¹								
3933-1	s ɤ ⁴²								
5763-1	ts e ⁴²								
2134-1	ɕ i ⁵⁵								
5724-1	t ɔ ²¹								
5704-1	ts ɔ ⁴²								
5705-1	kʰ w a ⁴⁴								
5037-1	kʲʰ i ⁴⁴								
5038-1	t ɔ ²¹								
4332-1	ts ɯ ⁵⁵								
5447-1	ts ɛ ³⁵								
3702-1	ʂ ɯ ⁴⁴								
1549-1	ɕ ɯ ⁴⁴								
2394-1	k ɤ ²¹								
1-1	m ɛ ⁴²								
2947-1	t ɤ ²¹								
4653-1	k ɤ ⁴⁴								
4989-1	k ɤ ⁴⁴								
3749-1	j i ⁴⁴								
3452-1	ts ɛ ³⁵								
598-1	n a ⁵⁵								
638-1	pʰ i ⁵⁵								
2819-1	p i ²¹								
4477-1	kʰ w a ⁴⁴								
4487-1	ts e ⁴²								
4666-1	kʲʰ i ⁴⁴								
5661-1	t ɔ ⁴⁴								
4923-1	ts e ³⁵								
4913-1	p ɯ ²¹								
1143-1	m i ⁵⁵								
4864-1	ɕ ɔ ³⁵								
3184-1	ʂ ɯ ⁴⁴								
4591-1	ts e ⁴²								
1431-1	f ɛ ⁴⁴								
3323-1	kʲ ɛ ³⁵								
6709-1	ts ɯ ³¹								
903-1	m i ²¹								
5098-1	kʰ ɯ ³⁵								
5994-1	kʲ ɛ ³⁵								
6971-1	s w a ⁴⁴								
763-1	ts ɯ ³⁵								
691-1	s w a ⁴⁴								
1083-1	t ɤ ²¹								
1421-1	k ɤ ⁴⁴								
6699-1	t ɤ ²¹								
2628-1	ɕ ɔ ³⁵								
1696-1	x ɔ ³⁵								
6179-1	k ɤ ⁴⁴								
6180-1	ts ɯ ⁵⁵								
6658-1	ɕ i ⁴⁴								
1231-1	s ɤ ³³								
4265-1	kʰ ɯ ⁵⁵								
2787-1	ts ɔ ⁴²								
3247-1	ts ɯ ⁵⁵								
252-1	t ɔ ²¹								
6004-1	kʲ ɛ ³⁵								
4728-1	s a ³⁵								
3843-1	ŋ w a ⁴⁴								
4965-1	kʲʰ i ⁴⁴								
5641-1	t ɤ ²¹								
3280-1	ɕ ɔ ³⁵								
1390-1	k ɤ ⁴⁴								
2156-1	ŋ w a ⁴⁴								
3433-1	ɕ i ³⁵								
552-1	s a ⁵⁵								
4845-1	ts i ⁴⁴								
4846-1	t ɯ ²¹								
2292-1	m i ²¹								
6635-1	ɲ ɲ a ⁴⁴								
3994-1	t ɯ ²¹								
3031-1	ts ɔ ⁴²								
6078-1	ts ɯ ³³								
1644-1	t ɤ ²¹								
2435-1	ɲ i ⁴⁴								
1676-1	ŋ w a ⁴⁴								
6281-1	k ɤ ⁴⁴								
5915-1	tsʰ ɛ ⁵⁵								
1560-1	ɕ i ³³								
575-1	t ɔ ²¹								
5319-1	ʂ ɯ ⁴⁴								
2797-1	kʲ ɛ ³⁵								
6991-1	ʈʂ ɤ ²¹								
3513-1	ts ɔ ⁴²								
5205-1	tsʰ ɯ ³¹								
6109-1	tsʰ ɛ ⁵⁵								
2056-1	m i ²¹								
6099-1	kʰ ɛ ³⁵								
6119-1	p i ²¹								
1978-1	tsʰ w a ³³								
3973-1	kʲʰ i ⁴⁴								
2046-1	ɕ ɔ ³³								
5622-1	s a ⁵⁵								
648-1	ts ɛ ³⁵								
6789-1	p ɛ ⁴²								
618-1	ɣ ɯ ³³								
2384-1	m a ³³								
1124-1	kʲ ɛ ³⁵								
1125-1	kʲʰ i ³¹								
4178-1	kʰ u ³³								
1686-1	kʲ ɛ ³⁵								
1495-1	ts ɯ ⁵⁵								
4090-1	ɕ i ³⁵								
4802-1	x ɛ ⁵⁵								
1764-1	ʈʂʰ u ³³								
3270-1	m i ⁵⁵								
1884-1	k ɤ ⁴⁴								
1203-1	kʲ ɛ ³⁵								
6645-1	w e ³⁵								
608-1	kʰ u ³³								
2889-1	ts i ⁴⁴								
5350-1	tsʰ u ³¹								
