COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ w ə j			
2054-1	d oː n ə ə r			
1375-1	l ɪ k k t t			
760-1	w ɪ n t			
756-1	s w eː j			
726-1	m uː d ə r			
1351-1	k r ɑu n s aː d ə r			
1353-1	k r s m uː d ə r			
412-1	z w eː ɣ ə r + aː d ə r x x n s m m			
406-1	z w eː ɣ ə r + m uː d ə r x x n s m m			
1005-1	s t iː f aː d ə r			
1012-1	s t iː f m uː d ə r			
1016-1	w ɪ d w ə k r r m t			
1069-1	ɔ ɪ k			
509-1	v ɔ l ə			
693-1	m ɔ l s + r d iː r			
2179-1	n ɛ s t			
1753-1	v ɔ ɪ s x			
1131-1	w ɔ l f			
1198-1	b aː ɣ r t			
2032-1	h ɔ r			
2241-1	aː z			
2244-1	l ɪ p t ə			
610-1	k ɔ n ɛɪ			
945-1	h ɛ r t			
1534-1	l ɑ k ə			
384-1	z oː k ə			
1650-1	n ɔ ʉ s			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ɛ ɣ ə			
1385-1	z aː t n ə			
792-1	h ɔ k			
1111-1	m ɑ s			
197-1	z uː ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r ə t			
1970-1	v ɔ l ə			
1230-1	t r ə iː d + ə j			
2017-1	n ɔ ɑu j m			
968-1	w ɛ ɣ ə l t			
1674-1	l ɑ n t			
1671-1	h øː ɣ ə l			
829-1	k l ɪ p ə			
1025-1	w ɑ t ə r			
1027-1	z ɛ			
1832-1	r ɑu w			
-1816-1	ts eː j n			
-335-1	l ɑ ts ɔ n			
1043-1	s t r oː m			
423-1	s t eː n			
2049-1	m oː n t			
2062-1	s t uː r m			
2065-1	r aː ɣ ə ɣ b oː k			
1368-1	s x ɑ d ə			
1365-1	d ɔ ɑu w			
754-1	r eː ɣ ə ŋ			
768-1	w ɛ d ə r			
1211-1	v yː r			
106-1	m ɑ n			
-98-1	b eː v iː			
719-1	v aː d ə r			
1341-1	z oː n			
-2027-1	d ɛ n d			
-2026-1	n ɛɪ f ə ə			
409-1	z w eː ɣ ə r + z oː w x n t			
402-1	z w eː ɣ ə r + d ɔ x t ə r x x n s m m			
1014-1	s t iː f d ɔ x t ə r			
1059-1	w iː r			
120-1	s t ɛ l			
2183-1	s t iː r ə			
2194-1	oː ɣ t			
2199-1	k oː l p			
2197-1	s x aː f			
1523-1	z ɑu w			
1521-1	b ɔ x			
512-1	m eː r			
2141-1	h ɪ n			
2147-1	k eː n s			
814-1	ɣ r aː j ə			
810-1	d oː v			
1755-1	ɔ h ɔ n t			
1758-1	m oː s			
1760-1	r ɛɪ t			
1620-1	v ɪ n			
1282-1	w aː l x n t			
1136-1	v uː k s			
1309-1	l oː s			
1307-1	n ɪ t			
1305-1	v l oː			
711-1	w ɛ s p			
1442-1	v l ɛɪ ɣ ə			
62-1	m ɔ x			
-73-1	m oː s k iː d oː			
1810-1	h ɔ t			
1805-1	v l eː s			
1813-1	h aː j r			
1811-1	b l ɪ t			
690-1	r ɪ p ə			
2177-1	h ɔ p t			
246-1	d ɑu w k ə ɣ + b r oː j			
249-1	ə ɣ + l ɛɪ t			
1506-1	aː s x ə ɣ + ə l ɔ k t ə			
2242-1	m ɔ n t			
2245-1	t ɑu ŋ			
1196-1	n ɑ k ə			
2174-1	s x ʉ l d ə r			
575-1	aː ɣ t ə l + h ɔ			
603-1	l ə ɣ b oː k			
601-1	h ɑ n t			
615-1	v ɪ ŋ k ə r			
901-1	k l oː j			
608-1	v uː s			
596-1	t eː j ə			
937-1	b ɔ r s t			
936-1	aː v ə l			
646-1	l ɔ ŋ ə			
947-1	l ɑ v ə r			
1606-1	h ɔ f t			
472-1	ɔ n ɛɪ z ə			
1535-1	z w ɪ t ə			
1546-1	s p uː k ə			
1959-1	s l aː v ə			
694-1	s n ɑ r k ə			
1961-1	d r yː m ə			
323-1	ə ɔ l ɑ v ə ŋ			
1885-1	k r aː p			
2156-1	d r + k ɛ l t + t ɪ ŋ			
1903-1	w ɔ n d			
525-1	z w ɛ l ɪ ŋ			
276-1	l m t			
274-1	d oː p			
278-1	b l ɪ t			
258-1	b ɔ d r ɔ ŋ k ə			
256-1	n ɑ k ə t			
383-1	eː t ə			
207-1	r ɛɪ x			
376-1	d r ɪ ŋ k ə			
2009-1	v ə			
2003-1	k ɛ t ə l			
2024-1	p ɑ n			
1321-1	k aː p			
1976-1	t ɑ ŋ ə ə			
1243-1	m aː l ɛɪ t ɑ x ə m			
1265-1	p ə l x			
1261-1	z ɛɪ v ə			
655-1	b r oː t			
650-1	d eː x			
