COGID	Albanian	English	French	German	Latin
560-1	j ə				
438-1	r ə				
1222-1	m				
353-1	p e r ə u				
201-1	r ə o				
20-1	r r				
503-1	s e r				
957-1	r				
728-1	l y e				
244-1	n m ə				
289-1	n u v o				
911-1	r u ə r				
724-1	n ə r a r				
145-1	d u				
992-1	r				
1181-1	k ə n d				
741-1	p ə r				
1150-1	s ə r v i ʃ				
585-1	n i				
814-1	j u ə				
916-1	d o				
1079-1	n u ð				
630-1	r				
343-1	j u e r				
560-2		v ɪ n			
438-2		g r			
1222-2		p l			
353-2		p ʊ ʃ t			
201-2		s ɪ n o			
20-2		h ɪ d			
503-2		p l ɪ n			
957-2		v			
728-2		s ɪ n r			
244-2		v l m			
289-2		v o t t			
911-2		ə ʊ d t			
724-2		θ r i s			
145-2		v o			
992-2		h o n d			
706-2		p			
106-2		p ʊ t			
741-2		p t			
421-2		b l r m d			
227-2		p ʊ t			
920-2		h ɛ r i			
1083-2		h ɑ r n			
1066-2		j l			
1125-2		θ ɪ n			
1197-2		m au t			
473-2		s o			
284-2		n a n			
661-2		ə n			
701-2		s o n			
315-2		s au θ			
1169-2		s o l t			
1150-2		s r r d			
982-2		s ɪ			
987-2		s t a n d			
1055-2		s t ɪ r n			
1130-2		s i n			
433-2		s o n			
625-2		j au s o			
1186-2		m ɪ n			
416-2		w ɑ t d			
1233-2		θ ɪ n t			
884-2		v ɑ r m			
1016-2		s n ɑ m ə t t			
952-2		s t			
78-2		b l a n			
514-2		b r ɪ n			
116-2		ə s			
188-2		p l o n			
745-2		p a n ə			
1100-2		f r ɛ s t			
47-2		v m m l t			
111-2		j ɛ s			
1061-2		m au n t n			
24-2		θ ɪ n t			
232-2		n ɪ n			
671-2		θ au n t			
560-3			v ɔ		
438-3			g r		
1222-3			p ɛ		
353-3			p u t		
201-3			p u		
20-3			s ɛ t r		
503-3			p u		
957-3			ɛ̃		
728-3			v ɛ t		
244-3			n ɛ m		
289-3			n i		
911-3			p r r i		
724-3			t r		
145-3			d u		
992-3			v u		
1181-3			s ɑ̃ t		
706-3			ʒ		
106-3			p u r r		
741-3			p i		
421-3			p ɛ u		
227-3			p u		
920-3			v ɔ r		
1083-3			e ɔ r		
1066-3			ʒ n		
1125-3			ʒ ɛ		
1197-3			m i r		
473-3			n ɔ		
284-3			p ɛ r		
661-3			k n		
701-3			k u t r		
315-3			v i t		
1169-3			k u t		
1150-3			g r r		
982-3			k ɛ		
987-3			s		
1055-3			k		
1130-3			k ɛ t		
433-3			k u t		
585-3			t		
625-3			t y n		
1186-3			d ɑ̃ t		
814-3			v ɔ r		
416-3			v ɔ		
1233-3			v u t r		
884-3			v ɔ r		
916-3			p		
1016-3			ɛ̃ t r m i		
952-3			ʒ		
514-3			m r t		
1079-3			p ɑ̃ e		
1100-3			g r		
47-3			f ɔ ɔ m i		
111-3			l		
1061-3			m ɔ t e		
1155-3			k ɔ j		
343-3			v ɛ t s r		
671-3			k u		
560-4				t y n	
438-4				k r	
1222-4				m l eː	
353-4				ʃ aː ʃ ə n	
201-4				ʃ a n	
20-4				h a n	
503-4				ʃ l l n b	
957-4				h n	
728-4				l e n	
244-4				n eː b ə n	
289-4				n eː s	
911-4				ʃ a ts	
724-4				d r a ts	
145-4				h eː	
992-4				h oː	
1181-4				h au t eː	
706-4				ʃ ə	
106-4				h a n eː	
421-4				f l eː t	
227-4				ʃ l l	
920-4				h a s	
1083-4				h aː r n	
1066-4				ʃ s	
1125-4				d e n eː	
1197-4				m a t eː	
473-4				n b	
284-4				n eː	
661-4				h a n	
701-4				z aː t	
315-4				m a n d n	
1169-4				ʃ a l	
1150-4				ʃ a r s	
982-4				z aː n	
987-4				ʃ b eː s	
1055-4				ʃ t eː r	
1130-4				ʃ aː n	
433-4				z a n	
585-4				t oː	
625-4				t e n	
1186-4				n y n d	
814-4				k r b t	
416-4				h ai s	
1233-4				d y n d	
884-4				d eː r b	
78-4				ʃ l eː	
514-4				b eː s n	
116-4				ʃ s	
188-4				h aː r	
745-4				f aː n eː s	
1100-4				f r s s	
630-4				ʃ n ʃ t t	
1155-4				h n l l	
24-4				n ai s	
232-4				n au n	
671-4				r eː s ts	
560-5					w e n o
438-5					k l i
1222-5					k a o
353-5					p eː d i i
201-5					s e n u i
20-5					k a l e r
503-5					p l e
957-5					n e e i
728-5					k a n e i
244-5					n e m e n
289-5					n u
911-5					s a k e n a
724-5					t e r d i
145-5					d e o
992-5					k e
1181-5					k o n o
706-5					m e i
106-5					k eː r a
741-5					p i d a
421-5					k l a r e
227-5					k i o a
920-5					k u l i n
1083-5					k r e n u
1066-5					k e i
1125-5					k e n i
1197-5					m e r e
473-5					n u l i
284-5					n e
661-5					k e
701-5					s e m u
315-5					t e n e u
1169-5					s u l a
982-5					s e m e
987-5					s e aː
1055-5					s t e g i
1130-5					s e m e
433-5					s e n u i
585-5					t e r
625-5					t e n e i
1186-5					d e n e
814-5					w r r d e
416-5					k e d
1233-5					w e n u i
884-5					w e r m e
916-5					k
1016-5					a nː iː m e l
952-5					a eː
78-5					k e o e
1079-5					p i d eː
116-5					s o
188-5					k o n
745-5					t e u n i
47-5					k m o n e
111-5					l a k
1061-5					m e n d e u
630-5					n n u
1155-5					k u d a
24-5					n e e
232-5					n e n u
343-5					w i l o e eː n
