COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ n			
2054-1	d ɔ n n ə r			
1375-1	l ɪ k			
760-1	w ɪ n t			
756-1	s n aː			
726-1	m ɔ d ə r			
1351-1	x l ɛɪ n n ə aː d			
1353-1	x l ɛɪ n + m oː r			
412-1	v oː ɣ ə r + aː d ə			
406-1	s x oː ɣ ə r + n r			
1005-1	s t iː p ə v aː v ə r			
1012-1	s t eː p ə m oː r			
1016-1	w ɪ d iː r r			
1069-1	ɪ ə			
509-1	v ɑ l			
693-1	m oː l l			
2179-1	n eː s t			
1753-1	v ɪ s x			
1131-1	w ɔ l f			
1198-1	b aː r d			
2032-1	h ɔ r n			
2241-1	n aː z ə			
2244-1	l ɛɪ p ə			
610-1	k n ɛɪ			
945-1	h ɛ r			
1534-1	l ɛ k ə			
384-1	z oː k ə			
1650-1	n oː s			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ɛɪ			
471-1	z ɛɪ ə			
1385-1	z ɛɪ d ə			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z oː d ə			
2020-1	l ɑ t			
867-1	h ɔ n d ə r			
1970-1	v ɔ l			
1230-1	d r ɛɪ d			
2017-1	n ɑu ɛɪ			
968-1	w ɛ l d			
1674-1	l ɑ n d			
1671-1	h iː ɣ ə			
829-1	k l ɪ p ə			
1025-1	w ɑ s ə r			
1027-1	z aː x			
1832-1	r ɑu w ə			
-1816-1	h ɑ ɛɪ aː			
-335-1	l ɑ ɣ aː n			
1043-1	s t r r m			
423-1	s t eː n			
2049-1	m oː n			
2062-1	s t uː r m			
2065-1	r aː ɣ d aː b oː x ə			
1368-1	z ɑ d ə ɣ			
1365-1	d ɑu ɛɪ			
754-1	r aː ɣ ə			
768-1	w ɛ t ə r			
1211-1	v oː r r			
106-1	m ɑ n			
-98-1	b aː v ɛɪ			
719-1	v aː v ə r			
1341-1	z oː n			
-2027-1	w ɑ n			
-2026-1	n eː v l ɛɪ			
409-1	z oː iː ɣ ə r + z oː n			
402-1	s ɔ eː ɣ ə r s n + l t ə r			
1014-1	s t eː p + d ɔ x t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	h k s			
2199-1	k ɛ l p			
2197-1	d iː p			
1523-1	z oː x			
1521-1	b ɔ k			
512-1	m ɛ r aː j			
2141-1	h ɛ n			
2147-1	x ɑ n s			
814-1	k r ɛɪ			
810-1	d oː v ə			
1755-1	h ɔ n t			
1758-1	m eː s			
1760-1	d ɑ m			
1620-1	v ɪ n			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l ɛɪ s			
1307-1	n ɪ s ə			
1305-1	v l l x			
711-1	w ɛ s p			
1442-1	v l ɛɪ ɣ			
62-1	m ʉ x			
-73-1	m ɔ s k ɛɪ t x			
1810-1	h ɑu d ə			
1805-1	v l eː s x			
1813-1	h aː v			
1811-1	b l uː d ə			
690-1	r eː p ə			
2177-1	h ɑu p ə			
246-1	d x ə r ɛɪ b r			
249-1	d iː l n d ə ɛɪ t			
1506-1	n aː z ə n + l l			
2242-1	m ɔ n t			
2245-1	t ɔ ŋ			
1196-1	d ɑ k			
2174-1	s x l d ə r			
575-1	ɑ ɑ t ə l			
603-1	k l l x aː b oː x ə			
601-1	h ɑ n d			
615-1	v ɪ ŋ ə r ɛɪ			
901-1	k l l			
608-1	v ɔ s			
596-1	t aː x			
937-1	b r r s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ			
947-1	l aː v ə r			
1606-1	h ʉ p ə			
472-1	n iː + ə			
1535-1	s w ɪ t ə			
1546-1	s p ʉ s ə			
1959-1	s l aː p ə			
694-1	s n ɑ r			
1961-1	d r r m +			
323-1	l aː v ɪ			
1885-1	x r aː p x			
2156-1	k aː l k l t +			
1903-1	w oː n d ə			
525-1	z w ɛ l ɛɪ ɪ ŋ			
276-1	l aː m ɛɪ			
274-1	d eː p x			
278-1	b l ɪ n d			
258-1	b ə + d r r ɪ k			
256-1	n eː k d			
383-1	eː t ə			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k k			
2009-1	oː v ə			
2003-1	k eː t ə l			
2024-1	p ɑ n			
1321-1	k oː p			
1976-1	t ɑ ŋ			
1243-1	m aː l ɛɪ t			
1265-1	p iː l			
1261-1	z iː v ə			
655-1	b r ɑ d			
650-1	d iː k			
1532-1	k n d t ə			
-36-1	z ɔ p			
34-1	b oː n			
-1647-1	v ɛɪ ɣ			
-1615-1	v l l			
125-1	v ɑ t			
1659-1	h oː n ɛɪ			
1661-1	m eː l k k			
1676-1	b ɔ t ə r			
480-1	x ə + d r k k			
1466-1	k l ɛɪ d r ŋ			
2277-1	w ɔ l			
2271-1	v ə l t			
2293-1	l aː d ə r			
624-1	s p ɪ n ə			
628-1	s p ɪ n d ə l			
626-1	w iː v ə			
633-1	n aː d ə l			
1185-1	s uː s t ə r eː			
1179-1	h ɑu t			
2168-1	k oː m			
1952-1	d uː r			
899-1	l ɛɪ d ə r			
