COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m j ɛ ³						
4-1	l u ⁵						
18-1	m j a̰ ŋ ⁵						
19-1	n j ei ³						
44-1	d l u k ³						
50-1	j j a ŋ ³						
62-1	s a ³						
70-1	b j a n ³						
75-1	n j ɔ ³¹						
97-1	d tʃʰ a ŋ ³						
112-1	b ɔ ⁵						
122-1	n j ṵ k ³⁵						
127-1	kʰ j i ⁵						
132-1	d j a ³						
133-1	n j æ̰ ³						
135-1	n ɛ ³						
142-1	d z w i ⁵						
143-1	ŋ a ³¹						
149-1	j a ³						
152-1	ŋ a ³						
157-1	b ɛ ³¹						
183-1	j ɛ ⁵						
184-1	n a̰ ʔ ³						
185-1	tsʰ a m ³						
189-1	n j a ³¹						
192-1	n i ³						
195-1	n ɛ ³						
200-1	d j a ŋ ⁵						
216-1	d j a ŋ ³						
218-1	l u k ³						
225-1	s a ŋ ³						
235-1	kʰ j ei ³						
244-1	s j i ⁵						
253-1	m j i ³						
270-1	m j ei ³						
278-1	m j a̰ ŋ ³						
279-1	d j ³						
285-1	d j a m ³						
308-1	b ŋ ⁵						
322-1	m j ɔ ⁵						
325-1	kʰ j ɛ ³						
337-1	n j a ŋ ³						
341-1	d j ɔ ⁵						
347-1	d j u ʔ ⁵						
362-1	j i ³						
391-1	j a p ³¹						
394-1	m ɔ ʔ ³¹						
397-1	tʃʰ ei ³						
443-1	n j ɛ p ⁵						
460-1	s a ³						
463-1	j i ³						
464-1	j a ŋ ³						
473-1	s a m ³						
476-1	kʰ j ṵ k ³¹						
481-1	tsʰ a ³						
494-1	k j ⁵						
496-1	d j a ŋ ³						
516-1	j ei ³						
522-1	n ɔ ³¹						
523-1	d j ɛ ³						
524-1	n ɛ ³						
540-1	kʰ ɔ ⁵						
3-1	b j i ³						
6-1	k j ḭ ⁵						
7-1	t a ³						
20-1	n a p ³¹						
51-1	ŋ j a ³						
64-1	k j u ŋ ³						
65-1	k j ṵ ³						
66-1	d j ḭ ⁵						
71-1	j i ⁵						
72-1	ʔ ɛ ³						
76-1	b ɔ ⁵						
77-1	n j ɛ ³						
78-1	m i ³						
82-1	b j ɛ ŋ ³						
87-1	ŋ ɔ̰ ³						
93-1	l a m ³						
94-1	m j ei ŋ ³						
100-1	d w a ŋ ³						
116-1	d l ɔ ³						
119-1	j a ³						
124-1	b j ɛ ³						
136-1	l j i ⁵						
137-1	kʰ j j i ⁵						
144-1	s w a t ⁵						
145-1	d a ŋ ³						
146-1	m j ɛ ³						
150-1	d j ɔ ³¹						
154-1	m j i ⁵						
165-1	kʰ j a m ³						
166-1	d j ɔ ⁵						
169-1	d j ɛ ŋ ³						
170-1	d j ɔ ⁵						
171-1	j a ŋ ³						
174-1	l a m ³						
181-1	n j a ³¹						
193-1	b ɛ ³						
205-1	n a̰ ⁵						
206-1	m j i ³						
212-1	d tʃʰ a ³						
214-1	l a m ³						
217-1	j ɛ ⁵						
224-1	n j j i ⁵						
