COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u j u															
1089-1	n a															
1319-1	n ɔ															
1398-1	s u r u															
1557-1	dʒ i r e															
1626-1	a g a															
1840-1	t i r̃ u															
2247-1	k o															
4677-1	k u l e j															
5162-1	m i r̃ ɛ															
5406-1	t aː n d u															
359-1	dʒ a l a															
1577-1	dʒ i r e															
2196-1	n a l a															
2230-1	s u g e															
2533-1	b a r a															
3605-1	k a n d a															
3866-1	o s u															
4553-1	t a g a															
4822-1	k u m b o															
5254-1	d u l ɔ															
503-1	k i r̃ a															
1356-1	m a j a															
1881-1	n u m															
3218-1	p u s u															
3372-1	n a m a															
3718-1	a r a															
4135-1	b a r̃ u															
4694-1	g u s u															
807-1	k o m															
2320-1	k a ŋ															
2476-1	k u															
3719-1	m ɔ															
4081-1	d a m b a															
4313-1	n ɛ m															
4460-1	s ɔ j ɔ															
5810-1	p i l i															
93-1	d ɔː															
260-1	p e r e															
385-1	dʒ e m b ɛ															
890-1	a m b r u															
1336-1	t e g i															
1703-1	b a															
1769-1	t ɛ m b															
2162-1	b ɛ l ɛ															
2635-1	s ɔ															
3031-1	d ɛ g ɛ															
4591-1	t aː r a															
5301-1	p ɛ l u															
5605-1	t i m															
463-1	d u m b u															
1432-1	t a l u															
1474-1	t ɔ ŋ ɔ															
1788-1	s e															
2044-1	d i m b e															
2713-1	t m d ɛ															
3219-1	p aː s u															
3425-1	j u															
4184-1	n ɛ j i															
4629-1	n u ŋ															
4759-1	n j e															
4904-1	n u w a															
4960-1	dʒ i n a dʒ o															
4980-1	t ɔ															
5059-1	g u j o															
5339-1	p a g a															
5549-1	t a b a															
5905-1	t i r̃ u															
5922-1	b i r a															
5938-1	a d u n a															
1-1	p e															
483-1	g e s u															
629-1	d ɔ															
667-1	ɛ b ɛ															
1254-1	dʒ a d u															
1415-1	ɲ															
1542-1	n ɔ															
1683-1	s u j e															
1898-1	p u r̃ o															
2901-1	t u ŋ u															
2957-1	a d uː															
3048-1	b i j e															
3251-1	s a r̃ a															
3885-1	t ɔ r̃ ɔ															
4402-1	j i															
5622-1	p ɛ l i j e															
6006-1	p o r̃ o															
135-1	t u n d u															
158-1	m ɔ s u															
194-1	b ɛ															
221-1	ɛ s u															
650-1	b e s e															
1152-1	t ɔ b															
1374-1	k ɔ ŋ g ɔ															
1452-1	g aː r a															
1862-1	u s u															
2083-1	k a n															
2108-1	n a j															
2636-1	m e															
2924-1	p o r u															
2941-1	b i l u															
3405-1	ɛ m															
3751-1	p e j															
4066-1	g ɔ r̃ ɔ															
4535-1	s u g o															
4888-1	s a m a n															
5583-1	t a ŋ a															
5751-1	t j ɛ															
5981-1	a r̃ a															
114-1	d ɔ j ɛ															
851-1	k ɔ ŋ ɔ															
1941-1	k i l u															
2179-1	t d ɛ															
2351-1	p a b a															
2496-1	uː															
3482-1	m i s i d ɛ															
3497-1	n a r̃ a															
3588-1	k ɔ r ɔ															
4202-1	g o r o															
4293-1	dʒ ɔ b ɔ															
4921-1	s a m b e															
408-1	j a u															
545-1	i r u															
978-1	t o m															
1052-1	n a m b u															
1070-1	l u g o															
1942-1	j e															
2456-1	k ɔ r ɔ															
2514-1	d u s u															
2666-1	s u g e															
2817-1	a ŋ g aː															
3132-1	d u ŋ g u															
3300-1	e w a															
3976-1	s aː															
4152-1	k i r̃ a															
4361-1	t e g e															
4570-1	g ɔ j̃															
4648-1	j ɛ															
5318-1	d ɔ r ɔ															
5673-1	d u m b ɛ															
5887-1	j a r̃ a															
446-1	dʒ e ŋ g e o															
521-1	k oː dʒ o															
1108-1	k o j o															
1124-1	i l e															
1745-1	dʒ a j a															
1823-1	g o n̩ o															
2143-1	b a															
2265-1	u l ɔ															
2392-1	l o s u															
2579-1	d ɔ j															
2774-1	k a r̃ u															
3339-1	k a r a															
3550-1	i n i n															
4024-1	dʒ i b a															
4219-1	t e m b e															
4240-1	w e r u															
4259-1	g ɔ															
4738-1	g u n d a															
5197-1	e r u															
5447-1	g i s e															
5531-1	dʒ r̃ u															
5733-1	n u															
5828-1	j a r̃ a															
562-1	s u w s u															
998-1	e															
1022-1	p i l i															
1023-1	j ɛ															
1205-1	j e															
1275-1	t aː															
1578-1	u															
2063-1	i r ɛ															
2334-1	e s u															
2798-1	e r̃ a j															
3252-1	ɛ m b ɛ															
3463-1	i															
3683-1	k i r̃ b e															
3772-1	t uː a															
3790-1	g a															
4052-1	b a s a															
4220-1	k u															
4440-1	t u w															
4479-1	k o															
4711-1	j a r u															
4778-1	d a s u r u															
4821-1	k u															
4941-1	o j̃ ɛ															
5272-1	t e g u															
5423-1	ɔ s ɔ															
5424-1	k ɔ r ɔ															
563-1	s u w o															
613-1	m aː j															
684-1	ɲ a r̃															
742-1	dʒ a r a															
1204-1	k e r i															
1373-1	k u s ɛ															
1787-1	n ɛ															
1988-1	p ɛ n d ɛ															
2283-1	b ɛ r u															
2372-1	b e r i															
2441-1	n aː															
2598-1	j e j e															
2773-1	b a r m i															
3011-1	b a n a j															
3176-1	dʒ ɔ r ɔ															
3283-1	a r̃ a															
3318-1	n o n d i															
3658-1	d i															
3807-1	p u l e															
4037-1	s a n dʒ a															
4498-1	e r u															
4843-1	o r u m															
5078-1	p u r m															
5357-1	k															
5390-1	d u r o															
5790-1	ɔ r u															
21-1	d ɛ b a															
42-1	k i dʒ															
61-1	k ɛ n d ɛ															
239-1	t u m b u															
309-1	d i j a															
327-1	n i															
482-1	dʒ b s u															
594-1	u s u n u															
701-1	m ɛ															
909-1	j i															
928-1	o m b o															
1184-1	ɔː r ɔ															
715-2		d u j														
1089-2		n a														
1319-2		n ɔ														
1398-2		s u w u r̃ u														
1557-2		g i r o														
1626-2		w a g a														
1840-2		t i r̃ u														
2247-2		g oː														
4677-2		tʃ u l o														
5162-2		m i r̃ ɛ														
5406-2		t aː n d u														
359-2		tʃ a r a														
1577-2		g i r o														
2196-2		n a r̃ a														
2230-2		s u g o														
2533-2		b a r a														
3605-2		tʃ a l a														
3866-2		o s u														
4553-2		t aː g a														
4822-2		tʃ u m b o														
5254-2		d u l ɔ														
503-2		tʃ i r̃ a														
1356-2		m a j̃														
1881-2		n u m iː														
2084-2		j aː														
2420-2		tʃ u l ɔ														
3218-2		p ɔ s u														
3372-2		n a m a														
3718-2		a r a														
4135-2		b a r̃ u														
4694-2		g u s u														
807-2		tʃ ɔ m b iː														
2320-2		tʃ a ŋ ɔ														
2476-2		tʃ u g ɔ														
2842-2		d i g u														
4081-2		d a m b a														
4313-2		n ɛ m														
4460-2		s ɔ j ɔ														
5514-2		n ɛ n ɛ ɔ														
5810-2		p i l ɛː														
93-2		d ɔː														
260-2		p ɛ r ɛ														
385-2		d ɛ m b ɛ														
890-2		a m i r u														
1336-2		t e g i														
1703-2		b aː														
1769-2		t ɛ m b ɛ														
2162-2		b ɛː r ɛ														
2635-2		s o														
2735-2		d aː n a m														
3031-2		d ɛ g ɛ														
4591-2		t aː r a														
5301-2		p ɛː l u														
5605-2		t i m ɛ														
296-2		dʒ a m b a														
463-2		d u m b u														
762-2		b a n a tʃ u														
1432-2		t a r u														
1474-2		t ɔ ŋ ɔ														
1788-2		s e														
2044-2		d i m o														
2713-2		t m ɛː n														
