COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t t ʔ									
56-1	u m i									
96-1	a t a tʃ									
99-1	a t i r o n									
114-1	t o k i									
115-1	w e i tʃ									
133-1	t i p a a									
144-1	a w a w i									
150-1	k a w									
234-1	k o m									
236-1	p i k i n									
241-1	a w i n									
249-1	i tʃ e ʔ									
1-1	w a t a ʔ									
2-1	w w m									
65-1	i w									
74-1	p a n a									
106-1	t i n e									
128-1	p o k tʃ									
147-1	t i m i i									
231-1	p a n a o ʔ									
232-1	p i i i n o									
239-1	m a m a k a n									
266-1	i s i m									
51-1	o w i									
97-1	m a p o m									
109-1	u p i i i i									
121-1	k a p i a a k i u									
149-1	t o k									
160-1	k i r i k									
163-1	o p e n									
52-2		i t e								
56-2		o m e								
96-2		a t a s i								
99-2		a r i m e								
114-2		t u k i s i								
115-2		o j i s t								
133-2		t i p a a s s								
144-2		a r a w a s i								
150-2		k a w								
234-2		k o m								
236-2		p e k o i								
241-2		a w i n								
249-2		i p e								
74-2		p a i a								
93-2		t o p a r i s i								
95-2		w i k i s i								
106-2		t o n e s o								
119-2		j a t i i i								
128-2		h o k o s i								
147-2		t i m o s i								
231-2		p a a o n								
232-2		p i p j j o								
239-2		k a m a k a n								
266-2		j t i m								
51-2		i w e								
55-2		i e a m								
97-2		m a m o m s								
121-2		k a p i j a k s i								
163-2		o p e k								
52-3			k t i							
56-3			u m i							
96-3			a t a e							
99-3			a k i h o							
114-3			t o k i a							
115-3			u i i e e							
133-3			tʃ e p a a a tʃ							
144-3			a t a w a a m							
150-3			k a w							
234-3			k o m							
236-3			p i k u n							
241-3			a w e n							
249-3			e e i							
1-3			w a tʃ a							
2-3			t w m a							
65-3			e w o							
93-3			t o p a a i s							
95-3			w m k i							
106-3			t i n i j e							
119-3			k a t e tʃ e							
128-3			p o k a e m							
147-3			t i m i a e							
231-3			p a n a u o							
232-3			p p i e n o							
239-3			n a m a k a n							
266-3			e w i m							
3-3			t i a k k i							
4-3			w a i a							
55-3			e h a a m							
109-3			u p i i i s i							
121-3			k a p a w a k a m							
149-3			t o k							
160-3			k i r i k							
52-4				t t i						
56-4				u m						
96-4				a t a tʃ						
99-4				a i i r o						
114-4				t o k i tʃ						
115-4				w w tʃ tʃ						
133-4				t i p a a						
144-4				a u a w a						
150-4				k a w						
234-4				k o m						
236-4				p i k w n						
241-4				a w i n						
249-4				i tʃ w						
1-4				w a t a						
2-4				w m m						
65-4				i w						
74-4				p a n a						
93-4				t u p a r i tʃ						
95-4				w i t						
106-4				t w n w						
119-4				i j t i i tʃ						
128-4				p o k u tʃ						
147-4				t i m i i						
231-4				p a n a u o						
232-4				p i i e						
239-4				m a m a k a n						
266-4				i t i m						
3-4				a r k k o						
4-4				w a t i						
51-4				w w i						
97-4				m a p u m						
109-4				i p i ʒ̟ i i						
121-4				k a p i a a k						
149-4				t o k						
160-4				k i r i k						
163-4				u p i n						
52-5					e t w					
56-5					o m a					
96-5					a t a s i					
99-5					a r i m r					
114-5					t o k i s i					
115-5					y i i i s i					
133-5					t i p a r a s i					
144-5					w r a w a s i ʔ					
150-5					k a w					
234-5					k o m					
236-5					p i k o n					
241-5					a w i n					
249-5					i s w					
1-5					w a t a ʔ					
2-5					r a m i					
65-5					i w i					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					w y t i					
106-5					t e n i i					
119-5					j a t i i					
128-5					f o k i s i					
147-5					t i m i i					
239-5					n a m a k a n					
266-5					i t i m					
3-5					a i r k r o					
4-5					w a t i ʔ					
51-5					y w w ʔ					
55-5					i f a m					
97-5					m a p o m					
109-5					o p i j i s					
149-5					t o k					
160-5					k i r i k					
163-5					o p e n					
52-6						t t h a				
56-6						u m e i				
96-6						a t a n tʃ				
99-6						a r i a u				
114-6						t u k i tʃ				
115-6						u e tʃ i tʃ i				
133-6						t i p a a a tʃ i				
144-6						a u a w a tʃ tʃ i				
150-6						k a w				
234-6						k u m				
236-6						p u k u				
241-6						a w i				
249-6						i i a i				
1-6						w a t a				
2-6						w w i a				
65-6						i w e				
74-6						p a a				
93-6						t u p a r a tʃ i				
95-6						w e k e tʃ				
106-6						t u j u tʃ e				
119-6						e w t i i tʃ i				
128-6						h u k a tʃ e				
147-6						t i m i tʃ i				
231-6						p a a u a				
232-6						p w i e a				
239-6						j a m a k a				
266-6						i w m m tʃ				
3-6						w i r k k i				
4-6						w a t i e				
55-6						t h a m				
97-6						w a a u m a tʃ				
109-6						i p e a i tʃ e				
160-6						k i r i k				
52-7							t z e			
56-7							u m a			
96-7							a a a s			
99-7							a r i m			
114-7							t u k i			
115-7							u o i			
133-7							z i p a a			
144-7							a t a w a			
150-7							k a w			
234-7							k o m			
236-7							p e k u n			
241-7							a w i n			
249-7							i s a			
1-7							w a t a			
2-7							w a m			
65-7							i w			
74-7							p a n a			
93-7							z u p a r i			
95-7							w a k i			
106-7							t u d v			
119-7							t a t t			
128-7							i o k u s			
147-7							t i m i i			
231-7							p a n a u o			
232-7							p p i u p a			
266-7							i z i m			
3-7							a o t k m o			
4-7							w a t i n			
51-7							u w e			
55-7							i w a m n			
97-7							m a h u m			
109-7							i p e t i			
121-7							k a p a a a k			
149-7							t u k			
160-7							k i r i k d			
163-7							u p i n			
52-8								i t a		
56-8								u m a		
96-8								a r a s		
99-8								a r i a o		
114-8								t u k i s i		
115-8								v a i s s		
133-8								t i t r a s s		
144-8								a r a w a s		
150-8								k a i		
234-8								k o m		
236-8								t e k u n		
241-8								a w i n		
249-8								i s u		
1-8								i a t a		
2-8								w j m s		
65-8								i i		
74-8								t a n a		
93-8								t u t a r i s i		
95-8								w v t		
119-8								m m i t s		
231-8								t a n a w u		
232-8								u r u u o		
239-8								n a m a k a n		
3-8								w u r k k o		
4-8								i a r i p		
51-8								v w e		
55-8								i h a m a		
109-8								u t i m i s		
121-8								k a p i m k k i		
149-8								t u k		
163-8								u p e n		
52-9									i t i	
56-9									i m i	
96-9									a a a ʃ i	
99-9									a r i r e	
114-9									t o k i ʃ i	
115-9									w a i ʃ ʃ	
133-9									t i p a r a ʃ i	
144-9									a a a w a ʃ ʃ	
150-9									k a w	
234-9									k o m	
236-9									p i k i n	
241-9									a w i n	
249-9									i ʃ e	
1-9									w a t a	
2-9									w w m ʃ	
65-9									i w	
74-9									p a n a	
93-9									t o p a r i ʃ i	
95-9									w w k i ʃ i	
106-9									t i n e m	
119-9									j a t i i ʃ i	
128-9									h o k ʃ ʃ i	
147-9									t i m i ʃ i	
231-9									p a n a w o	
232-9									p i p i n	
239-9									n a k a k a n	
266-9									i a i m ʃ	
3-9									a r r k k u	
4-9									w a a i	
51-9									i w e	
55-9									i u a m	
97-9									m a u o m	
109-9									i p i a i ʃ	
121-9									k a p i j a k ʃ i	
149-9									t o k	
