COGID	1	10	2	3	4	5	6	7	8	9
2689-1	ɲ a m a									
893-1	a a n a									
1285-1	ŋ w a a									
1303-1	ŋ ɔ m a									
2197-1	z a l a									
2828-1	l ìì n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	n ɛ									
1789-1	k a l a a ŋ g a									
3207-1	b u l a									
3519-1	t ʊ m a									
3686-1	i m b a									
4249-1	k ʊ m i									
4451-1	β i s i									
448-1	n ɔ n i									
630-1	β ɛ ɛ l ɛ									
814-1	ŋ ɔ ɔ m b ɛ									
1216-1	g a β a									
1228-1	b w a a									
1418-1	z i m a									
1475-1	g w a									
2026-1	t w ɛ ɛ									
2775-1	β ʊ ʊ m b a									
3397-1	β ɔ l a									
3826-1	z ɔ k a									
4003-1	i β a									
4040-1	g ɛ n i									
4373-1	d i m i									
4384-1	i n ɔ									
84-1	g ʊ l ʊ̀									
116-1	ʃ i k a									
181-1	g ɔ ɔ ŋ g ɔ									
419-1	l ɔ g a									
587-1	ɔ ŋ g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	f u n a									
2689-2		ɲ a m a								
893-2		a a n á tʃ e								
1303-2		g o m a								
2197-2		s a l a								
2828-2		i n a								
3572-2		s o n i								
1095-2		d i m a								
1789-2		k a l a a ŋ g a								
3207-2		w u l a								
3519-2		t u m a								
3686-2		iː m b a								
4249-2		k u m i								
4451-2		v i s i								
448-2		j u n i								
630-2		v e e l e								
814-2		ŋ o o m b e								
1216-2		g a v a ɲ a								
1228-2		b w a								
1418-2		s i m a								
1475-2		g w a								
2026-2		t w e								
3826-2		dʒ o k a								
4003-2		iː v a								
4373-2		d i m i								
4384-2		i n o								
84-2		s u g u l u								
116-2		j i k a								
419-2		l o g a								
587-2		o o ŋ g o								
660-2		l e l a								
848-2		k á l a								
1122-2		v i n a								
2689-3			ɲ a m a							
893-3			a a n a							
1285-3			ɲ w a							
1303-3			ŋ o m a							
2197-3			dʒ a l a							
2828-3			s i n a							
3572-3			s o n i							
1095-3			l i m a							
1755-3			n e							
1789-3			x a l a a ŋ g a							
3207-3			f u l a							
3519-3			r u m a							
3686-3			i i m b a							
