COGID	1	10	2	3	4	5	6	7	8	9
32	ɔ s ɛ						o s e			
43	z i m u	s i i m u						d î m u		d i m ʊ
84	g ʊ l ʊ̀	s u g u l u			u l u		s u g u r u			ʊ l ʊ̀
93	k ɔ n ɔ	k o n o	x o n o				k o n o			
104	a a p a				a p a					
116	ʃ i k a	j i k a			f i k		f i k a		i k a	
134	s ɔ ɔ ŋ g a								s o ŋ g o	
143	β u u	w u					v u			
153	l ɔ ɔ m b a							r ɔ m b a		
181	g ɔ ɔ ŋ g ɔ		k o o ŋ g o				ɣ o ŋ g o	ɣ ɔ ŋ g ɔ	g o ŋ g o	
200	β i i		β i		β i				b i	
240	ɔ g a	o o g a							o g a	
251	ɔ g ɔ h a						o ɣ o h a			
263	l ɛ m a a l a		l e m a l a							
272	i g ʊ t a						i ɣ u t a			
303	p j a a				p j					
314	k a l a	l a g a l a								
346	k ʊ l a				k u l					
374	a a l w a a		l w a		a l w a					dʒ a l w a
388	n u m a	p a ɲ u m a					u m a			
401	d a		d a						d a	
419	l ɔ g a	l o g a	l o k a	l ɔ g ɔ			o ɣ a			
448	n ɔ n i	j u n i	ɲ u n i		u n i	n u n i				n ɔ ɲ á n i
459	l u m a	l u m a					u m a			l ʊ m a
483	p i			p i i						
508	h ɔ f u		β o f u		p o f u					f o f u
528	β i l i		β i l i		β i l i				b i l i	
575	t a a				t a		t a	t a		
587	ɔ ŋ g ɔ	o o ŋ g o	o o ŋ g o		o ŋ g o		o ŋ g o			
599	t a á m b i	dʒ a a m b i					t á m b i			
630	β ɛ ɛ l ɛ	v e e l e	β e e l e		β e e l e				b e l e	b ɛ l ɛ
649	l ɛ ɛ t a		l e e r a		l e e t					
660	l ɛ l a	l e l a	l e l a				r e r a	r ɛ r a		
720	dʒ i i k a						dʒ i k a			
755	g ʊ l a		k u l a						g ʊ l a	
814	ŋ ɔ ɔ m b ɛ	ŋ o o m b e			ŋ o m b e		ŋ o m b e	g o m b e	g o m b e	
823	m a l a		m a l a							
829	ʃ i l a						s i a			
836	s ʊ ʊ m b i						tʃ u m b i		s u m b i	
848	k a l a	k á l a			k á l aː		k á a	k a r a		
871	t a m a							t a m a	t á m a	r á m a
882	k u β a								k u b a	
893	a a n a	a a n á tʃ e	a a n a	a n a	a n a		a n a		a n a	a n a
904	l ɛ z u									l e d u
915	s a a g ʊ l a						s a ɣ u r a			
969	i z a	iː s a					z a			
994	d ɛ ɛ k a	t e l e k a						t e r e k a		
1006	n u u ŋ g ʊ							ɲ u ŋ g u	ʊ ŋ g ʊ	
1019	l a a m b ɔ		l a a m b o							
1032	k ɔ l ɔ l a		x o l o l a							χ ɔ tɬʰ ɔ l a
1043	β a l a		β a l a					v á r a		
1073	k i l a									tsʰ i l a
1083	l i l a		l i l a					l i r a	l i l a	l i l a
1095	l i m a	d i m a	l i m a		l i m		i m a		l i m a	l i m a
1110	t ɛ m a				t e m		t e m a			
1122	f u n a	v i n a		b i n a			v i n a			b i n a
1137	ʃ i k ʊ	s i k u	s u k u		ʃ i k u					
1159	ɲ a	ɲ a			ɲ		ɲ a	ɲ a		
1216	g a β a	g a v a ɲ a	k a β a	k a b a			ɣ a v a			a b a
1228	b w a a	b w a	b w a		b w a			b w a	b w a	
1263	d a h a				t á p		t á h a			
1273	l ɔ ɔ t a		l o o r a		l o o t					
1285	ŋ w a a		ɲ w a	ɲ w á a	n w		n w a	n w a	n w a	n w a
1303	ŋ ɔ m a	g o m a	ŋ o m a		ŋ o m a	g ɔ m	ŋ g o m a	g o m a	g o m a	
1329	i k a l a				i k a l		i k a a			
1339	t w i i			t w e e	t w i			t w i		
1350	l j a a	d j a	l j a		l j			l j a		
1362	g i i		k i				g i			
1374	n a á n ɛ	n s a a n á	n a a n e				n a n e		n á a n a	
1396	z ɔ v u		dʒ o f u		s o f u		z o v u	dʒ o v u		
1418	z i m a	s i m a	s i m i s j a		ʃ i m				z i m y a	t i m a
1430	i s ɔ			i s u	i n s o		i s o		i s o	
1453	g ɔ h ɛ						ɣ o h e			
1475	g w a	g w a	k w a			k w ɔ	g w a		g w a	
1486	k ʊ l ɛ									χ ʊ l ɛ
1529	ɔ ɔ j a a		o o j a							
1585	a a l a	a l a	a a l a					a r a		
1606	ɔ ɔ t ɔ	o o t o					o t o			
1617	i k ɔ				ʃ i k o			d î k o		
1629	k w i i	k w i					k w i			
1641	s ɔ ɔ m b a	s o o m b a								
1666	t a a n ɔ		r a a n o	t á n o				t á n o	t á n o	
1712	f u l ɔ		f u l o				f u o			f u l ɔ
1722	l ɔ ɔ n d a		l o o n d a							
1744	i β a						i v a a		i b a	
1755	n ɛ		n e	n a		n a	n e	i n e		n ɛ
1767	g ɔ k ɔ		g o x o	ts o ts o	k o k o				k o k o	
1789	k a l a a ŋ g a	k a l a a ŋ g a	x a l a a ŋ g a	k á l i ŋ g a			k á l a ŋ g a	k a ŋ g a	k á l a ŋ g a	
1800	k u m i i ŋ g a								k ʊ ŋ g a	
1814	m a n i i l a						m a ɲ i r a			
1849	d ɔ t a		tʰ o r a							
1872	p a a	p a			p			p a		
1895	dʒ a	dʒ a	tʃ a							
1906	i ŋ g i l a	iː n dʒ i l a	ŋ g i l a				i ŋ g i a		i ŋ g i l a	
1917	f u m a				f u m		f u m a			
1939	s ɔ g a								s o g a	
1957	g ʊ ʊ k ʊ		k u u k a							
1969	m a á m a				m a m a			a m a		
1980	k u u m b á t i l a								k u m b a r i l a	
1989	ʃ a						ʃ a ɣ a		s a g a	
2026	t w ɛ ɛ	t w e			t w e		t w i	t w e	t w e	
2037	g a t a						ŋ g á t a		k a r a	
2045	i g w a								u ŋ g w a	
2069	f i g a	v i g a								
2088	β i s a		β ìì x a				v i s a		b i s a	
2128	g ɛ ɛ m b ɛ						ɣ e m b e		e m b e	
2143	ʊ ʊ k i								u k i	
2166	n u u m b a	ɲ u u m b a					u m b a		u m b a	
2177	ŋ g a		ŋ g a				ŋ g a h i	ŋ g á p i	ŋ g a	
2186	g a n a						ɣ a n a		g a n a	
2197	z a l a	s a l a	dʒ a l a		s a l a		z a	dʒ á r a	z a l a	t ɬ a l a
2243	b i t i									pʰ i r i
2263	ɔ ŋ g ɛ dʒ a						o ŋ g e dʒ a			
2274	g a t i i						ɣ a t i			
2286	l a		l a		l a	l a				l a
2317	β ʊ β a		β u β a		f u β a			f u p a		f u f a
2334	f i g ɔ		b i k o				f i ɣ o		p i k ʊ̀	
2345	β ʊ l á g a	w u l a g a								
2393	m a n a		m a ɲ a				m a ɲ a		m e ɲ a	
2404	ɲ a a ɲ z a a	ɲ a á s a								
2419	s ɛ k a	s e k a			s e k		s e k a		s e k a	
2471	m ɔ s ɔ						m o s o			
2483	g ʊ l ʊ̀				u l u				g ʊ l ʊ̀	
2496	l a á m b a								l á m b a	
2537	l ɔ m ɔ				l o m o		o m o		l o m o	
2561	t i m a						t i m a			
2592	l ɔ l a	l o l a							l o l a	
2615	d a a		d a		d a					
2641	b ʊ ʊ p ʊ	p u u p u								
2665	i ŋ g i		i i ŋ g i				i ŋ g i		i ŋ g i	
2689	ɲ a m a	ɲ a m a	ɲ a m a	ɲ a m a	n a m a		ɲ a m a	a m a	ɲ a m a	n a m a
2700	g a a ŋ g a				a ŋ g a		ɣ a ŋ g a			
2738	β ɛ ɛ l ɛ		β e e l e		β e e l e				b e l e	
2750	ɛ ɛ z i	a s i	e e s i		e ʃ i				e z i	
2775	β ʊ ʊ m b a				β u m b		v u m b a	β u m b a	b ʊ m b a	b ʊ p a
2784	g ʊ l ʊ̀		k u l u	k u l i						
2797	l ɔ m ɔ						o m o			l o m ʊ̀
2807	s a a m a						s a m a			
2828	l ìì n a	i n a	s i n a		ʃ i n a		z i n a	d î n a	i n a	i n a
2872	k ɔ s i	k o s i			k o ʃ i				k o s i	
2884	p j a a	m p j a			p j a					
2893	z i k ʊ				ʃ i k u a			t î k u		s i χ ʊ
2904	k ɛ ɛ n d a a		k e e n d a				k e n d a			
2954	l u g ʊ l a	w u g u l a								
2972	z ɛ ɛ				s e		z e			
2997	g a a n z a	g a a s a					ɣ a n z a		k á s a	
3018	z i l a				ʃ i l a		z i a		z i l a	ts i l a
3030	l i p a				l i p				l i p a	
3075	g u l u β ɛ	g u l u v e							g ʊ l ʊ b e	k ʊ l ʊ b ɛ
3148	i t a	iː t a					i t a			
3160	l u t a			l u r a					l u r a	
3207	b u l a	w u l a	f u l a		f u l a			v u r a	b u l a	p u l a
3261	d ɛ t ɛ	t e t e			t e t e					
3275	k a á n a		k a a n a		k a a n		k á n a			χ á n a
3330	l j ɔ				l j oː					
3364	ɔ tʃ a						ʃ o t a	ʝ o t a		
3385	z i		s i						z i	
3397	β ɔ l a		β o l o		β o l	ɓ ɔ l			b o l a	b ɔ l a
3419	t ɛ ɛ				t e		t e			
3430	n u		u ɲ u				u ɲ u			
3441	s ɛ ɛ ŋ g a	s a a ŋ g a			s e ŋ g a		s a ŋ g a		s á ŋ g a	
3464	β ɔ n a	w o n a	β o n a				v o n a			b ɔ n a
3519	t ʊ m a	t u m a	r u m a		t u m		t u m a	t u m a		r ʊ m a
3550	s u m a						tʃ u m a			
3572	s ɔ n i	s o n i	s o n i	s ɔ n i	s o n i		s o n i	tʃ ô n i	s o n i	
3583	n ɔ ɔ l a	n oː l a					n o a			
3596	m ɔ ɔ g a	m oː g a								
3639	d i t i m a	t e t e m e l a	tʰ e r e m a				t e t e m a			t ɛ t ɛ s ɛ l a
3664	β ɛ g a		β e k a		β e a					
3675	l w i i l ɛ	l w e e l e	l w á a l e		l w e l e					
3686	i m b a	iː m b a	i i m b a	j e m b a	i m b		i m b a	ʝ î m b a		
3706	t a a n d a t ʊ				t a n d a		t á n d á t u			
3744	p i i				p i					
3756	s i i n z a		s ìì n dʒ a				s i n z a			
3826	z ɔ k a	dʒ o k a			s o k a		o k a	ʝ ô k a	z o k a	
3837	k ɔ l ɔ m a	k o l o m a					h o r o m a			
3865	s a s i				s á s e				s á s e	
3885	tʃ i m u				f u m o		tʃ u m o		s u m o	r u m ɔ
3903	t a á n d ʊ				t a n d a					
3970	n i n a								i nː a	
3981	i m a	iː m a	i i m a						i m a n a	ɛ m a
4003	i β a	iː v a	i i β a	j i b a			i v a		i b a	
4028	w ɛ				β w e		b w e	w e		
4040	g ɛ n i		k e n i		e n i		ɣ e n i	ɣ e n i	g e n i	
4091	ɔ ŋʰ a									a ɲ a
4112	g u β a						ɣ u v a			
4124	ʊ ʊ β a	u u v a								
4137	m i l a	m i l a	m i l a			m i l				
4170	p j a á g ʊ l a	p j a a dʒ i l a								
4192	β i i m b a	j i i m b a	β ìì m b a		f i m b		v i m b a			
4203	k i l a								k i l a	
4238	i i s ɔ z i	i s o s i			s o ʃ i				i s o z i	
4249	k ʊ m i	k u m i	x u m i		k u m i		k u m i	k u m i	k ʊ m i	
4260	s w a a		s w a		s w a			ʃ w a	s w a	
4282	t a á ŋ g ɔ		r a a ŋ g o							
4294	n ɔ ɔ t a							n ô t a		
4316	d á t ʊ	t a t u					t á t u	t á t u		
4350	l ɛ ɛ l ɔ ɔ	l e e l o	l e e l o		l e e l o				l e l o	
4373	d i m i	d i m i	l i m i		l i m i				l á m i	l i m i
4384	i n ɔ	i n o	i n o		i n o				i ɲ o	i n ɔ
4406	t i i				t i		t i			
4429	β a s a				p á s a		a z a		a s a	
4440	β i l i		β i l i					β i r i	b i l i	
4451	β i s i	v i s i	β i s i	b i s i			v i s i	β i ʃ u	b i s i	
4473	s u β a a l a								s ʊ b a l a	
4485	s u				s u			ʃ u	s ʊ̀	
4519	z w i i							ʝ w i		
4530	l ʊ k a				l u k			r u k a		
4552	i i n z i				i n ʃ i				n z i	
4574	z w a á l a	w a a l a	f w a a l a						b w á l a	
4593	k i i								k i	
4621	n a á n i	a n i					a n i			
4688	i i ŋ w ɛ		w e				w e	a n w e		
24			tʰ u x a		t u k					r ʊ χ a
278		v a	β a		β	ɓ a			b a	
351		n d a a n d a	tʰ a a n d a							
414			s i			s i				
542			β i l a		β i l a u k					b i l a
564			a a x a				h a k a		a g a	
722			s ìì x a		ʃ ìì k					
745			tʰ a x o		t á k o		t á k o	t a k o	t á k o	
780		v i l a a ŋ g a	l a a ŋ g a							
873			s a j a		s a j a					
884			f u β a		f u β a					
928			x o l o				k o l o	k ô r o		
1123			x i n a						m i n a	
1181			f w a		f w		f w a			
1241			p u u n d a		p u n d a		p u n d a			
1317			f u u m b i				v u m b i			
1496			f u r a							f u r a
1607			l i l o		l i l o					l i l ɔ
1929		b u s i	b u s i		b u ʃ i					
2157			i k a						e g a	
2167			n dʒ u							n̩ tɬ ʊ̀
2244		t u n u	u ɲ u							
2508		g o n a	k o n a							
2574			s i k e				z i ɣ e			
2798			n w a		n w a			n w a	n w a	
2852			x o f u				k u v u	k ô v u		
2894		l o	l o							
3045			o o β u l a							o b ʊ l a
3067		n d u	n tʰ u				n t u		n t ʊ̀	
3123			β j a a l a		β j á l					
3198			l o m a n a				o m a n a			ɔ m á n a
3298			f w a a n a				f w á n a n a			
3321			β a f u		β a f u					
3502			ŋ e n e				e ɲ e		n e n e	
3531		a a n i k a	a a n i x a		a n i k					a n ɛ χ a
3598			β e k a		β e				b e g a	
3622			g a β o						g a b o	
3698			i i x a l a		i k a l				i k a l a	
3735			k u l u		u l u				g ʊ l ʊ̀	
3767			l o		l o	l ɔ			l o	
3779			tʰ i i tʰ i					d î d i		
3817			s i							s i
3849			b i l o						b i l o	
3867			dʒ a s i							t ɬʰ á s i
3940		v á l a	p á l a		β á l a					
3948			a a l a							a l a
3971		k a m a	x a m a		k á m		k á m a	k a m a		
4083			k u k u m a				g u g u m a			
4218			f u u l a		f u u l					
4317			tʰ a r u	ts á r o						
4397			x u tʰ u							kʰ u d u
4632			x a s i	a s i	k á ʃ i				k á z i	
4655			p a p a l i l o						p o p i l i l o	
55		ɲ a m a		ɲ a m a	n a m a		a m a		ɲ a m a	
94				b ɔ g ɔ	β o k o			β ɔ k ɔ	b o k o	b ɔ χ ɔ
615				b u ɲ a				v u ɲ a		
631				b ɛ ɛ		ɓ e e				
675				t o ŋ g a			dʒ e ŋ g a	t u ŋ g a		
860		v i i ŋ g a		b e ŋ g a				β i ŋ g a		
984				s i s a					s i l a	
1151				s a			s i		s i	
1171				b o n dʒ a			b u n t a			
1195				t i m a				t i m a		
1351				dʒ á a						dʒ a
1631				k o ɲ i	k u n i			k u n i		
1724				l ɔ n d ɔ	l o n d o l					
1884				b o r a					b ʊ r a	
1972				k ɔ g ɔ			k o k o			
2057		t i m a		t e m a	t i m a					
2564				b a		ɓ a a				
2717				ŋ g a ŋ g a	ŋ a ŋ g a	g a ŋ g a	ɣ a ŋ g a	g a ŋ g a		
2842				k ɔ r i					k o r o	
2975				n dʒ e e						n̩ tɬ ɛ
3077				ŋ g u l u				ŋ g u r u		
3138				t ɔ g ɔ		tʃ o k				
3432				k w a				ŋ g w a		
3553				t o ŋ g a				t ô ŋ g a		
4115				k o g o		k o g o				
4307				l ɔ ɔ		l ɔ ɔ				
131					f w i		v w i			
182		ɲ u m a			n u m a					
212					k o n d e	k ɔ n d ɔ				
294					e f u		d e v u			
462					s u m			ʃ u m a		
552		w u p a			f u p a			f u p a		
624					s u l	s u l				
837		p a a n d o			p a n d o					
959		b e p o			p e p o		p e h o			
1033		k o s o m o l a			k o o l	k ɔ h ɔ l			k o s o l a	
1255					i β i				i b i	
1318					k u ŋ g u			k u ŋ g u	k u ŋ g u	
1388					k o ŋ k o n i			k ô k o n a		
1411					f i		v i		b i	
1495		w u t a			f u t a		f u t a			
1570					k á l i p				k á l i	
1578					l w			r w a		l w a
4					l u ŋ g u		r u ŋ g u			
2144		u tʃ i			u tʃ i					
2156		s e e ŋ g o			s e ŋ g o					
2232		l u m e			l u m e		u m e			
2335		p j o			f j o					
2510					l a a l	l a l				
3068					t u					tʰ ʊ̀
3185		v i i k a			β i i k		v i k a		b i k a	
3254					k u l a				k ʊ l a	
3431		dʒ e t e			tʃ e l e					
3466					m o n			m ô n a	m o n a	
3554					s o n				s o n a	
3586					s o ŋ g o l				s o ŋ g o l a	
3641					ʃ i ʃ i m				s i s i m ʊ k a	
3819					u ʃ i		o ʃ i			
4092		o o ŋ g a			o n k		o ŋ k a			
4127					s u β a		z u v a	ʝ u β a		
4139					m i n		m i dʒ a	m i n a	m e n a	m i ts a
4160		t u k u t a			t u k u t					
4204		tʃ i l a			tʃ i l a					
4285					t u ŋ g u			t u ŋ g i		
4329					k u p a			k u p a		qʰ ʊ f a
4508		s i			ʃ i		z i			
4544					t a		t a			
6						a m b ɛ		a m b i		
2767						ɲ ɔ ŋ				n a ŋ̍
3178						t i n d ɛ		t î n d e k a		
3724						k o p		k ô β a	k o b a	
4400						k u l			k u l u	
76		iː t i k a					i t i k a			
166		s o o k a					z o k a		s a g a	
318							o m a			ɔ m a
473		v a v a					v á v a			
539		t o k o t a					d o ɣ o d a			
794		v e l e k a					v e k a	v i k a		b ɛ l ɛ χ a
1025							i m b a	tʃ i m b a	r ʊ m b a	
1277							o t a	r ô t a		
1397		d e e m b o					t e m b o			
1667		n s a a n o					s á n o			
1734		s i t u					ʃ i t u			
1770							k u k u	k u k u		k ʊ k ʊ
2287		t u u m b o					t u m b o			
2300							v á v a			b á b a
2619							n d a			n̩ t a
2840		k o s i					g o ʃ i			
2876							s i ŋ g o	t î ŋ g o		
2887							ʃ a			ʃ a
2917		p u l a					p u a			
2947							m w e	m w e		
2968		e e t u					e t u			
3235		w u n a					v u n a			
3334							u m e		d ʊ m e	
3493							d u r a		k á r a	
3601							e ɲ dʒ a	ʃ e n d a		
3635							i n d i	p î n d i		
3749		k o v i					k o f i			
3807							n u k a	n u k a		
3857		s á v i					s á v i			
4077							z i ɣ i		z i g i	
4096							a m w a	ʝ a m w a		
4305		i v a					i v a			
4531		t a p i k a					t á h i k a			
4585		s i m a					s i m a			
4617							v i	v i		
4712		e e n u					e ɲ u		i ɲ ʊ	
105		g w a a p a						k w á p a		χ w á f a
214								b a n á n a		p a n á n a
438								n ɛ n ɛ	n e n e	
1244								d o ŋ g i		t o ŋ k i
1478								w a		w a
2754								k w e d i		qʰ w e d i
3143		p oː n d a						p o n d a		
3166								k ô k a		χ ɔ χ a
3842								ɣ o n a	g o n a	ɔ n a
4149		t u k a n a						t u k a	s u g a	
673		v a k a							o b a k a	
1180		w a							k w a	
2441		s a a m b a							s a m b a	
4182		n d o o l o							n d o l o	
