ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
191	175_god	God	1	Kinyamwezi F22	kùúβɛ̌	kùúβɛ̌	k ù/u ú/u β ɛ̌/ɛ	nyam1276	-5.08559	32.94452	Atlantic-Congo	1 7 7 3 7	AXYBZ	KYYBE	1	1.K.C 1.Y.V 1.Y.V 1.B.C 1.E.V	2.0 1.5 1.3 1.75 0.8	kù/uú/uβɛ̌/ɛ	0	1
192	175_god	God	1	Kinyamwezi F22	ɲààŋgàsà	ɲààŋgàsà	ɲ à/a à/a ŋ g à/a s à/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	4 7 7 4 1 7 3 7	AXYMBYBZ	NAANKASA	1	1.N.C 1.A.V 1.A.V 1.N.c 1.K.C 1.A.V 1.S.C 1.A.V	2.0 1.5 1.3 1.1 1.75 1.3 1.75 0.8	ɲà/aà/aŋgà/asà/a	0	9
193	175_god	God	1	Kinyamwezi F22	àhɩ̀ɩ́ŋgǎ	àhɩ̀ɩ́ŋgǎ	à/a h ɩ̀/i ɩ́/i ŋ g ǎ/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	7 3 7 7 4 1 7	XBYYMBZ	AHIINKA	1	1.A.V 1.H.C 1.I.V 1.I.V 1.N.c 1.K.C 1.A.V	1.5 1.75 1.3 1.3 1.1 1.75 0.8	à/ahɩ̀/iɩ́/iŋgǎ/a	0	10
1063	175_god	God	3	Koyo C.24	nʤ̑àmbé	nʤ̑àmbé	n dʒ à/a m b é/e	koyo1242	-0.69688	15.7508	Atlantic-Congo	4 1 7 4 1 7	ACYMBZ	NTAMPE	4	4.N.C 4.T.C 4.A.V 4.M.c 4.P.C 4.E.V	2.0 1.5 1.3 1.1 1.75 0.8	ndʒà/ambé/e	0	3
1453	175_god	God	4	Bemba M.42	lùŋgù	lùŋgù	l ù/u ŋ g ù/u	bemb1257	-10.6122	29.2993	Atlantic-Congo	5 7 4 1 7	AXMBZ	LYNKY	5	5.L.C 5.Y.V 5.N.c 5.K.C 5.Y.V	2.0 1.5 1.1 1.75 0.8	lù/uŋgù/u	0	4
1861	175_god	God	5	Basaa A.43a	hɔ̀rɔ́	hɔ̀rɔ́	h ɔ̀/ɔ r ɔ́/ɔ	basa1284	3.80765	10.4213	Atlantic-Congo	3 7 5 7	AXBZ	HURU	6	6.H.C 6.U.V 6.R.C 6.U.V	2.0 1.5 1.75 0.8	hɔ̀/ɔrɔ́/ɔ	0	5
1862	175_god	God	5	Basaa A.43a	ámbɛ̂	ámbɛ̂	á/a m b ɛ̂/ɛ	basa1284	3.80765	10.4213	Atlantic-Congo	7 4 1 7	XMBZ	AMPE	6	6.A.V 6.M.c 6.P.C 6.E.V	1.5 1.1 1.75 0.8	á/ambɛ̂/ɛ	0	6
2300	175_god	God	6	Asu G.22	rùŋgù	rùŋgù	r ù/u ŋ g ù/u	asut1235	-4.17978	37.8323	Atlantic-Congo	5 7 4 1 7	AXMBZ	RYNKY	7	7.R.C 7.Y.V 7.N.c 7.K.C 7.Y.V	2.0 1.5 1.1 1.75 0.8	rù/uŋgù/u	0	4
2776	175_god	God	7	Rumanyo (Gciriku) K.38	ámbì	ámbì	á/a m b ì/i	diri1252	-18.1681	20.6678	Atlantic-Congo	7 4 1 7	XMBZ	AMPI	8	8.A.V 8.M.c 8.P.C 8.I.V	1.5 1.1 1.75 0.8	á/ambì/i	0	6
3175	175_god	God	8	Lega D.25	làgà	làgà	l à/a g à/a	lega1249	-3.83196	27.1424	Atlantic-Congo	5 7 1 7	AXBZ	LAKA	9	9.L.C 9.A.V 9.K.C 9.A.V	2.0 1.5 1.75 0.8	là/agà/a	0	7
3570	175_god	God	9	Tswana S.30	dímʊ́	dímʊ́	d í/i m ʊ́/ʊ	tswa1253	-24.368	24.7587	Atlantic-Congo	1 7 4 7	AXBZ	TIMY	10	10.T.C 10.I.V 10.M.C 10.Y.V	2.0 1.5 1.75 0.8	dí/imʊ́/ʊ	1	8
3996	175_god	God	10	Yao P.21	nùùŋgù	nùùŋgù	n ù/u ù/u ŋ g ù/u	yaoo1241	-13.6119	35.2387	Atlantic-Congo	4 7 7 4 1 7	AXYMBZ	NYYNKY	2	2.N.C 2.Y.V 2.Y.V 2.N.c 2.K.C 2.Y.V	2.0 1.5 1.3 1.1 1.75 0.8	nù/uù/uŋgù/u	0	2
230	206_i	I	1	Kinyamwezi F22	nɛ̀ɛ̀nɛ́	nɛ̀ɛ̀nɛ́	n ɛ̀/ɛ ɛ̀/ɛ n ɛ́/ɛ	nyam1276	-5.08559	32.94452	Atlantic-Congo	4 7 7 4 7	AXYBZ	NEENE	1	1.N.C 1.E.V 1.E.V 1.N.C 1.E.V	2.0 1.5 1.3 1.75 0.8	nɛ̀/ɛɛ̀/ɛnɛ́/ɛ	0	14
1088	206_i	I	3	Koyo C.24	ŋgà	ŋgà	ŋ g à/a	koyo1242	-0.69688	15.7508	Atlantic-Congo	4 1 7	ACZ	NKA	4	4.N.C 4.K.C 4.A.V	2.0 1.5 0.8	ŋgà/a	0	16
2331	206_i	I	6	Asu G.22	mí	mí	m í/i	asut1235	-4.17978	37.8323	Atlantic-Congo	4 7	AX	MI	7	7.M.C 7.I.V	2.0 1.5	mí/i	0	17
2808	206_i	I	7	Rumanyo (Gciriku) K.38	àmé	àmé	à/a m é/e	diri1252	-18.1681	20.6678	Atlantic-Congo	7 4 7	XBZ	AME	8	8.A.V 8.M.C 8.E.V	1.5 1.75 0.8	à/amé/e	0	18
3203	206_i	I	8	Lega D.25	nnè	nnè	nː è/e	lega1249	-3.83196	27.1424	Atlantic-Congo	4 7	AX	NE	9	9.N.C 9.E.V	2.0 1.5	nːè/e	0	19
3599	206_i	I	9	Tswana S.30	ǹná	ǹná	ǹ/n̩ n á/a	tswa1253	-24.368	24.7587	Atlantic-Congo	4 4 7	ACZ	NNA	10	10.N.C 10.N.C 10.A.V	2.0 1.5 0.8	ǹ/n̩ná/a	0	20
4026	206_i	I	10	Yao P.21	ùné(éjí)	ùné	ù/u n é/e	yaoo1241	-13.6119	35.2387	Atlantic-Congo	7 4 7	XBZ	YNE	2	2.Y.V 2.N.C 2.E.V	1.5 1.75 0.8	ù/uné/e	0	15
1	1_abuse	abuse	1	Kinyamwezi F22	hjɔ̀ɔ́gɔ̀ʤ̑à	hjɔ̀ɔ́gɔ̀ʤ̑à	h j ɔ̀/ɔ ɔ́/ɔ g ɔ̀/ɔ dʒ à/a	nyam1276	-5.08559	32.94452	Atlantic-Congo	3 6 7 7 1 7 1 7	ACXYBYBZ	HJUUKUTA	1	1.H.C 1.J.C 1.U.V 1.U.V 1.K.C 1.U.V 1.T.C 1.A.V	2.0 1.5 1.5 1.3 1.75 1.3 1.75 0.8	hjɔ̀/ɔɔ́/ɔgɔ̀/ɔdʒà/a	0	22
467	1_abuse	abuse	2	Bukusu E.31c	tʰùxà	tʰùxà	tʰ ù/u x à/a	buku1249	0.68043	34.7719	Atlantic-Congo	1 7 3 7	AXBZ	TYGA	3	3.T.C 3.Y.V 3.G.C 3.A.V	2.0 1.5 1.75 0.8	tʰù/uxà/a	0	24
900	1_abuse	abuse	3	Koyo C.24	twáà	twáà	t w á à/a	koyo1242	-0.69688	15.7508	Atlantic-Congo	1 6 7 7	ACXZ	TWAA	4	4.T.C 4.W.C 4.A.V 4.A.V	2.0 1.5 1.5 0.8	twáà/a	0	25
1286	1_abuse	abuse	4	Bemba M.42	túk	túk	t ú/u k	bemb1257	-10.6122	29.2993	Atlantic-Congo	1 7 1	AXN	TYK	5	5.T.C 5.Y.V 5.K.c	2.0 1.5 0.8	tú/uk	0	24
1698	1_abuse	abuse	5	Basaa A.43a	sɔ̀l	sɔ̀l	s ɔ̀/ɔ l	basa1284	3.80765	10.4213	Atlantic-Congo	3 7 5	AXN	SUL	6	6.S.C 6.U.V 6.L.c	2.0 1.5 0.8	sɔ̀/ɔl	0	26
2103	1_abuse	abuse	6	Asu G.22	ràrà	ràrà	r à/a r à/a	asut1235	-4.17978	37.8323	Atlantic-Congo	5 7 5 7	AXBZ	RARA	7	7.R.C 7.A.V 7.R.C 7.A.V	2.0 1.5 1.75 0.8	rà/arà/a	0	27
2595	1_abuse	abuse	7	Rumanyo (Gciriku) K.38	ʃwákà	ʃwákà	ʃ w á k à/a	diri1252	-18.1681	20.6678	Atlantic-Congo	3 6 7 1 7	ACXBZ	SWAKA	8	8.S.C 8.W.C 8.A.V 8.K.C 8.A.V	2.0 1.5 1.5 1.75 0.8	ʃwákà/a	0	28
3400	1_abuse	abuse	9	Tswana S.30	rʊ́χá	rʊ́χá	r ʊ́/ʊ χ á/a	tswa1253	-24.368	24.7587	Atlantic-Congo	5 7 3 7	AXBZ	RYGA	10	10.R.C 10.Y.V 10.G.C 10.A.V	2.0 1.5 1.75 0.8	rʊ́/ʊχá/a	0	24
3819	1_abuse	abuse	10	Yao P.21	kusaaŋgusana	kusaaŋgusana	k u s a a ŋ g u s a n a	yaoo1241	-13.6119	35.2387	Atlantic-Congo	1 7 3 7 7 4 1 7 3 7 4 7	AXBYYMBYBYBZ	KYSAANKYSANA	2	2.K.C 2.Y.V 2.S.C 2.A.V 2.A.V 2.N.c 2.K.C 2.Y.V 2.S.C 2.A.V 2.N.C 2.A.V	2.0 1.5 1.75 1.3 1.3 1.1 1.75 1.3 1.75 1.3 1.75 0.8	kusaaŋgusana	0	23
2	2_all	all	1	Kinyamwezi F22	ɔ́sɛ̀	ɔ́sɛ̀	ɔ́/ɔ s ɛ̀/ɛ	nyam1276	-5.08559	32.94452	Atlantic-Congo	7 3 7	XBZ	USE	1	1.U.V 1.S.C 1.E.V	1.5 1.75 0.8	ɔ́/ɔsɛ̀/ɛ	0	32
468	2_all	all	2	Bukusu E.31c	-èsì	-èsì	è/e s ì/i	buku1249	0.68043	34.7719	Atlantic-Congo	7 3 7	XBZ	ESI	3	3.E.V 3.S.C 3.I.V	1.5 1.75 0.8	è/esì/i	0	34
901	2_all	all	3	Koyo C.24	tsɔ́	tsɔ́	ts ɔ́/ɔ	koyo1242	-0.69688	15.7508	Atlantic-Congo	2 7	AX	CU	4	4.C.C 4.U.V	2.0 1.5	tsɔ́/ɔ	0	35
1699	2_all	all	5	Basaa A.43a	sô	sô	s ô/o	basa1284	3.80765	10.4213	Atlantic-Congo	3 7	AX	SU	6	6.S.C 6.U.V	2.0 1.5	sô/o	0	36
2104	2_all	all	6	Asu G.22	ósè	ósè	ó/o s è/e	asut1235	-4.17978	37.8323	Atlantic-Congo	7 3 7	XBZ	USE	7	7.U.V 7.S.C 7.E.V	1.5 1.75 0.8	ó/osè/e	0	32
2596	2_all	all	7	Rumanyo (Gciriku) K.38	náßìʧ̑ɛ̀	náßìʧ̑ɛ̀	n á β ì/i tʃ ɛ̀/ɛ	diri1252	-18.1681	20.6678	Atlantic-Congo	4 7 3 7 1 7	AXBYBZ	NABITE	8	8.N.C 8.A.V 8.B.C 8.I.V 8.T.C 8.E.V	2.0 1.5 1.75 1.3 1.75 0.8	náβì/itʃɛ̀/ɛ	0	37
3031	2_all	all	8	Lega D.25	nsé	nsé	n s é/e	lega1249	-3.83196	27.1424	Atlantic-Congo	4 3 7	ACZ	NSE	9	9.N.C 9.S.C 9.E.V	2.0 1.5 0.8	nsé/e	0	38
3401	2_all	all	9	Tswana S.30	ótɬʰé	ótɬʰé	ó/o tɬʰ é/e	tswa1253	-24.368	24.7587	Atlantic-Congo	7 1 7	XBZ	UTE	10	10.U.V 10.T.C 10.E.V	1.5 1.75 0.8	ó/otɬʰé/e	0	39
3820	2_all	all	10	Yao P.21	kòòsè	kòòsè	k ò/o ò/o s è/e	yaoo1241	-13.6119	35.2387	Atlantic-Congo	1 7 7 3 7	AXYBZ	KUUSE	2	2.K.C 2.U.V 2.U.V 2.S.C 2.E.V	2.0 1.5 1.3 1.75 0.8	kò/oò/osè/e	0	33
