COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
2645	h ă ŋ		h ă ŋ		h ă ŋ			h ă ŋ
67				n a n	n a n			
2338	ɲ o ɾ l a	ɲ u r tʃ u				j u r tʃ u	ɲ u r kʰ ə n	
2266		g ɾ a n tʃ u			g ɾ a kʰ e n	g r a k a n	g ɾ a kʰ e n	
2784			z i	z i		z i		z i
856			k j a k p a				k j a k p a	
2555				g a tʃ a	k a tʃ u		k a tʃ u	
1996	m u t̪ i r k a	m u ŋ t̪ a ŋ			m u ŋ d i r		m u ŋ d i r kʰ e n	m u ŋ d i r p a n
2379			tʰ i ŋ kʰ u		tʰ i ŋ kʰ ə n	tʰ i ŋ kʰ u	tʰ i ŋ kʰ ə n	tʰ i ŋ m a n
347	m u m t̪ o k l o m			m u m t̪ o k l o m				
2219		ʃ e ʃ u				ʃ e ʃ u		
2296				tʰ o g tʃʰ a m				t o k p a n
2766		i ŋ o m	i ŋ o m		ɲ i ŋ a m	ŋ a m tʃ a	i ŋ a m	
2407					pʰ a kʰ e n		pʰ a kʰ e n	
2433		pʰ i r	pʰ i r pʰ o		pʰ i r p o k			
1263		ɾ j u	ɾ j u			ɾ j u	ɾ j u	
2295			b ɾ a k o		b e kʰ e n	b ɾ a k o	b r e k a kʰ e n	
936		tʰ o ŋ	tʰ o ŋ		t o ŋ	kʰ a t o ŋ		
117					kʰ a r i		kʰ a r i	
2314				k o t tʃʰ a m	g o t kʰ ə n		g o t kʰ ə n	g o t p a n
2110	a l o				a l o	ʔ a l o		
1809					tʃ i kʰ e n		tʃ i kʰ e n	
2404	pʰ a l o		pʰ a w o					pʰ a l o
379	g u ɾ gʱ a ŋ			kʰ u r kʰ a ŋ	kʰ u r kʰ a ŋ		kʰ u r kʰ a ŋ	
2483					n a m kʰ a n	n a m kʰ a n	n a m kʰ e n	
2100	ʃ i k a		ʃ i l o		ʃ i k a n	ʃ i k a n	ʃ i kʰ e n	
135		tʃʰ i ŋ kʰ a ŋ	tʃʰ i ŋ kʰ a ŋ	tʃʰ i ŋ kʰ a ŋ				
2173		b i n tʃ u		b i n tʃʰ a m				
2588		kʰ u	kʰ u		kʰ u	kʰ u	kʰ u	
1611	ɕ i t k a l a					ʃ i k a n	z i t kʰ e n	
2081		d̪ o ŋ b a	d̪ o ŋ b a			d̪ o ŋ k a n	d o ŋ kʰ e n	
1585			l a m	l a m			l a m	
2285		dʒ a ŋ k u	dʒ a ŋ p o		dʒ a ŋ p o	tʃ a ŋ k u		dʒ a ŋ p a n
2045			l e j a ŋ b o		l e ŋ b o	l e j a ŋ b o		
2320	tʃ o ŋ o		tʃ o ŋ a l o		tʃ o ŋ a l o		tʃ o ŋ a kʰ e n	
1906	u ɲ u	u ɲ u m o		u ɲ u		u ɲ u		
2329	tʃ o k l a					tʃ o k a n	tʃ o kʰ e n	
2166					g r a n dʒ a m e kʰ e n		g r a ŋ g i m e kʰ e n	
310	a l e j a k			a l a k				a l j a k
1112					t a ŋ l e m		t a ŋ l e m kʰ e n	
2323						kʰ o d̪ i l o		kʰ o l o
2414		l u s p u z i g tʃ u		l u ʃ p u z i g tʃʰ a m	l u s p u z i g p o		l u s p u z i kʰ e n	
1170		tʃʰ a tʃʰ a	tʃʰ a tʃʰ a		tʃʰ a tʃʰ a		tʃ a tʃ i	
2463			d̪ a ŋ b a	d̪ a ŋ tʃʰ a m				
2200	n a d̪ o k l a			n a d̪ o k tʃʰ a m				n a h a d o k p a n
373	k o b i	k o b i				k o b i		
965				tʰ i ŋ l o m			tʰ i ŋ l o m	
2492		ʃ e ʃ u				ʃ e ʃ u		
1060	kʰ o l o k p a		k o l o k p a			k o l o k p a		
1547	j a s			j a s				j a s
1959	u ɲ u	u ɲ u b a g m o		u ɲ u b a				
2249			z o g j a k b o		z o k j a kʰ e n	z o g j a k b o	z o k j a kʰ e n	z o g j a k b o
1880					j o ŋ j o ŋ		j o ŋ j o ŋ	
1628		ɾ i tʃ i k p u	ɾ i tʃ i k p u			ɾ i tʃ i k p u		
582	p u r tʃ i			p u r tʃ i				
2053		u n tʃ u		ŭ n tʃʰ a m				
855		b e ŋ k u ɾ t a			b e ŋ k u t̪ a	b e ŋ k u t̪ a		
446		n a ɾ i j a l			n a ɾ i j a l		n a ɾ i j a l	
863	s e		s e	s e				
2358			ʔ i w o			ʔ i w o		
2268				s e m pʰ e k a				s e m pʰ e l a n
2452	n u ŋ k a l a	n o ŋ kʰ u			n o ŋ kʰ ə n	n o ŋ kʰ u	n o ŋ tʃ u kʰ ə n	
1851	kʰ u m i n			kʰ ŏ m i n				kʰ ŏ m i n
1594		pʰ e i tʰ u ŋ			pʰ e i tʰ u ŋ	pʰ e tʰ u ŋ	pʰ e i tʰ u ŋ	pʰ e tʰ u ŋ
872	pʰ u ŋ k a			pʰ u ŋ k a				
1008		a b i tʃ a ŋ				a b i tʃ a ŋ	a i p tʃ a ŋ	
202					t o ŋ t e			t o ŋ t e
1593	pʰ a i b ŭ ŋ n a ŋ			pʰ a i b ŭ ŋ n a ŋ				
1118		tʃʰ u i						tʰ u l i
134	dʒ a p							dʒ a p
2149					n u p kʰ ə n		n u p kʰ ə n	
864		g o ŋ			g o ŋ			
2699	tʃ a i t a ŋ p u			t a ŋ p u				s a p tʃ a t a ŋ p u
1760	s a h̥	s a h̥	s a	s a				
517	t i ŋ p u			t i ŋ p u				
2034						g o k u	g o kʰ e n	
1796	kʰ a b a ɾ a	kʰ a b a r		kʰ a b a r				pʰ a r
1879	tʃʰ e r tʃʰ e r			tʃʰ e r tʃʰ e r				
1014			g e s t̪ u j a			g e s t̪ u r		
276		dʒ a tʃ i				dʒ a ɲ tʃ i		
2608					j a m l o k		j a m l o k	
1646		tʃ o	tʃ o	tʃ o			tʃ o	
1264				z o ɾ				z o ɾ
2083			z a m b o		z a m b o			
238	kʰ a l u			kʰ a l u				kʰ a l u
1575	ɾ i j a m a			ɾ i j a m a				
1627	d̪ u l u l a			d o l u				
2092		l e m	tʃ a m l e m b o		l e m b o	l e m b o		
509			t̪ i n u ŋ a m tʰ u r	ŋ a m tʰ u r				
454			kʰ u r l a	k u r b a n		kʰ u r l a		
2635		ʃ i ɾ i	ʃ i r i l a		ʃ i r a		ʃ i r a	
2356	i p k a			i p tʃʰ a m	i p kʰ e n		i p kʰ e n	i p a n
311		d a			d a	d a	d a	
1612		dʒ i p a n			dʒ i d p æ n			dʒ i p a n
2416						z i k a n		z i g p a n
2783	n a ɲ i ŋ	n a ɲ i ŋ			n a ɲ i ŋ		n a ɲ i ŋ	
2625		b e n a m z u m	b i n a z u ŋ			b o i n a m z u ŋ	b i n a z u ŋ	i n a ŋ z u m
854	p a i pʰ u			p a i p u				p e p u
580	b l a s a							b l a s a
2554		d̪ u ɾ i				d̪ u ɾ i		
