COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	h a b e			
222-1	a b i b n e			
208-1	a b u r b u u			
962-1	a g o r s e			
203-1	a g u d i n e			
138-1	u w i l e			
504-1	ɗ aː s iː s e			
662-1	ɗ u d iː n e			
478-1	u g iː g e			
409-1	a r e			
410-1	g u n g i			
256-1	ɓ a l e			
622-1	n d u			
546-1	n d u			
547-1	s oː s a ʔ			
847-1	n ɪ n d g e			
95-1	b oː ɗ i			
105-1	b aː n e			
510-1	b o s e			
951-1	m b i ɲ a r e			
1116-1	m b o nː e			
149-1	ɗ u s ʔ e			
376-1	ɓ a l i			
815-1	ɗ o r iː s e			
453-1	ɓ oː nː e			
67-1	ɓ a s e			
47-1	ɗ o ʔ o dʒ e			
869-1	ɓ u s e			
57-1	k a g u			
303-1	g ʔ a s ʔ i e			
443-1	g oː r e			
884-1	g u n g e			
166-1	g u n g i			
918-1	a b ɛ r e			
831-1	h a iː s e			
616-1	b i e			
84-1	h o s ɛ l e			
346-1	h o g u l u			
601-1	s i g i			
177-1	ɗ ʔ a s a n			
341-1	ɓ ʔ o l e			
468-2		θ a b a		
222-2		a b ɪ b o z i		
208-2		a b u r b u ʔ u		
962-2		a g o r z a		
203-2		a g u d i ʔ		
138-2		ʃ i l e		
504-2		ɗ o ʃ a		
662-2		ɓ ə d a		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ oː f a		
847-2		n aː n d i g i		
95-2		b ə ɗ i		
105-2		b ɛ ɲ z n i		
510-2		b o ʃ a		
951-2		m a r e		
1116-2		m b a		
149-2		ɓ u z ʔ i		
376-2		ɓ ɛ l i		
815-2		g o r a		
453-2		ɗ aː ŋ e		
67-2		ɗ a ʃ e		
47-2		t o ʔ i l a		
869-2		ɗ oː l a		
57-2		g aː g u		
303-2		g a s ʔ y a		
443-2		g eː r e		
884-2		g aː n d i		
166-2		g u n d i		
918-2		a b a r e		
831-2		h aː ʃ e		
616-2		b eː e		
84-2		h o ʃ a l a		
346-2		h aː h o l o		
601-2		s i g i		
177-2		k ʔ a z a		
341-2		k ʔ o l a		
468-3			θ a b a	
222-3			a b a b a n e	
208-3			a b u r b u d u	
962-3			a g ɔ r θ a	
203-3			a g u d i	
138-3			a ʃ i l a	
504-3			ɗ ɔ ʃ a	
662-3			p ɔ d a	
478-3			g ɛ d a	
409-3			a r e	
410-3			g u n d i	
256-3			p ʔ a l i	
622-3			ŋ d u	
546-3			ŋ d u	
547-3			ʃ i f a ʔ	
847-3			e n d i g i	
95-3			b ɛ d i	
105-3			b i ʔ n ũ	
510-3			b ə ʃ a	
951-3			m b ə m a r e	
1116-3			m b u m a	
149-3			p ʔ u s ʔ i	
376-3			p ʔ a l i	
815-3			k ɔ r a	
453-3			d u n a	
67-3			d aː ʃ a	
47-3			ɗ u k u ʃ a	
869-3			d ɔː θ a	
57-3			k aː g u	
303-3			a s ʔ i a	
443-3			g ə r a	
884-3			g u n d i	
166-3			g u n d i	
918-3			a b ɛ r e	
831-3			h aː ʃ a	
616-3			p a e	
84-3			h ɔ ʃ ɛ l ũ	
346-3			h ɔ h l ũ	
601-3			s i g i	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
468-4				θ a b a
222-4				a b o b ɛ n e
208-4				a ɓ u r ɓ u d u
962-4				a g o r ʔ a
203-4				a g u d i n
138-4				ʃ i l e
504-4				t o ʃ i
662-4				ɓ ə d i
478-4				g uː ɗ a
409-4				a r e
410-4				g u n d i
256-4				ɓ aː l e
622-4				n ɦ u
546-4				n ɦ u
547-4				ʃ ɛ f a
847-4				n ɛ n d ɛ g i
95-4				b ɛ ɗ i
105-4				b i n i
510-4				b o ʃ a
951-4				m a r e
1116-4				m q a
149-4				ɓ ɪ s ʔ i
376-4				ɓ a l i
815-4				t o r a
453-4				ɓ ɪ nː e
67-4				ɓ aː ʃ e
47-4				ɗ o k o ʃ i
869-4				ɓ oː θ a
57-4				ɓ aː g u
303-4				g a s ʔ i a
443-4				g ɛ r a
884-4				g u n d i
166-4				g u n d i
918-4				a q ɛ r e
831-4				h a ʃ e
616-4				b i e
84-4				h o ʃ ɛ l e
346-4				h u h u l u
601-4				s i g i
177-4				ɓ ʔ a f a
341-4				t q o l a
