COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼ ɨ m																		
107-1	g a m e l a																		
112-1	d a b ə n a																		
331-1	n ɨ g u s																		
377-1	b ə kʼ l o																		
381-1	ʔ a d																		
417-1	r u z																		
451-1	s ə b t																		
454-1	h a tʃʼ ɨ r																		
484-1	s ɨ h ɨ s t																		
535-1	ʔ a s ɨ r																		
543-1	s o s t																		
593-1	ʔ a m u s																		
640-1	m a n																		
1-1	d ə mː ə r ə																		
65-1	tʼ u b																		
212-1	ʔ ai̯ n																		
244-1	ʔ a r b a t																		
248-1	m u l a																		
293-1	f ə r ə z																		
373-1	kʼ ɨ m a l																		
408-1	b o r a																		
414-1	d ɨ b a kʼ u a																		
601-1	ʔ r o b																		
642-1	n ɨ f a s																		
60-1	n ə f ə s ə																		
115-1	l a m																		
209-1	s ə m u t																		
242-1	ʔ a m ɨ s t																		
415-1	z ɨ n a b																		
450-1	z ə r																		
490-1	tʼ ə w																		
638-1	s ɨ rː ɲː ai̯																		
645-1	kʼ a l																		
160-1	d ə r ə kʼ																		
208-1	ʔ ɨ n kʼ																		
214-1	ʔ a b																		
378-1	ʔ a n g ə t																		
379-1	b ə h ə																		
409-1	g a t ə r ə																		
598-1	k t																		
646-1	ʔ a t ə																		
210-1	zː ə ə n																		
215-1	ʔ a b a t																		
285-1	m ɨ tʼ a d																		
332-1	ʔ ɨ g ɨ r																		
380-1	ʔ h																		
412-1	s a h n																		
64-1	d a mː o																		
67-1	w ɨ r																		
251-1	f ɨ kʼ																		
294-1	m a kʼ ə																		
597-1	h mː ə ə ɲː ə																		
7-1	ʔ a l g a																		
158-1	kʼ ə m i s																		
61-2		d ə m																	
63-2		ʔ a tʼ ɨ m																	
107-2		g a m ɨ l a																	
112-2		d a w ə n a																	
331-2		n ɨ g i s																	
377-2		b ɨ kʼ a l e																	
381-2		ʔ a d																	
417-2		r u z																	
451-2		s ə b a																	
454-2		ʔ a tʃ ɨ r																	
484-2		s ɨ o ɨ s d																	
535-2		x a s ɨ r																	
543-2		s o s d																	
593-2		x a m.a u s																	
640-2		m a n																	
1-2		d ə b r ə																	
65-2		tʼ u b																	
163-2		s ə tʃ ə																	
212-2		ʔ e n																	
244-2		x a r b a																	
248-2		m u l a																	
293-2		f ə r ə z																	
373-2		kʼ ɨ m a l																	
408-2		b o r a																	
414-2		d i b a u a																	
642-2		n ɨ f a s																	
60-2		n ə f ə s ə																	
115-2		x l a m.a																	
209-2		s ɨ m i d																	
242-2		h a m.a ɨ s d																	
415-2		z ɨ n a b																	
450-2		z ə r																	
490-2		tʼ ə b																	
645-2		kʼ a l																	
160-2		d ə r ə kʼ																	
208-2		ʔ ɨ n kʼ o																	
378-2		ʔ a n g ə d																	
379-2		z ə ə																	
409-2		g ə d ə r																	
598-2		k e																	
646-2		ʔ a ə																	
210-2		d u h o n																	
215-2		ʔ a b a t																	
285-2		m u tʼ a d																	
380-2		ʔ a h a																	
412-2		s a h u n																	
496-2		u r s ə n b ə																	
64-2		d a b o																	
251-2		f u kʼ ʔ																	
294-2		m ɨ kʼ																	
597-2		h ɨ ə m.a ə l ə																	
7-2		x a l g a																	
158-2		kʼ ə m i s																	
61-3			d ə m																
63-3			ʔ a t ɨ m																
107-3			g a m e r a																
112-3			d a m ə r a																
331-3			n ɨ g w s																
377-3			b ɨ kʼ u r ə																
381-3			ʔ a t																
417-3			r u z																
451-3			s ə b a t																
454-3			ʔ a tʃʼ ɨ r																
484-3			s ɨ m ɨ s t																
535-3			ʔ a s ɨ r																
543-3			s ə s t																
593-3			ʔ a m u s																
640-3			m a n																
1-3			d ə p ə r ə m																
65-3			m u m																
163-3			s ə tʃʼ ə																
212-3			ʔ e n																
244-3			ʔ a r b ə t																
248-3			m u r a																
293-3			b ə r ə z																
373-3			kʼ ɨ m a r																
408-3			b ə r a																
414-3			d ə b a kʼ u t a																
