COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼ ɨ m																		
107-1	g ɨ m ə l a																		
112-1	d a t ə n a																		
331-1	n ɨ g u s																		
377-1	b ə kʼ l o																		
381-1	ʔ a d																		
417-1	r u zː																		
451-1	s ə nː a t																		
454-1	h a s ɨ r																		
484-1	s ɨ h ɨ s																		
535-1	ʔ a tʃʼ ə r																		
543-1	s o s																		
593-1	h a m ɨ s																		
640-1	m a n																		
1-1	d ə mː ə r ə																		
65-1	tʼ u																		
212-1	ʔ ai̯ n																		
244-1	ʔ a r a																		
248-1	m u l a																		
293-1	f ə r ə zː																		
373-1	kʼ ə m a l																		
408-1	b ɨ r a																		
414-1	d u b a a																		
601-1	ʔ ə r ə																		
642-1	n ɨ f a s																		
60-1	n ə f ə s ə																		
115-1	ə lː a m																		
209-1	s ə n ə																		
242-1	ʔ a mː ɨ s																		
415-1	zː ɨ n a m																		
450-1	zː ə r																		
490-1	tʼ ə b ə																		
638-1	s ɨ rː ɲː ai̯																		
645-1	kʼ a l																		
160-1	d ə r ə kʼ ə																		
208-1	ʔ ɨ n kʼ u																		
214-1	ʔ a b																		
378-1	ʔ a n g ə t																		
379-1	Ø ə h ə																		
409-1	ʔ a t ə r ə																		
598-1	ʔ																		
646-1	ʔ a ə																		
210-1	zː ə ə nː																		
215-1	ʔ a ʔ a ʔ ə t																		
285-1	m ə tʼ a d																		
332-1	ʔ ɨ g ə r																		
380-1	ʔ a h u a																		
412-1	s a h a n																		
64-1	d a mː o																		
67-1	w ɨ r																		
251-1	f ɨ kʼ																		
294-1	m ɨ kʼ																		
597-1	h u mː ə ɲː a																		
7-1	ʔ a l g a																		
158-1	kʼ ə m i s																		
372-1	Ø ə n f ə r																		
374-1	b ə kʼ ɲː o lː ɲː o																		
375-1	s ə b																		
411-1	t ə r a s																		
541-1	kʼ ə Ø ɨ n																		
6-1	m ə l Ø a m a																		
113-1	b u n																		
330-1	kʼ ə l d																		
448-1	kʼ ə d a n s ə n ʔ ə																		
449-1	ʔ a ʔ j ə																		
491-1	d ɨ n g ə t																		
596-1	n ə g ʔ																		
4-1	dʒ ʔ ɨ ʔ h ʔ ʔ																		
8-1	kʼ ə b ə t ɲː ɲː o																		
106-1	m ə a																		
290-1	h a g ə zː ə																		
489-1	w o r Ø ɨ m a																		
602-1	m ɨ nː																		
2-1	u lː u																		
3-1	ʔ ə rː ɨ																		
213-1	ʔ a r o tʃʼ																		
486-1	n ə Ø ə kʼ ə																		
647-1	o t a																		
10-1	tʼ ɨ kʼ ʔ u r																		
110-1	Ø a ɨ																		
152-1	ʔ a n o																		
211-1	m ɨ s a t																		
328-1	s ə Ø ə b ə																		
333-1	m ɨ tʃʼ ɨ r																		
334-1	ʔ a n b ə sː a																		
410-1	kʼ a r ɨ j ə																		
540-1	l ʔ a																		
109-1	g u n tʃʼ a																		
61-2		d ə m																	
63-2		ʔ a tʼ ɨ m																	
107-2		g a m ɨ l a																	
112-2		d a b ə n a																	
331-2		n ɨ g u s																	
377-2		b ə kʼ l o																	
381-2		ʔ a d																	
417-2		r u dʒ																	
451-2		s ə b a d																	
454-2		k a tʃ ɨ r																	
484-2		s ɨ ɨ s d																	
535-2		ʔ a s ɨ r																	
543-2		s o tʃ d																	
593-2		h a m u s																	
640-2		m a																	
1-2		d ə b ə r ə																	
65-2		tʼ u b																	
163-2		s ə tʃ ə																	
212-2		ʔ i n																	
244-2		ʔ a r a d																	
248-2		m u l a																	
293-2		f ə r ə s																	
373-2		kʼ ɨ m a l																	
408-2		b a r a																	
414-2		d u b a																	
642-2		n ɨ f a s																	
60-2		n ə f ə s ə																	
115-2		l a m																	
209-2		s ɨ m ɨ d																	
242-2		k a m ɨ s d																	
415-2		dʒ ɨ n a b																	
450-2		dʒ ə r																	
490-2		tʼ ə b ə																	
645-2		kʼ a l																	
160-2		d ə r ə kʼ																	
