COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼ ɨ m																		
107-1	g ə m e l a																		
112-1	d ə b ə n a																		
331-1	n ɨ g u s																		
377-1	b ə kʼ lː o																		
381-1	ʔ a h																		
417-1	r u zː																		
451-1	s ə b t																		
454-1	h a tʃʼ ɨ r																		
484-1	s ɨ t ɨ s t																		
535-1	ʔ a s ɨ r																		
543-1	ʃ o s t																		
593-1	ʔ a m u s																		
640-1	m a n																		
1-1	d ə mː ə r ə																		
65-1	tʼ u b																		
212-1	ʔ ai̯ n																		
244-1	ʔ a r b a t																		
248-1	m u l a																		
293-1	f ə r ə zː																		
373-1	kʼ ɨ m a l																		
408-1	b o r a																		
414-1	d ə b a kʼ a																		
601-1	ʔ ə r ə b																		
642-1	n ɨ f a s																		
60-1	n ə f ə s ə																		
115-1	ʔ ə lː a m																		
209-1	s ə m ə t																		
242-1	ʔ a mː ɨ s t																		
415-1	zː ɨ m a b																		
450-1	zː ə r																		
490-1	tʼ ə b ə																		
638-1	s ɨ rː ɲː ai̯																		
645-1	kʼ a lː																		
160-1	tʼ ə r ə kʼ ə																		
208-1	ʔ ɨ n kʼ o																		
214-1	ʔ a b																		
378-1	ʔ a n g ə t																		
379-1	Ø ə h ə ə ə																		
409-1	ʔ a t ə r ə																		
598-1	ʔ																		
646-1	ʔ a t ə																		
210-1	zː ə ə nː																		
215-1	ʔ a ʔ b ə t																		
285-1	m ɨ tʼ a d																		
332-1	ʔ ɨ g ɨ r																		
380-1	ʔ a h																		
412-1	s a h n																		
64-1	d a mː o																		
67-1	w ɨ r																		
251-1	f ɨ kʼ																		
294-1	m ə kʼ ə																		
597-1	h mː ə ə ɲː ə																		
7-1	ʔ a l g a																		
158-1	kʼ ə m i s																		
372-1	t ə n f ə r																		
374-1	b ə kʼ ɲː o lː ɲː o																		
375-1	s ə b																		
411-1	ə ə t ə r ə a s																		
541-1	kʼ ə s ɨ n																		
6-1	m ə r kʼ a a																		
113-1	b u n																		
330-1	kʼ ə l d																		
448-1	kʼ ə d a n s ə n b ə																		
449-1	ʔ a ʔ a																		
491-1	d ɨ n g ə t																		
596-1	n ə g a																		
4-1	dʒ ʔ ə ʔ h a																		
8-1	kʼ ə b ə t ɲː ɲː o																		
106-1	m ə s a																		
290-1	h a g ə zː ə																		
489-1	b r tʃʼ ɨ m a																		
602-1	m ɨ nː																		
2-1	u lː ɨ																		
3-1	ʔ ɨ rː ə																		
61-2		d ə m																	
63-2		ʔ a tʼ ɨ m																	
107-2		g a m ɨ l a																	
112-2		d a b ə n a																	
331-2		n ɨ g u s																	
377-2		b ɨ kʼ a l o																	
381-2		ʔ a d																	
417-2		r u dʒ																	
451-2		s ə b a d																	
454-2		ʔ a tʃ ɨ r																	
484-2		s ɨ ɨ s d																	
535-2		ʔ a s ɨ r																	
543-2		ʃ o ʃ d																	
593-2		x a m u s																	
640-2		m a n																	
1-2		d ə b ə r ə																	
65-2		tʼ u b																	
163-2		s ə tʃ ə																	
212-2		ʔ e n																	
244-2		x a r b a d																	
248-2		m u l a																	
293-2		f ə r ə s																	
373-2		kʼ ɨ m a l																	
408-2		b o r a																	
414-2		d ɨ b a ɨ a																	
642-2		n ɨ f a s																	
60-2		n ə f ə s ə																	
115-2		x l a m																	
209-2		s ɨ m i d																	
242-2		k a m ɨ s d																	
415-2		dʒ ɨ n a b																	
450-2		dʒ ə r																	
490-2		tʼ ə b ə																	
645-2		kʼ a l																	
160-2		tʼ ə r ə kʼ																	
208-2		ʔ ɨ n kʼ o r																	
378-2		ʔ a n g ə d																	
379-2		Ø ə ə																	
409-2		k ə d ə r																	
598-2		l e																	
646-2		ʔ a t ə																	
210-2		d u h o m																	
215-2		ʔ a b ə d																	
285-2		m u tʼ a d																	
380-2		ʔ a h ʔ ɨ																	
412-2		s a h u n																	
496-2		u r s ə n b ə d																	
64-2		d a b o																	
