COGID	Albanian	English	French	German	Latin
560-1	r e r				
438-1	a r ə r				
1222-1	r e r				
353-1	r r a r r				
201-1	r a r r				
20-1	r a r				
503-1	r r e r				
957-1	r e r				
728-1	r a r r				
244-1	r e r e				
289-1	r r e r r				
911-1	a a r r y r				
724-1	r r r y				
145-1	r r e				
992-1	r e				
1181-1	r r a r r				
741-1	r r a r				
1150-1	r r a r r r r				
585-1	r e				
814-1	e r r ə r				
916-1	r				
1079-1	r r ə				
630-1	e r r r				
343-1	r a r ə				
8-1	r r r r e r				
385-1	r e				
683-1	r a r r ə				
650-1	r r a r				
612-1	r ə r ə				
871-1	a r a r r				
667-1	r ə r ə				
527-1	r e r u r				
499-1	r ə				
1029-1	r ə				
336-1	r a r r r				
198-1	r r r				
164-1	r r r				
560-2		ɛ r i i			
438-2		u ɛ i i			
1222-2		ɛ ɛ i			
353-2		f r ɪ			
201-2		f ʊ i			
20-2		h ɪ r i			
503-2		f i ɛ i			
957-2		g ɪ			
728-2		ʊ a ɛ			
244-2		n ɪ ɛ i			
289-2		ɛ r o d			
911-2		r ɛ i ɛ			
724-2		g ɛ i i			
145-2		h w i			
992-2		w i			
706-2		e ʊ ɛ			
106-2		f ʊ ð ə			
741-2		t t i			
421-2		h ɛ i			
227-2		f r ʊ			
920-2		h ɛ ɛ n			
1083-2		h ɛ r i			
1066-2		ɪ i i			
1125-2		h ʊ i i			
1197-2		r ʊ ð ə			
473-2		n ɪ ɛ			
284-2		n ɪ s			
661-2		g u ɛ			
701-2		r ɪ			
315-2		r ɛ			
1169-2		h ɔ ɛ			
1150-2		g r ə i			
982-2		ʊ ɛ ɪ			
987-2		s ɛ ɛ			
1055-2		h ʊ d ə			
1130-2		h e			
433-2		h ɪ ɛ i			
625-2		h ʊ ɛ ɛ			
1186-2		h a ɛ d			
416-2		g ʊ i d			
1233-2		w ɪ d			
884-2		w ɛ ɛ i			
1016-2		ʊ r ʊ			
952-2		ʊ d			
78-2		h l ɛ s			
514-2		j g r i			
116-2		ai s			
188-2		f h			
745-2		f ɪ ð ə r			
1100-2		f r r ʊ t			
47-2		h p ʊ			
111-2		ɛ ʊ			
1061-2		h ʊ			
24-2		n ɪ d			
232-2		n ɪ ɛ d			
671-2		g ʊ ə t			
385-2		i i			
945-2		h e ɛ			
644-2		h ʊ ʃ			
1041-2		h t ɛ d d			
492-2		h ɛ ɛ			
1209-2		ɛ ʊ d			
527-2		w ai t ə			
14-2		g ʊ i			
1-2		ɔ l			
915-2		au d			
271-2		a s i			
711-2		ð ai t			
1112-2		g l ai t			
205-2		g r o t			
301-2		g l i			
72-2		g o l d			
162-2		p ʊ			
238-2		ð e			
560-3			ɛ r ɛ ɛ e		
438-3			ɛ ɛ i		
1222-3			a ɔ ɛ e		
353-3			p p ɛ r j		
201-3			g ɑ̃ ɛ s		
20-3			g u u		
503-3			p ɛ ɛ ɛ e		
957-3			p ɛ		
728-3			ɛ u ɛ		
244-3			u ɛ ɛ ɑ̃		
289-3			ɛ d u e		
911-3			ɛ ɛ t r i e		
724-3			g ɛ n ɛ		
145-3			s p ɛ		
992-3			s u		
1181-3			s ɑ̃ t		
706-3			o k ø u		
106-3			p u r ɛ e		
741-3			g r ɛ s		
421-3			f u u ɛ e		
227-3			p t ɛ		
920-3			k u u d e		
1083-3			k u ɛ		
1066-3			ɛ n u		
1125-3			ʒ ə n e		
1197-3			u u r ɛ e		
473-3			u ɔ e		
284-3			r ɛ r		
661-3			p y n e		
701-3			u u s r e		
315-3			u u d		
1169-3			r u ɛ e		
1150-3			g s ɛ ɛ p ɑ̃		
982-3			g r ɛ s		
987-3			p u ɛ		
1055-3			f p t t u u e		
1130-3			r i		
433-3			f u ɛ e e		
585-3					
625-3			l u ɛ		
1186-3			t u n e		
814-3			v ɛ ɛ b		
416-3			g r ɛ e		
1233-3			o u d		
884-3			u u ɛ		
916-3			ɛ		
1016-3			a r ɛ ɛ e		
952-3			o		
514-3			p u r t s e		
1079-3			s		
1100-3			g r p u e e		
47-3			f r ø u ɛ		
111-3			u a		
1061-3			m ɛ̃ t ɛ e		
1155-3			k o r		
343-3			ɛ r ɛ ɛ		
671-3			g r p u e e		
460-3			p u t		
8-3			s ɛ r p ɑ̃		
644-3			r u e		
683-3			ʃ ɑ̃		
650-3			s ɛ		
612-3			s ɑ̃		
871-3			p ɑ̃ ɑ̃		
1209-3			v ɔ ɛ ɛ e		
667-3			ɛ ɛ e		
499-3			n		
14-3			r u s e ɛ		
1029-3			ɛ i		
272-3			k ə		
278-3			m a d		
410-3			p k u r t		
336-3			s ɛ p ɑ̃		
1009-3			v ɑ̃ t		
479-3			ʃ o		
712-3			m œ r d		
1113-3			s ɑ̃ s		
605-3			ɔ n r		
752-3			p p s t ø		
695-3			s		
73-3			f r o		
162-3			p u s s e		
239-3			d ɔ		
560-4				eː m oː	
438-4				eː eː au s	
1222-4				eː au i s	
353-4				f t i ə	
201-4				m eː n ə i	
20-4				m eː n oː ə	
503-4				ʃ n oː l	
957-4				m i	
728-4				eː eː ə	
244-4				eː eː oː i n	
289-4				eː t i t t	
911-4				eː eː g oː ə t	
724-4				m i t eː	
145-4				ʃ t iː	
992-4				h au	
1181-4				t t oː l t	
706-4				eː h ə l	
106-4				h eː d ə	
421-4				f eː au ə r	
227-4				f g ai s	
920-4				h eː eː t ə ə	
1083-4				h eː	
1066-4				au g eː	
1125-4				h au	
1197-4				eː eː b ə	
473-4				eː eː l ə n	
284-4				eː au	
661-4				v au	
701-4				eː eː g ə	
315-4				eː eː n ə n	
1169-4				z eː d	
1150-4				ʃ t oː oː t oː ə	
982-4				g eː eː t	
987-4				ʃ eː aː	
1055-4				eː p n n ə n	
1130-4				eː eː k	
433-4				eː eː d n	
585-4				t au	
625-4				eː eː k	
1186-4				h eː n d	
814-4				n i oː t oː t	
416-4				h v ai s	
1233-4				eː eː d	
884-4				eː eː	
78-4				h eː au s	
514-4				t eː r k ə n	
116-4				eː s	
188-4				f n eː b ə n	
745-4				f eː l ə r	
1100-4				f r n n t	
