COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	g u n															
2181-1	n ə̆ m															
2060-1	ʔ e m															
410-1	d ai̯															
1841-1	m j̊															
2017-1	h e															
1004-1	l ɨ															
614-1	b ou̯ h															
686-1	b l e															
88-1	k ɔ ʔ															
872-1	n ɨ ŋ															
1891-1	d ɨ															
68-1	s ɨi̯ m															
631-1	b ə̆ n															
594-1	g ɨ															
1759-1	h ă n															
805-1	g e ɲ															
756-1	h ɨ ʔ															
1201-1	m oi̯ t															
2042-1	ʔ ɨ															
1968-1	d ă ʔ															
2000-1	t ɨ ŋ															
17-1	a ă t															
4-1	pʰ ə m															
788-1	d ɛ															
1219-1	h ɨi̯ m															
141-1	ʔ ɨ ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	ɨ m															
1652-1	c e ɲ															
576-1	ŋ ɔ															
1738-1	d ă k															
442-1	h o m															
368-1	d j a ŋ															
1778-1	p u t															
1859-2		ŋ ai̯														
175-2		k a														
241-2		ʔ uː ʔ														
2163-2		k uː														
2181-2		n e m														
2060-2		ʔ i m														
410-2		d ai̯														
1841-2		m tɕʰ														
2017-2		h i														
1004-2		d u														
614-2		b o h														
686-2		ɓ l i														
88-2		g ɔ k														
872-2		n ɨ ŋ														
1891-2		d u														
68-2		s i m														
631-2		b u n														
594-2		k u														
1759-2		h a n														
805-2		k i n														
756-2		h ɨ k														
1201-2		m oːi̯ ʔ														
2042-2		ʔ u														
1968-2		d a ʔ														
2000-2		ai̯ u ŋ														
17-2		pʰ a d														
4-2		pʰ əː m														
788-2		d ai̯														
1219-2		h i m														
141-2		ʔ u ŋ														
541-2		b u dʑ ə ŋ														
1687-2		h uː														
123-2		u m														
1652-2		dʑ i n														
576-2		ŋ o														
1738-2		d a k														
442-2		h oː m														
368-2		d dʑ ə ŋ														
1778-2		b a d														
1859-3			ŋ aːi̯													
175-3			k a													
241-3			ʔ uː t													
2163-3			k uː r													
2181-3			n a m													
2060-3			ʔ iː m													
410-3			ɗ ai̯													
1841-3			m j̊													
2017-3			h iː													
1004-3			d u													
614-3			ɓ o h													
686-3			b l iː													
88-3			g a ʔ													
872-3			n ɨː ŋ													
