COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t e ʔ									
56-1	o m e									
96-1	i a t ʔ									
99-1	i a r i n									
114-1	t o k ʔ									
115-1	o o ʔ ʔ									
133-1	t i p i a n ʔ									
144-1	a t a w i ʔ									
150-1	k a w									
234-1	k o m									
236-1	p i k o n									
241-1	ʔ ʔ ʔ a w i n									
249-1	i o ʔ e									
1-1	w a tʃ a ʔ									
2-1	m o m r									
65-1	i w ʔ									
74-1	p a n a									
106-1	t o n e ʔ									
128-1	p o k ʔ									
147-1	t m o ʔ									
231-1	p a n a w o ʔ									
232-1	ʔ i p i ʔ o ʔ ʔ o ʔ									
239-1	n a m a k a n ʔ									
266-1	i tʃ i m									
51-1	o w e									
97-1	m a p o m									
109-1	tʃ p o ʔ i									
121-1	k a p a ʔ a k ʔ									
149-1	t tʃ k									
160-1	k i r i k									
163-1	o p e n									
52-2		e t e								
56-2		m e								
96-2		a r a s								
99-2		a r a e s								
114-2		t o k e s i								
115-2		e r s s i								
133-2		t i p r a s i								
144-2		a r a a s i								
150-2		k a w								
234-2		k o m								
236-2		p a k s n								
241-2		a w i n								
249-2		i s e								
74-2		p a n a								
93-2		t u p a r i s i								
95-2		n i k i s i								
106-2		t e n i p i								
119-2		i s i t i s i								
128-2		l o k e s i								
147-2		t i m i s i								
231-2		p a n a o								
232-2		u p i s o								
239-2		m a n a k a p								
266-2		i i m								
51-2		i w e								
55-2		i s a m								
97-2		n a p n n a s i								
121-2		k a p i n a k a i								
163-2		p e n								
52-3			e u							
56-3			u m t i							
96-3			a t i a t i							
99-3			a j e n t i t i j							
114-3			t u k e tʃ e							
115-3			u t i e tʃ e							
133-3			tʃ e p a t i a tʃ e							
144-3			a t i a j a tʃ e							
150-3			k a j							
234-3			a k u m							
236-3			p k u n							
241-3			a j e n							
249-3			e j j							
1-3			j a w a							
2-3			a w u m							
65-3			i j i							
93-3			t e t i a t i i tʃ e							
95-3			a t i e m a							
106-3			t u m e tʃ i							
119-3			w a t e tʃ e							
128-3			u k e tʃ e							
147-3			i m e tʃ u							
231-3			p a n a t i u							
232-3			w e p e w a u							
239-3			a v a k a n							
266-3			i t e m							
3-3			a w i k a o							
4-3			w a t i a o							
55-3			i a m							
109-3			u p o tʃ e							
121-3			k a u a j a r a j a t i e							
