COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t i									
56-1	j m e									
96-1	a t									
99-1	a r i									
114-1	t tʃ k ʔ									
115-1	m m									
133-1	t i p a ʔ									
144-1	a r a w i ʔ									
150-1	k a w									
234-1	k m tʃ									
236-1	p i k m n									
241-1	a w i n									
249-1	i m e									
1-1	w a tʃ a ʔ									
2-1	tʃ m tʃ r									
65-1	i w ʔ									
74-1	p a n a									
106-1	t m n ʔ e									
128-1	p m k ʔ									
147-1	t k ʔ j									
231-1	p a n a w tʃ tʃ									
232-1	p i p i tʃ ʔ ʔ									
239-1	n a j a k a n									
266-1	i m i m									
51-1	tʃ w e									
97-1	m a p tʃ m a									
109-1	tʃ p ʔ w i ʔ									
121-1	k a p a j a k i ʔ ʔ									
149-1	t tʃ k									
160-1	k i r i k									
163-1	tʃ p e n									
167-1	p a									
207-1	m i m									
259-1	t tʃ w a									
66-1	k a r a k a w									
134-1	n i p a t									
139-1	j j k j j									
142-1	p a t a m a									
145-1	k a a t ʔ ʔ									
148-1	z a w a n									
162-1	i o i n									
166-1	i m i									
179-1	t a									
201-1	p e									
21-1	t a n									
24-1	p k tʃ r a n									
50-1	i n a m									
57-1	t m k w a n									
84-1	p i w a n									
91-1	tʃ tʃ k ʔ ʔ tʃ n									
131-1	t m k m i m									
151-1	k i w									
154-1	w e									
192-1	t o t									
197-1	t m									
205-1	i p a n									
227-1	m a p w i t m									
246-1	i w i									
251-1	w a n a									
52-2		e t i i								
56-2		m e								
96-2		a a								
99-2		i a r i j o p								
114-2		t o k i s i								
115-2		i s i								
133-2		t i s r a s i								
144-2		a r a a s i w								
150-2		k a								
234-2		k o m								
236-2		s a k s								
241-2		a i s								
249-2		i s e p								
74-2		s a s a								
93-2		t o s a r i s i								
95-2		p i k i i								
106-2		t p i p i								
119-2		i j i t i s i								
128-2		p p k i p i								
147-2		t i i p i								
231-2		p a p a w p p								
232-2		s p i i j w w i								
239-2		n a n a k a n								
266-2		i t i p								
51-2		i n e								
55-2		i s a m								
97-2		o a p p n a p								
121-2		k a p i j a k a p i w								
163-2		n e n								
167-2		n a								
259-2		t o n a i								
66-2		k a r a k a p								
112-2		t r a j i s i n								
116-2		t o n a k a s i n								
125-2		k a t i m a n i n								
135-2		i								
139-2		m o o o								
142-2		p a r a m a w i								
148-2		t r a p r i p i								
162-2		i p i p								
166-2		i m i								
