COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t e									
56-1	o r o									
96-1	a j a t									
99-1	a j a tʃ o a									
114-1	t o k									
115-1	o j j									
133-1	t p j a n									
144-1	a j a w a									
150-1	k a w									
234-1	k o o									
236-1	p o k o n									
241-1	a w n									
249-1	tʃ e									
1-1	w a tʃ a									
2-1	j o o a									
65-1	w									
74-1	p a n a									
106-1	t o n e									
128-1	o k									
147-1	t j o									
231-1	p a n a w o o									
232-1	p i p tʃ o									
239-1	n a tʃ a k a n									
266-1	j o									
51-1	o w e									
97-1	m a p o r a									
109-1	o p w i k									
121-1	k a p a j a k									
149-1	t o k									
160-1	k r k									
163-1	o p e n									
167-1	p a									
207-1	r o									
259-1	t o w a									
66-1	k a r a k a w									
134-1	n j a t									
139-1	j o k o j									
142-1	p a t a r a									
145-1	k a a t t									
148-1	t a w a m									
162-1	m n									
166-1	i r									
179-1	t a									
201-1	p w e									
21-1	t a n									
24-1	t k o tʃ a n									
50-1	i n a									
57-1	t ʔ k w a n									
84-1	p w a n									
91-1	j o k u o n									
131-1	t o k o j i tʃ									
151-1	k w									
154-1	w o									
192-1	t o t									
197-1	n n n n t o n n									
205-1	i p a n									
227-1	tʃ a p w i t n ʔ									
246-1	i w i n									
251-1	w a n a									
271-1	m w									
285-1	r a w n									
75-1	p e r e									
79-1	t a u n									
104-1	k p o n u									
153-1	u j a k									
157-1	t a a o									
174-1	p o j o									
240-1	t i tʃ a k									
270-1	k a w a j									
52-2		r								
56-2		p								
96-2		a a								
99-2		i a w								
114-2		s								
115-2		p s								
133-2		a								
144-2		w a a r w								
150-2		a p								
234-2										
236-2		a p								
241-2		a p								
249-2		s w								
74-2		a a								
93-2		a s								
95-2		r k								
106-2										
119-2		r r s								
128-2										
147-2		r								
231-2		a a								
232-2		i i								
239-2		a a a								
266-2		r								
51-2		e								
55-2		a								
97-2		r								
121-2		a i a a w i w								
163-2										
167-2		a								
259-2		a								
66-2		k i a k a								
112-2		a s								
116-2		a k a s								
125-2		a a s i								
135-2		i								
139-2										
142-2		a a i								
148-2		a o								
162-2										
166-2										
179-2		a								
45-2		o t a m a								
84-2		u a								
131-2		i i								
146-2		u a								
154-2										
192-2										
197-2										
235-2		s								
237-2		a								
246-2		i i w								
250-2		m t a a								
267-2		a								
39-2		t a n t a								
42-2		k t t a m a								
44-2		a								
75-2		n								
94-2										
122-2		r k								
52-3			i a.j.a.r.a j a.j.a.r.a j							
56-3			i m j a							
96-3			a j a j a a							
99-3			a i v j a.j.a.r.a n s j j							
114-3			j j j a.j.a.r.a j i a							
115-3			i v a.j.a.r.a j a.j.a.r.a s i a							
133-3			i j v j a j a j i a							
144-3			i j v j a j i a							
150-3			j a j a							
234-3			a j j m							
236-3			j j j a.j.a.r.a j							
241-3			a a a a j i j							
249-3			i j j a							
1-3			j a.j.a.r.a j a.j.a.r.a j							
2-3			a.j.a.r.a j a.j.a.r.a a.j.a.r.a a.j.a.r.a a.j.a.r.a a.j.a.r.a							
65-3			a.j.a.r.a a.j.a.r.a a.j.a.r.a j a.j.a.r.a							
93-3			s j s a s i s i a							
95-3			a s i s i j i							
106-3			tʃ a.j.a.r.a a.j.a.r.a a.j.a.r.a j a.j.a.r.a tʃ a.j.a.r.a a.j.a.r.a							
119-3			i s i s i s i a							
128-3			j a.j.a.r.a j a.j.a.r.a tʃ a.j.a.r.a a.j.a.r.a							
147-3			j a.j.a.r.a m a.j.a.r.a tʃ a.j.a.r.a a.j.a.r.a							
231-3			j a.j.a.r.a ɲ a.j.a.r.a j a.j.a.r.a a.j.a.r.a							
232-3			a.j.a.r.a a.j.a.r.a j a.j.a.r.a j a.j.a.r.a a.j.a.r.a a.j.a.r.a							
239-3			j a j a j a j a							
266-3			a.j.a.r.a a.j.a.r.a a.j.a.r.a j a.j.a.r.a a.j.a.r.a a.j.a.r.a a.j.a.r.a							
3-3			s i ɲ i k i a v i							
4-3			ɲ a s i i							
55-3			i v i e a m a							
109-3			a.j.a.r.a j a.j.a.r.a j a.j.a.r.a tʃ a.j.a.r.a a.j.a.r.a							
121-3			j a.j.a.r.a j a.j.a.r.a j a.j.a.r.a j a.j.a.r.a j a.j.a.r.a a.j.a.r.a							
149-3			j a.j.a.r.a a.j.a.r.a a.j.a.r.a							
160-3			k a.j.a.r.a j a.j.a.r.a a.j.a.r.a							
207-3			m a.j.a.r.a a.j.a.r.a							
112-3			s a i s a s i s i a							
125-3			k a s i s a s i i							
134-3			j a.j.a.r.a j a.j.a.r.a a.j.a.r.a a.j.a.r.a a.j.a.r.a a.j.a.r.a a.j.a.r.a							
135-3			j v k i m i i a tʃ i i							
139-3			a.j.a.r.a m a.j.a.r.a j a.j.a.r.a j a.j.a.r.a a.j.a.r.a a.j.a.r.a a.j.a.r.a a.j.a.r.a							
