COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t e									
56-1	o m e									
96-1	a t									
99-1	a tʃ i n									
114-1	t o k									
115-1	u									
133-1	t i p a									
144-1	a t a w i									
150-1	k a w									
234-1	k o m									
236-1	p i k o n									
241-1	a w i n									
249-1	i j e									
1-1	w a s a									
2-1	m o m									
65-1	i w									
74-1	p a n a									
52-2		e t e								
56-2		i m e								
96-2		a s a h i								
99-2		a s i a n								
114-2		t o k e s i								
115-2		i s e s i								
133-2		t i p s a s i								
144-2		a r a a s i								
150-2		k a w								
234-2		k e m								
236-2		p a k s n								
241-2		a w i n								
249-2		i s e								
74-2		p a n a								
93-2		t o p a s i s i								
95-2		i k i								
52-3			i							
56-3			m tʃ							
96-3			a t i a t i e							
99-3			a tʃ e t							
114-3			t o k e tʃ e							
115-3			u tʃ tʃ e							
133-3			tʃ i p a tʃ a tʃ e							
144-3			a t i a tʃ a tʃ e							
150-3			k a w							
234-3			k o m							
236-3			p k u n							
241-3			a w i l n							
249-3			i tʃ tʃ							
1-3			w a a							
2-3			w i m							
65-3			i w i							
93-3			d p a tʃ i tʃ e							
95-3			w e i							
52-4				i t i						
56-4				u m e						
96-4				a t						
99-4				a i tʃ i n						
114-4				t o k						
115-4				u tʃ						
133-4				t i p a						
144-4				a t						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a s a						
2-4				w u m						
65-4				i w						
74-4				p a n a						
93-4				t p a r						
95-4				w k						
52-5					e t e					
56-5					y m e					
96-5					a r a s i					
99-5					a r e k e					
114-5					t o k i s i					
115-5					i r e j i					
133-5					t i p r a s i					
144-5					a r a a s i					
150-5					k a w					
234-5					k o m					
236-5					p i k y n					
241-5					a w i n					
249-5					i s e					
1-5					w a t a					
2-5					f i m					
65-5					i w i					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					k i k i i					
52-6						a t a				
56-6						u m e				
96-6						t a t a tʃ i				
99-6						t a tʃ a n t a				
114-6						t u k i tʃ i				
115-6						u tʃ i tʃ i				
133-6						tʃ i p a i tʃ a j i				
144-6						a t a tʃ a tʃ i				
150-6						k a tʃ				
234-6						a k u m				
236-6						p a k u j				
241-6						a tʃ i n				
249-6						i tʃ e				
1-6						w a h a				
2-6						a h m h				
65-6						a tʃ				
74-6						p e a n a				
93-6						t u p a j i tʃ i				
95-6						j a i tʃ i				
52-7							i t i			
56-7							u m i			
96-7							a s			
99-7							r a s u			
114-7							t u k i			
115-7							u r i			
133-7							t i p a j i			
144-7							a s a h ʃ i			
150-7							k a w			
234-7							k o m			
236-7							p i k u n			
241-7							a w i n			
249-7							i r i			
1-7							w a z a			
2-7							u m			
65-7							i w i			
74-7							p a n a			
93-7							t o p a r i i			
95-7							w u i			
52-8								e t s		
56-8								y m s		
96-8								r a s		
99-8								a r r r s		
114-8								t o k i s i		
115-8								i s i s i		
133-8								t i p r a r i		
144-8								a r a w a s i		
150-8								k a w		
234-8								k u m		
236-8								p a k s n		
241-8								a w i		
249-8								i s s		
1-8								w a a		
2-8								w i m		
65-8								i w i		
74-8								p a n a		
93-8								t u p a r e s i		
95-8								w i		
52-9									i t i	
56-9									i m ʃ	
96-9									a r a t i ʔ	
99-9									a r u ʃ u	
114-9									t o k i ʃ i ʔ	
115-9									ʃ r ʃ ʃ i ʔ	
133-9									t i p a r a ʃ i ʔ	
144-9									a r u w a ʃ i	
150-9									k a w	
234-9									k o m	
236-9									p a k ʃ n	
241-9									a w i n	
249-9									i ʃ ʃ	
1-9									w a t a ʔ	
2-9									w ʃ m	
65-9									i w ʔ	
74-9									p a n a	
93-9									t o p a r i ʃ i	
95-9									a w i k i ʃ i	
52-10										t e ʔ
56-10										e m e ʔ
96-10										a r a h
99-10										a r i tʃ o n
114-10										t o k tʃ i ʔ
115-10										o j tʃ i ʔ
133-10										t i p a r tʃ i ʔ
144-10										r a w tʃ i
150-10										k a w ʔ
234-10										k o m
236-10										p k e n
241-10										a w i n
249-10										i tʃ e ʔ
1-10										w a tʃ a
2-10										w e m
65-10										i w i
74-10										p a n a
93-10										tʃ o p a r i tʃ i
95-10										w i i
