COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t i									
56-1	o m e									
96-1	a o a t ʔ									
99-1	a o a o i ʔ ʔ									
114-1	t o.ʔ k ʔ									
115-1	o o ʔ									
133-1	t i p a t ʔ									
144-1	a t a i o ʔ									
150-1	k a w									
234-1	k o.ʔ m									
236-1	p i k o n									
241-1	a w i n									
249-1	i o e									
1-1	w a tʃ a ʔ									
2-1	w.ʔ o m ʔ									
65-1	i w ʔ									
74-1	p a n a									
106-1	t o n e ʔ									
128-1	p o.ʔ k									
147-1	t o k o									
231-1	p a n a w o.ʔ ʔ									
232-1	p i p i ʔ o ʔ o.ʔ									
239-1	n a m a k a n ʔ									
266-1	i z i m									
51-1	o w e ʔ									
97-1	m a p o m									
109-1	o p w i ʔ									
121-1	k a p a ʔ a k i ʔ i ʔ									
149-1	t o k									
160-1	k i o i k									
163-1	o p e n ʔ									
167-1	p a ʔ									
207-1	m i									
259-1	t o w a ʔ									
66-1	k a r a k a w									
134-1	n i p a t									
139-1	m o k o o									
142-1	p a t a m									
145-1	k a ʔ a t t ʔ									
148-1	z t a w a n									
162-1	i o i n									
166-1	i m i									
179-1	t a									
201-1	p e									
21-1	t a n									
24-1	p k o tʃ a n									
52-2		e t e i								
56-2		i m e								
96-2		a r a p								
99-2		a r i e s								
114-2		t o k.e.t.e.k s s i								
115-2		e p s s i								
133-2		t i p s a s i								
144-2		r a s a s i								
150-2		k.e.t.e.k a w								
234-2		k.e.t.e.k o m								
236-2		p a k.e.t.e.k s p								
241-2		a w i p								
249-2		i p e								
74-2		s a s a								
93-2		t o s a r i s i								
95-2		i s i								
106-2		t e p e s i n								
119-2		i j i t i s i								
128-2		p o k.e.t.e.k s s i n								
147-2		t i m i s i n								
231-2		p a p a i o l								
232-2		i p i i j a s s								
239-2		p a n a k.e.t.e.k a p								
266-2		i p i m								
51-2		i w e n								
55-2		i s a m								
97-2		a p p n a p								
121-2		k.e.t.e.k a p i i a k.e.t.e.k a s i								
163-2		e p e p								
167-2		p a								
259-2		t o a								
66-2		k r a k a w								
112-2		t r a j i s i								
116-2		t o s a k a i								
125-2		k a p i m a s i p								
135-2		i p p i p								
139-2		a m o s o s o								
142-2		k.u.n p a r a m a i								
148-2		t r a w i p i								
162-2		i n i p								
166-2		i m i								
179-2		t a								
52-3			a e a u							
56-3			u m j a							
96-3			a t.i a t.i t.a.k							
99-3			a a tʃ u a n u j j							
114-3			t u k u p i t.a.k							
115-3			u tʃ u p u u i t.a.k							
133-3			a tʃ e u a p a u i t.a.k							
144-3			a t.i a u a j i t.a.k							
150-3			k a u a							
234-3			a k u v							
236-3			u p k u u							
241-3			t.a.k a t.a.k a u i u							
249-3			e u u							
1-3			j a j a							
2-3			a u u m a a							
65-3			i j i							
93-3			t u u a u a j i t.a.k							
95-3			a j i j a j a							
106-3			tʃ u t.a.k t.a.k u e p i t.a.k							
119-3			a u a t.i i j e a							
128-3			n u k p i t.a.k							
147-3			tʃ u m i p u t.a.k							
231-3			u a u a u u u							
232-3			u e u i u a u							
239-3			p a v a k a u t.a.k							
266-3			t.a.k i u u i n							
3-3			a p i k a a j u a							
4-3			u a p a p o							
55-3			i ɲ u a m a							
109-3			u p n n a p i							
121-3			k a u a.j.a.r.a u a j a t.a.k							
149-3			tʃ o k a							
160-3			k e p e k							
207-3			m i							
112-3			t a a s a m a s i v							
125-3			k a i m a tʃ i s							
134-3			p e p a tʃ e							
135-3			t tʃ k i m a a a tʃ tʃ a							
139-3			a m u j e t.a.k							
52-4				i ts						
56-4				u m u						
96-4				a a						
99-4				i i u n						
114-4				t o k e						
115-4				u						
133-4				t i p a						
144-4				a a w a						
150-4				k a w						
234-4				k o m						
236-4				p i k n						
241-4				a w i n						
249-4				i tʃ u						
1-4				w a tʃ a						
2-4				w u m						
65-4				i w						
74-4				p a n a						
93-4				t p a i						
95-4				w k						
106-4				t u n						
119-4				i t i						
128-4				p o k						
147-4				t m u						
231-4				p a n a w o ʔ						
232-4				p i						
239-4				n a m a k a n						
266-4				ʒ̟ i m						
3-4				o k o						
4-4				w a i						
51-4				w i						
97-4				m a p u m						
109-4				tʃ p e r						
121-4				k a p i ʔ a k						
149-4				t o k						
160-4				k i r i k						
163-4				u p i n						
167-4				p a						
207-4				m i r						
259-4				t o w a						
66-4				k a r a k a w						
116-4				t o p a k a						
134-4				n i p a t						
135-4				k i						
139-4				u m u n u						
142-4				p a a m a						
145-4				k a i t i i						
148-4				ʒ̟ a w a n						
162-4				i n i n						
166-4				i m i						
179-4				t a						
201-4				p						
21-4				w a t a n						
24-4				w k u a n						
52-5					e t e					
56-5					i m e					
96-5					a r a s i					
99-5					a r e s e					
114-5					t o k e s i					
115-5					e r e j i					
133-5					t i p e r a s i					
144-5					a r a a s i					
150-5					k a w					
234-5					k o m					
236-5					p i k i.ʔ n					
241-5					a w i n					
249-5					i s e					
1-5					w a t a					
2-5					f i m o					
65-5					u w i					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					f i k i i					
106-5					t e n i i					
119-5					j i t i s i					
128-5					f o k o i					
147-5					t i m i i					
239-5					n a a k.o.r.i.k a n					
266-5					i t i m					
3-5					w i r u k o					
4-5					w a r t u					
51-5					u w e					
55-5					i s a m					
97-5					a f o m e					
109-5					i.ʔ p i j i p i					
149-5					t o k.o.r.i.k					
160-5					k e r i k					
163-5					i p i n					
167-5					p a					
207-5					m i					
259-5					t o w a					
66-5					k a r a k a i w					
112-5					t r a i s i					
116-5					t o p a k a j i					
134-5					n i p a t i					
135-5					t o k i e i p e k i					
139-5					i m o n i i i					
142-5					p a r a m a i					
145-5					k.o.r.i.k a a t a f i					
148-5					t r a w a n e i					
162-5					y n.a.n j i n					
166-5					i m i					
179-5					t a					
201-5					p e					
21-5					k w t e n					
52-6						t a t i				
56-6						u				
96-6						t a i i				
99-6						e a t i e				
114-6						t u k i s i				
115-6						i s i				
133-6						t i p a s a i				
144-6						s a i				
150-6						k a				
234-6						a k o w				
236-6						p a k u i				
241-6						a i				
249-6						i				
1-6						w a tʃ.i.r.a.m a				
2-6										
65-6						i i tʃ i				
74-6						p a p a				
93-6						t p a i i w				
95-6						a w i s w				
106-6						t i m i tʃ i w				
119-6						i w a i i				
128-6						o tʃ i tʃ i				
147-6						t i i tʃ i				
231-6						p a a w o w				
232-6						p i tʃ w o p.e.p.e u				
239-6						i a k a p.e.p.e				
266-6						i t i n				
3-6						i a tʃ i k				
4-6						w a p i				
55-6						i a s				
97-6						w a w i				
109-6						p a p i i				
160-6						t e tʃ i k				
207-6						m i p				
112-6						t a p a p a i				
116-6						t w a k a w				
125-6						k a i m a m i				
134-6						w i p a tʃ.i.r.a.m i				
135-6						k i w i a i w				
139-6						a i u m u tʃ i				
201-6						p p				
21-6						k p a a a				
24-6						tʃ e k u i				
52-7							i t a.d			
56-7							s m e			
96-7							a r.i.t			
99-7							s i s u			
114-7							t o k i			
115-7							s s			
133-7							t i p a j			
144-7							t a w i			
150-7							k a w			
234-7							k o m			
236-7							p k s n			
241-7							a w i n			
249-7							i s e			
1-7							w a z a			
2-7							m			
65-7							i w i i			
74-7							p a n a			
93-7							t o p a j i			
95-7							v			
106-7							t n			
119-7							t i i			
128-7							o k i			
147-7							t m i			
231-7							p a n a o			
232-7							p i u			
266-7							i t i m			
3-7							a h i u			
4-7							v a i s			
51-7							v e			
55-7							i a m			
97-7							m a p o m			
109-7							ʃ p i i			
121-7							a p a p			
149-7							w o k			
160-7							k i r.e i k			
163-7							s p e n			
167-7							p a s			
207-7							m i			
259-7							w o a ʔ			
66-7							k a r a k a w			
125-7							a t m a p			
135-7							t i m			
142-7							p a p a m i			
145-7							k a t i i			
148-7							z a w a i i			
162-7							i j i n -.i			
166-7							i m i			
179-7							w a			
201-7							p ë.b			
21-7							a n			
24-7							a k a ʃ i a			
52-8								y t s		
56-8								b m s		
96-8								r a s		
99-8								a r y a		
114-8								t o s i		
115-8								w s s i		
133-8								i s r a s i		
144-8								a r a w a s i		
150-8								a w		
234-8								o		
236-8								s a s n		
241-8								a w i n		
249-8								i s s		
1-8								w a s a		
2-8								s m u y		
65-8								i w		
74-8								s a n a		
93-8								t a s a r y s i		
95-8								w i		
119-8								j i t i s i		
231-8								s a n a w o b		
232-8								y s i o		
239-8								n a m a k a n		
3-8								b u s y k y y y o		
4-8								a w i p		
51-8								s w s u		
55-8								i s a m y		
109-8								s s b a s w		
121-8								k a s i a k s		
149-8								t u k y		
163-8								s s y a m y		
167-8								s a		
259-8								t o v a		
66-8								k r k w		
112-8								t r a i s i		
116-8								t o s a k a s i		
125-8								k a t i m a s i		
145-8								k a t i s i		
52-9									a t j ʔ	
56-9									m j	
96-9									a r a t	
99-9									a r a i u	
114-9									t o k u i	
115-9									j r h i	
133-9									t i p a i	
144-9									u r u w a i	
150-9									k a w	
234-9									k o m	
236-9									p i k j n	
241-9									a w i n	
249-9									i j j	
1-9									w u t u ʔ	
2-9									w h m	
65-9									i w ʔ	
74-9									p a n a	
93-9									t o p u r i u i	
95-9									a w k i h	
106-9									t n i	
119-9									h a w i	
128-9									o k u i	
147-9									t i m i i	
231-9									p a n a w u ʔ	
232-9									p i	
239-9									u m a k a n	
