COGID	1	10	2	3	4	5	6	7	8	9
2689-1	ɲ a m a									
893-1	a n a a									
1285-1	n w a									
1303-1	g ɔ m a									
2197-1	s a l a									
2828-1	i i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	n ɛ									
1789-1	k a l a ŋ g a a									
3207-1	β ʊ l a									
3519-1	t ʊ m a									
3686-1	z m m b a									
4249-1	k ʊ m i									
4451-1	β i s i									
448-1	j ʊ n i									
630-1	β ɛ ɛ ɛ ɛ									
814-1	g ɔ m m ɛ ɛ									
1216-1	g a β a									
1228-1	b w a									
1418-1	z i m a z									
1475-1	g w a									
2026-1	t w ɛ									
2775-1	β ʊ m m a									
3397-1	β ɔ l ɔ									
3826-1	dʒ ɔ k a									
4003-1	i β β a									
4040-1	g ɛ n i									
4373-1	l i m i									
4384-1	i n ɔ									
84-1	s l g ʊ									
116-1	β i k a									
181-1	g ɔ β g ɔ									
419-1	l ɔ g ɔ									
587-1	ɔ ɔ g ɔ ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	β i n a									
1159-1	ŋʰ a									
1350-1	l j a									
1374-1	n a a á ɛ									
1396-1	dʒ ɔ β ʊ									
1430-1	i s n									
1666-1	t a n ɔ									
1767-1	k ɔ k ɔ									
1906-1	i ŋ g i l a									
2177-1	ŋ g a h i									
2286-1	l a									
2317-1	β ʊ β a									
2419-1	s ɛ k a									
2750-1	ɛ ɲ i i									
3018-1	z i l a									
3275-1	k a n a a									
3441-1	s l ŋ g a a									
3464-1	β ɔ n a									
3639-1	t ɛ t ɛ m ɛ l									
3885-1	s u m ɔ									
3981-1	i m a a									
4192-1	β i m m a									
4260-1	s w a									
4350-1	l ɛ ɛ l ɔ									
43-1	z i m ʊ									
93-1	k ɔ n ɔ									
200-1	β i									
374-1	dʒ l l p a									
459-1	l ʊ m a									
508-1	β ɔ β u									
528-1	β i l i									
575-1	t a a									
871-1	t a m a									
1137-1	z i k ʊ									
1339-1	t j i ɛ									
