COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i n								
2-1	k w x o tɬ x x x								
8-1	w eː j i i								
16-1	e s + tɬ i								
24-1	i s t i								
32-1	m i k i								
51-1	o n + i								
52-1	w aː k + tɬ o k								
53-1	n a k a s								
54-1	tɬ aː l l l								
55-1	k w a								
60-1	iː x + t oː l o l oː								
83-1	tɬ e + tɬ								
87-1	p a tɬ aː n i								
92-1	m a k a								
103-1	m aː + n								
106-1	k a k i								
138-1	n e ʔ a								
139-1	m i k + t i a								
142-1	m a t i								
145-1	m o + t eː k a								
176-1	tɬ aː k a + tɬ								
179-1	n a k a + tɬ								
180-1	m eː ts + tɬ i								
1-2		m u tʃ i n							
2-2		k e x + t i x							
8-2		w e j i							
16-2		e s p t i							
24-2		i s t i							
32-2		m i k i							
51-2		u n + i							
52-2		w aː k + t u k							
53-2		n a k a s							
54-2		t aː h l							
55-2		k w a							
60-2		i x + t i l u l u							
83-2		t i + t							
87-2		p a t aː n i							
92-2		m a k a							
103-2		m aː h							
106-2		k a k i							
138-2		n e h a							
139-2		m i k + t i a							
142-2		m a t i							
145-2		m u + t e k a							
176-2		t aː b a + t							
179-2		n a k a + t							
180-2		m e l + t i							
1-3			m o tʃ i n						
2-3			ʔ eː x o t x x						
8-3			w eː j i						
16-3			eː s s t i						
24-3			i s t i						
32-3			m i k i						
51-3			o n + i						
52-3			w aː ʔ + t o ʔ						
53-3			n a k a s						
54-3			t aː l l						
55-3			k w aː						
60-3			iː x + t e l o l oː						
83-3			t eː + t						
87-3			p a t aː n i						
92-3			m a k a						
103-3			m aː h n						
106-3			k a k i						
138-3			n eː h a						
139-3			m i k + t i a						
142-3			m a t i						
145-3			m o + t eː k a						
176-3			t aː k a + t						
179-3			n a k a + t						
180-3			m eː ts + t i						
1-4				n o tʃ i					
2-4				k e x + tɬ x x					
8-4				w e j i					
16-4				e s + tɬ i					
24-4				i s t i					
32-4				m i k i					
51-4				o n + i					
52-4				w a k + t o k					
53-4				n a k a s tɬ					
54-4				tɬ a l l l					
55-4				k w a					
60-4				i x + t o l o l o					
83-4				tɬ e + tɬ					
87-4				p a tɬ a n i					
92-4				m a k a					
103-4				m a h					
106-4				k a k i					
138-4				n e h a					
139-4				m i k + t i a					
142-4				m a t i					
145-4				m o + t e k a					
176-4				t a k a + tɬ					
179-4				n a k a + tɬ					
180-4				m e ts + tɬ i					
1-5					m o tʃ i				
2-5					n eː x o t eː x x				
8-5					w eː j i				
16-5					eː s s t i				
24-5					i s t i				
32-5					m i g i				
51-5					o n + i				
52-5					w aː g + t o k				
53-5					n a g a s				
54-5					t aː l l				
55-5					g w a				
60-5					i x e l o l o				
83-5					t eː + t				
87-5					p a t aː n i				
92-5					m a g a				
103-5					m aː h				
106-5					g a g i				
138-5					n eː h a				
139-5					m i g + t i a				
142-5					m a t i				
145-5					m o + t eː g a				
176-5					t aː g a + t				
179-5					n a g a + t				
180-5					m eː ts + t i				
1-6						n u tʃ i n			
2-6						k eː x u eː s x			
8-6						w eː j i			
16-6						e s p t i			
24-6						i s t i			
32-6						m i k i			
51-6						u n + i			
52-6						w a k + t u k			
53-6						n a k a s t			
54-6						t a l l l			
55-6						k w a			
60-6						iː x + t e l u l u			
83-6						t e + t			
87-6						p a t a n i			
92-6						m a k a			
103-6						m a h			
106-6						k a k i			
138-6						n e h a			
139-6						m i k + t i a			
142-6						m a t i			
145-6						m u + t eː k a			
176-6						t a k a + t			
179-6						n a k a + t			
180-6						m eː ts + t i			
1-7							m o x i		
2-7							k e x + t x x n		
8-7							w e o		
16-7							e s p t i		
24-7							i s t i		
32-7							m i k i		
51-7							o n + i		
52-7							w a k + t o k		
53-7							n a k a s		
54-7							t a l		
55-7							k w a		
60-7							i x + n l l		
83-7							t e + t		
87-7							p a t a n i		
92-7							m a k a		
103-7							m a p		
106-7							k a k i		
138-7							n e tʼ e		
139-7							m i k + t i a		
142-7							m a t i		
145-7							m o + t e k a		
176-7							t a k a + t		
179-7							n a k a + t		
180-7							m e ts + t i		
1-8								n o tʃ ɨ	
2-8								k eː x + tɬ n tʃ n	
8-8								w eː j ɨ	
16-8								ə s + tɬ ɨ	
24-8								ɨ s t ɨ + tɬ	
32-8								m ɨ k ɨ	
51-8								o n + ɨ	
52-8								w aː k + tɬ o k	
53-8								n a k a s	
54-8								tɬ aː l l ɨ	
55-8								k w aː	
60-8								iː x + t ɨ l o l oː h	
83-8								tɬ ɨ + tɬ	
87-8								p a tɬ aː n ɨ	
92-8								m a k a	
103-8								m aː +	
106-8								k a k ɨ	
138-8								n ə h a tɬ	
139-8								m ɨ k + t ɨ a	
142-8								m a t ɨ	
145-8								m o + t eː k a	
176-8								t aː k a + tɬ	
179-8								n a k a + tɬ	
180-8								m eː ts + tɬ ɨ	
1-9									m o tʃ iː n
2-9									k e x + + x t
8-9									w e j iː
16-9									e s + tɬ iː
24-9									iː s t iː tɬ
32-9									m iː k iː
51-9									o n + iː
52-9									w ø k + t o k
53-9									n a k a s tɬ
54-9									tɬ ø l l l
55-9									k w a
60-9									b x + t u l o l u
83-9									tɬ i + tɬ
87-9									p a tɬ ø n iː
92-9									m a k a
103-9									m ø p
106-9									k a k iː
138-9									n e h w a tɬ
139-9									m iː k + t iː a
142-9									m a t iː
145-9									m o + t e k a
176-9									tɬ ø k a + tɬ
179-9									n a k a + tɬ
180-9									m e ts + tɬ iː
